rk,player,nation,squad,comp,season,age,born,ninety_mins_played,touches,def_pen_area_touches,def_third_touches,mid_third_touches,att_third_touches,att_pen_area_touches,live_ball_touches,take_ons_attempted,take_ons_successful,take_on_succ_pct,take_ons_tackled,take_on_tackled_pct,carries,total_distance_carried,progressive_carries_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,position,age_range,general_position,country,continent
3,Yunis Abdelhamid,MAR,Reims,Ligue 1,2020,32.0,1987.0,32.1,2103,230,1160,920,38,23,2103,16,7,43.8,9,56.3,1255,6240,3618,18,5,1,14,12,1354,3,DF,30-34,Defender,Morocco,Africa
4,Sabit Abdulai,GHA,Getafe,La Liga,2020,21.0,1999.0,0.7,19,0,2,11,6,0,19,2,1,50.0,1,50.0,11,21,11,0,1,0,1,0,10,2,MF,20-24,Midfielder,Ghana,Africa
6,Laurent Abergel,FRA,Lorient,Ligue 1,2020,27.0,1993.0,32.9,1940,31,486,1210,280,12,1940,37,29,78.4,8,21.6,1075,4705,2140,32,32,4,53,44,1288,35,MF,25-29,Midfielder,France,Europe
7,Charles Abi,FRA,Saint-Étienne,Ligue 1,2020,20.0,2000.0,10.1,320,9,38,138,146,36,320,24,12,50.0,12,50.0,166,1056,424,13,15,2,33,20,242,48,"FW,MF",20-24,Forward,France,Europe
10,David Abraham,ARG,Eint Frankfurt,Bundesliga,2020,34.0,1986.0,13.6,792,50,293,425,83,8,792,5,4,80.0,1,20.0,367,1776,1030,12,8,1,7,1,441,21,DF,30-34,Defender,Argentina,South America
11,Tammy Abraham,ENG,Chelsea,Premier League,2020,22.0,1997.0,11.6,358,20,35,171,154,61,358,18,6,33.3,12,66.7,154,694,266,12,5,8,33,7,239,66,FW,20-24,Forward,England,Europe
12,Amir Abrashi,ALB,Freiburg,Bundesliga,2020,30.0,1990.0,0.7,30,3,12,14,4,0,30,0,0,,0,,18,102,47,1,2,1,1,1,16,1,"MF,DF",30-34,Midfielder,Albania,Europe
13,Gennaro Acampora,ITA,Spezia,Serie A,2020,26.0,1994.0,4.9,282,8,39,147,102,4,282,16,10,62.5,6,37.5,187,1191,444,15,14,1,12,12,206,19,"MF,FW",25-29,Midfielder,Italy,Europe
14,Francesco Acerbi,ITA,Lazio,Serie A,2020,32.0,1988.0,31.3,2430,309,1122,1136,191,22,2430,8,6,75.0,2,25.0,1410,8649,4938,41,42,2,21,10,1565,46,DF,30-34,Defender,Italy,Europe
15,Ragnar Ache,GER,Eint Frankfurt,Bundesliga,2020,22.0,1998.0,1.1,53,1,2,27,25,10,53,0,0,,0,,17,109,34,3,4,1,7,2,36,12,"FW,DF",20-24,Forward,Germany,Europe
16,Marcos Acuña,ARG,Sevilla,La Liga,2020,28.0,1991.0,25.9,2019,61,661,878,502,30,2019,61,41,67.2,20,32.8,1103,5721,3242,65,50,12,40,29,1330,133,DF,25-29,Defender,Argentina,South America
18,Tyler Adams,USA,RB Leipzig,Bundesliga,2020,21.0,1999.0,20.6,1591,47,327,964,313,19,1591,26,15,57.7,11,42.3,901,4292,1941,27,31,3,37,14,1056,70,"MF,DF",20-24,Midfielder,United States,North America
19,Sargis Adamyan,ARM,Hoffenheim,Bundesliga,2020,27.0,1993.0,5.3,226,2,20,63,146,38,226,7,3,42.9,4,57.1,151,1099,514,20,16,3,14,6,176,58,"FW,MF",25-29,Forward,Armenia,Asia
20,Tosin Adarabioyo,ENG,Fulham,Premier League,2020,22.0,1997.0,32.8,2272,398,1310,900,67,35,2272,14,11,78.6,3,21.4,1337,5844,3132,5,5,0,12,5,1522,3,DF,20-24,Defender,England,Europe
22,Yacine Adli,FRA,Bordeaux,Ligue 1,2020,20.0,2000.0,26.9,1920,40,348,1217,390,25,1920,79,50,63.3,29,36.7,1179,5988,3121,54,50,10,42,41,1422,48,MF,20-24,Midfielder,France,Europe
23,Andrea Adorante,ITA,Parma,Serie A,2020,20.0,2000.0,0.1,2,0,0,2,0,0,2,0,0,,0,,2,9,0,0,0,0,0,2,1,0,FW,20-24,Forward,Italy,Europe
27,Felix Agu,GER,Werder Bremen,Bundesliga,2020,20.0,1999.0,7.8,409,21,152,180,80,7,409,11,5,45.5,6,54.5,160,841,345,7,4,1,21,7,191,33,DF,20-24,Defender,Germany,Europe
28,Kevin Agudelo,COL,Spezia,Serie A,2020,21.0,1998.0,15.1,544,2,58,233,271,56,544,76,44,57.9,32,42.1,325,2764,1424,50,35,24,35,25,357,82,FW,20-24,Forward,Colombia,South America
29,Nayef Aguerd,MAR,Rennes,Ligue 1,2020,24.0,1996.0,35.0,3016,241,1281,1679,75,38,3016,11,9,81.8,2,18.2,1885,7924,4548,14,16,1,11,10,2257,2,DF,20-24,Defender,Morocco,Africa
30,Sergio Agüero,ARG,Manchester City,Premier League,2020,32.0,1988.0,6.2,234,0,5,99,131,45,232,13,8,61.5,5,38.5,155,769,330,12,10,3,15,11,191,39,FW,30-34,Forward,Argentina,South America
31,Ruben Aguilar,FRA,Monaco,Ligue 1,2020,27.0,1993.0,24.7,1876,53,371,890,633,58,1876,29,12,41.4,17,58.6,944,5100,2717,74,52,4,40,14,1171,231,"DF,MF",25-29,Defender,France,Europe
34,Jean-Eudes Aholou,CIV,Strasbourg,Ligue 1,2020,26.0,1994.0,23.8,1105,45,239,692,200,22,1105,33,26,78.8,7,21.2,569,2891,1414,26,20,2,41,20,664,25,MF,25-29,Midfielder,Ivory Coast,Africa
35,Jean-Eudes Aholou,CIV,Monaco,Ligue 1,2020,26.0,1994.0,0.4,15,1,6,6,3,2,15,0,0,,0,,6,38,19,1,0,0,0,0,10,0,MF,25-29,Midfielder,Ivory Coast,Africa
36,Joseph Aidoo,GHA,Celta Vigo,La Liga,2020,24.0,1995.0,14.3,816,121,498,304,22,12,816,3,2,66.7,1,33.3,470,2286,1311,11,3,1,10,3,463,1,DF,20-24,Defender,Ghana,Africa
37,Ola Aina,NGA,Fulham,Premier League,2020,23.0,1996.0,29.6,2052,105,781,957,330,17,2052,33,21,63.6,12,36.4,1070,5595,3024,63,40,5,27,10,1254,50,DF,20-24,Defender,Nigeria,Africa
38,Rayan Aït-Nouri,ALG,Wolves,Premier League,2020,19.0,2001.0,15.6,996,42,267,430,309,26,996,54,26,48.1,28,51.9,573,2959,1702,47,34,9,30,19,622,85,DF,Under 20,Defender,Algeria,Africa
39,Rayan Aït-Nouri,ALG,Angers,Ligue 1,2020,19.0,2001.0,2.1,167,3,31,103,37,4,167,9,8,88.9,1,11.1,98,507,283,7,5,2,5,3,125,18,DF,Under 20,Defender,Algeria,Africa
40,Semi Ajayi,NGA,West Brom,Premier League,2020,26.0,1993.0,30.9,1325,223,691,559,86,43,1325,18,10,55.6,8,44.4,536,3098,1537,13,10,2,24,5,652,7,DF,25-29,Defender,Nigeria,Africa
41,Ludovic Ajorque,FRA,Strasbourg,Ligue 1,2020,26.0,1994.0,33.0,1251,62,122,597,539,159,1246,23,10,43.5,13,56.5,611,2404,953,33,25,15,74,31,940,224,FW,25-29,Forward,France,Europe
42,Manuel Akanji,SUI,Dortmund,Bundesliga,2020,25.0,1995.0,26.1,2358,189,943,1331,96,29,2358,10,9,90.0,1,10.0,1543,8495,5042,26,15,2,9,9,1804,7,DF,25-29,Defender,Switzerland,Europe
43,Carlos Akapo,EQG,Cádiz,La Liga,2020,27.0,1993.0,9.6,468,42,211,190,71,3,468,10,6,60.0,4,40.0,162,980,537,12,8,2,11,3,149,15,DF,25-29,Defender,Equatorial Guinea,Africa
44,Marley Aké,FRA,Marseille,Ligue 1,2020,19.0,2001.0,1.6,56,2,8,24,25,7,56,8,4,50.0,4,50.0,35,258,98,4,2,0,4,5,43,12,FW,Under 20,Forward,France,Europe
45,Nathan Aké,NED,Manchester City,Premier League,2020,25.0,1995.0,8.9,819,40,182,570,67,6,819,1,0,0.0,1,100.0,569,2748,1678,12,22,0,2,1,658,6,DF,25-29,Defender,Netherlands,Europe
46,Paul Akouokou,CIV,Betis,La Liga,2020,22.0,1997.0,4.2,231,10,57,156,19,0,231,4,3,75.0,1,25.0,122,716,338,4,4,0,3,2,143,1,MF,20-24,Midfielder,Ivory Coast,Africa
48,Kevin Akpoguma,NGA,Hoffenheim,Bundesliga,2020,25.0,1995.0,13.2,863,77,370,453,45,5,863,10,6,60.0,4,40.0,517,2441,1247,10,4,1,10,1,579,14,DF,25-29,Defender,Nigeria,Africa
49,David Alaba,AUT,Bayern Munich,Bundesliga,2020,28.0,1992.0,29.7,2539,146,836,1396,329,24,2539,19,16,84.2,3,15.8,1654,9691,5512,56,38,2,20,12,1856,70,"DF,MF",25-29,Defender,Austria,Europe
50,Sofiane Alakouch,MAR,Nîmes,Ligue 1,2020,22.0,1998.0,16.7,1127,46,376,530,228,9,1127,36,18,50.0,18,50.0,545,2292,1350,35,22,4,26,17,605,47,DF,20-24,Defender,Morocco,Africa
52,Lucas Alario,ARG,Leverkusen,Bundesliga,2020,27.0,1992.0,13.8,462,14,40,194,233,74,460,21,16,76.2,5,23.8,226,921,284,7,5,4,46,16,361,75,FW,25-29,Forward,Argentina,South America
56,Marc Albrighton,ENG,Leicester City,Premier League,2020,30.0,1989.0,19.4,1163,37,246,462,476,37,1163,66,37,56.1,29,43.9,615,3494,1576,46,33,7,33,29,725,139,"DF,FW",30-34,Defender,England,Europe
61,Omar Alderete,PAR,Hertha BSC,Bundesliga,2020,23.0,1996.0,14.4,1058,107,586,459,21,10,1058,18,15,83.3,3,16.7,653,3162,1834,8,6,0,6,3,718,3,DF,20-24,Defender,Paraguay,South America
67,Trent Alexander-Arnold,ENG,Liverpool,Premier League,2020,21.0,1998.0,33.7,3318,73,699,1494,1151,81,3318,61,32,52.5,29,47.5,1992,9462,5442,98,95,24,31,22,2202,249,DF,20-24,Defender,England,Europe
71,Rachid Alioui,MAR,Angers,Ligue 1,2020,28.0,1992.0,0.2,11,0,3,3,5,2,11,0,0,,0,,6,5,0,0,0,0,1,1,9,1,FW,25-29,Forward,Morocco,Africa
72,Alisson,BRA,Liverpool,Premier League,2020,27.0,1992.0,33.0,1239,931,1224,16,1,1,1239,2,2,100.0,0,0.0,709,2807,1763,0,0,0,0,0,669,0,GK,25-29,Goalkeeper,Brazil,South America
72,Alisson,BRA,Liverpool,Premier League,2020,27.0,1992.0,33.0,1239,931,1224,16,1,1,1239,2,2,100.0,0,0.0,709,2807,1763,0,0,0,0,0,669,0,GK,25-29,Goalkeeper,Brazil,South America
72,Alisson,BRA,Liverpool,Premier League,2020,27.0,1992.0,33.0,1239,931,1224,16,1,1,1239,2,2,100.0,0,0.0,709,2807,1763,0,0,0,0,0,669,0,GK,25-29,Goalkeeper,Brazil,South America
72,Alisson,BRA,Liverpool,Premier League,2020,27.0,1992.0,33.0,1239,931,1224,16,1,1,1239,2,2,100.0,0,0.0,709,2807,1763,0,0,0,0,0,669,0,GK,25-29,Goalkeeper,Brazil,South America
73,Saturnin Allagbé,BEN,Dijon,Ligue 1,2020,26.0,1993.0,12.0,443,395,443,0,0,0,443,1,1,100.0,0,0.0,228,866,497,0,0,0,1,0,170,0,GK,25-29,Goalkeeper,Benin,Africa
74,Allan,BRA,Everton,Premier League,2020,29.0,1991.0,22.8,1310,68,382,816,136,3,1310,49,31,63.3,18,36.7,721,4220,2314,30,31,2,21,18,831,8,MF,25-29,Midfielder,Brazil,South America
74,Allan,BRA,Everton,Premier League,2020,29.0,1991.0,22.8,1310,68,382,816,136,3,1310,49,31,63.3,18,36.7,721,4220,2314,30,31,2,21,18,831,8,MF,25-29,Midfielder,Brazil,South America
74,Allan,BRA,Everton,Premier League,2020,29.0,1991.0,22.8,1310,68,382,816,136,3,1310,49,31,63.3,18,36.7,721,4220,2314,30,31,2,21,18,831,8,MF,25-29,Midfielder,Brazil,South America
74,Allan,BRA,Everton,Premier League,2020,29.0,1991.0,22.8,1310,68,382,816,136,3,1310,49,31,63.3,18,36.7,721,4220,2314,30,31,2,21,18,831,8,MF,25-29,Midfielder,Brazil,South America
75,Dele Alli,ENG,Tottenham,Premier League,2020,24.0,1996.0,6.9,444,7,64,241,146,23,444,25,11,44.0,14,56.0,276,1588,641,15,18,5,13,16,303,30,MF,20-24,Midfielder,England,Europe
76,Miguel Almirón,PAR,Newcastle Utd,Premier League,2020,26.0,1994.0,27.0,1179,33,230,557,421,40,1179,73,39,53.4,34,46.6,773,5516,2516,70,48,14,48,34,792,109,"MF,FW",25-29,Midfielder,Paraguay,South America
81,Steven Alzate,COL,Brighton,Premier League,2020,21.0,1998.0,10.0,536,17,105,308,128,12,536,16,8,50.0,8,50.0,323,1638,807,16,8,1,13,9,393,16,MF,20-24,Midfielder,Colombia,South America
82,Ibrahim Amadou,FRA,Angers,Ligue 1,2020,27.0,1993.0,16.7,837,34,208,549,87,12,837,15,10,66.7,5,33.3,477,1929,898,14,9,3,14,17,534,14,MF,25-29,Midfielder,France,Europe
83,Romain Amalfitano,FRA,Dijon,Ligue 1,2020,30.0,1989.0,1.3,68,3,12,36,21,0,68,1,0,0.0,1,100.0,51,284,159,3,2,0,1,2,48,8,"FW,DF",30-34,Forward,France,Europe
86,Jordan Amavi,FRA,Marseille,Ligue 1,2020,26.0,1994.0,9.0,569,36,205,260,112,8,569,20,12,60.0,8,40.0,275,1532,676,17,19,2,13,9,300,33,DF,25-29,Defender,France,Europe
89,Nadiem Amiri,GER,Leverkusen,Bundesliga,2020,23.0,1996.0,21.0,1351,19,158,764,443,30,1351,39,21,53.8,18,46.2,777,4342,2040,45,34,8,50,23,1011,82,MF,20-24,Midfielder,Germany,Europe
90,Ethan Ampadu,WAL,Sheffield Utd,Premier League,2020,19.0,2000.0,23.2,1374,138,516,670,202,6,1374,15,13,86.7,2,13.3,678,4063,2384,25,28,0,16,5,765,23,"DF,MF",Under 20,Defender,Wales,Europe
93,Joachim Andersen,DEN,Fulham,Premier League,2020,24.0,1996.0,30.3,2275,309,1259,944,90,25,2275,11,9,81.8,2,18.2,1304,7345,4043,20,13,1,10,3,1456,7,DF,20-24,Defender,Denmark,Europe
94,Joachim Andersen,DEN,Lyon,Ligue 1,2020,24.0,1996.0,2.1,138,14,78,51,9,2,138,2,1,50.0,1,50.0,86,445,259,4,1,0,2,2,93,0,DF,20-24,Defender,Denmark,Europe
95,Djavan Anderson,NED,Lazio,Serie A,2020,25.0,1995.0,0.8,37,1,7,15,15,0,37,2,0,0.0,2,100.0,20,116,37,2,0,0,1,1,20,4,DF,25-29,Defender,Netherlands,Europe
97,Felipe Anderson,BRA,West Ham,Premier League,2020,27.0,1993.0,0.0,7,0,0,4,3,1,7,0,0,,0,,6,78,51,2,1,0,0,0,6,0,"FW,MF",25-29,Forward,Brazil,South America
98,Sebastian Andersson,SWE,Köln,Bundesliga,2020,29.0,1991.0,12.5,377,13,27,199,155,53,376,6,4,66.7,2,33.3,154,631,267,6,7,5,44,9,271,55,FW,25-29,Forward,Sweden,Europe
100,Benjamin André,FRA,Lille,Ligue 1,2020,29.0,1990.0,32.1,2442,78,462,1614,392,39,2442,44,29,65.9,15,34.1,1374,5783,2712,28,43,3,40,40,1629,64,MF,25-29,Midfielder,France,Europe
101,Marcos André,BRA,Valladolid,La Liga,2020,23.0,1996.0,13.1,357,13,37,141,186,43,357,26,13,50.0,13,50.0,191,1169,574,26,13,11,43,17,269,67,FW,20-24,Forward,Brazil,South America
101,Marcos André,BRA,Valladolid,La Liga,2020,23.0,1996.0,13.1,357,13,37,141,186,43,357,26,13,50.0,13,50.0,191,1169,574,26,13,11,43,17,269,67,FW,20-24,Forward,Brazil,South America
101,Marcos André,BRA,Valladolid,La Liga,2020,23.0,1996.0,13.1,357,13,37,141,186,43,357,26,13,50.0,13,50.0,191,1169,574,26,13,11,43,17,269,67,FW,20-24,Forward,Brazil,South America
101,Marcos André,BRA,Valladolid,La Liga,2020,23.0,1996.0,13.1,357,13,37,141,186,43,357,26,13,50.0,13,50.0,191,1169,574,26,13,11,43,17,269,67,FW,20-24,Forward,Brazil,South America
102,Robert Andrich,GER,Union Berlin,Bundesliga,2020,25.0,1994.0,28.1,1737,62,441,1041,273,21,1737,26,19,73.1,7,26.9,857,4119,1616,25,28,3,35,12,1079,31,MF,25-29,Midfielder,Germany,Europe
110,Cristian Ansaldi,ARG,Torino,Serie A,2020,33.0,1986.0,21.6,1205,60,305,481,435,31,1204,54,28,51.9,26,48.1,645,4747,2501,91,58,8,26,17,658,93,"DF,FW",30-34,Defender,Argentina,South America
111,Waldemar Anton,GER,Stuttgart,Bundesliga,2020,24.0,1996.0,30.1,2415,359,1273,1068,84,28,2415,17,13,76.5,4,23.5,1480,8920,4907,24,16,5,24,25,1663,12,DF,20-24,Defender,Germany,Europe
112,Michail Antonio,JAM,West Ham,Premier League,2020,30.0,1990.0,21.9,783,11,34,299,460,120,783,87,43,49.4,44,50.6,473,2817,1365,59,31,25,78,49,638,177,FW,30-34,Forward,Jamaica,North America
114,Valentin Antov,BUL,Bologna,Serie A,2020,19.0,2000.0,2.6,154,30,101,51,2,0,154,1,1,100.0,0,0.0,71,353,200,1,1,0,2,0,93,0,DF,Under 20,Defender,Bulgaria,Europe
115,Houssem Aouar,ALG,Lyon,Ligue 1,2020,22.0,1998.0,19.8,1248,8,78,654,535,119,1246,81,46,56.8,35,43.2,841,4633,2482,74,54,33,54,35,1021,172,"MF,FW",20-24,Midfielder,Algeria,Africa
116,Adil Aouchiche,FRA,Saint-Étienne,Ligue 1,2020,18.0,2002.0,19.2,1046,11,126,530,406,48,1046,61,34,55.7,27,44.3,620,3832,1947,56,29,14,61,27,701,92,"MF,FW",Under 20,Midfielder,France,Europe
117,Dennis Appiah,FRA,Nantes,Ligue 1,2020,28.0,1992.0,17.3,1057,50,345,462,256,12,1057,20,12,60.0,8,40.0,467,2251,1189,33,29,3,18,17,512,81,DF,25-29,Defender,France,Europe
119,Mauro Arambarri,URU,Getafe,La Liga,2020,24.0,1995.0,33.1,1443,39,223,814,436,31,1443,56,36,64.3,20,35.7,716,4368,1745,38,44,9,39,31,721,50,MF,20-24,Midfielder,Uruguay,South America
120,Charles Aránguiz,CHI,Leverkusen,Bundesliga,2020,31.0,1989.0,18.5,1357,49,312,887,162,12,1357,15,9,60.0,6,40.0,707,2687,1191,11,14,2,20,9,917,18,MF,30-34,Midfielder,Chile,South America
121,Luiz Araújo,BRA,Lille,Ligue 1,2020,24.0,1996.0,16.6,854,11,80,387,410,46,854,84,49,58.3,35,41.7,523,3692,1694,50,47,13,37,27,601,135,MF,20-24,Midfielder,Brazil,South America
125,Alphonse Areola,FRA,Fulham,Premier League,2020,27.0,1993.0,36.0,1101,972,1096,5,0,0,1101,0,0,,0,,574,2982,1600,0,0,0,1,0,414,0,GK,25-29,Goalkeeper,France,Europe
126,Santiago Arias,COL,Leverkusen,Bundesliga,2020,28.0,1992.0,1.0,68,3,21,34,14,2,68,0,0,,0,,22,126,63,2,1,0,1,0,38,4,DF,25-29,Defender,Colombia,South America
127,Karim Aribi,ALG,Nîmes,Ligue 1,2020,26.0,1994.0,3.3,110,3,13,54,47,12,110,8,3,37.5,5,62.5,45,272,114,4,3,2,13,3,72,19,FW,25-29,Forward,Algeria,Africa
129,Nicolò Armini,ITA,Lazio,Serie A,2020,19.0,2001.0,0.1,5,0,1,3,1,0,5,0,0,,0,,3,27,0,0,0,0,0,0,3,0,DF,Under 20,Defender,Italy,Europe
130,Stuart Armstrong,SCO,Southampton,Premier League,2020,28.0,1992.0,30.7,1669,38,234,946,512,53,1669,106,68,64.2,38,35.8,985,7033,3521,109,75,10,77,68,1132,118,MF,25-29,Midfielder,Scotland,Europe
131,Maximilian Arnold,GER,Wolfsburg,Bundesliga,2020,26.0,1994.0,28.7,1964,85,368,1188,432,11,1964,19,17,89.5,2,10.5,939,4472,2243,30,37,2,29,22,1097,33,MF,25-29,Midfielder,Germany,Europe
135,Tolgay Arslan,GER,Udinese,Serie A,2020,29.0,1990.0,20.2,1095,23,227,652,234,19,1095,48,34,70.8,14,29.2,665,3971,2354,48,45,6,22,22,734,37,MF,25-29,Midfielder,Germany,Europe
136,Kwadwo Asamoah,GHA,Cagliari,Serie A,2020,31.0,1988.0,2.5,136,8,34,70,35,1,136,3,2,66.7,1,33.3,72,325,211,4,5,0,1,1,77,11,"DF,MF",30-34,Defender,Ghana,Africa
137,Santiago Ascacíbar,ARG,Hertha BSC,Bundesliga,2020,23.0,1997.0,8.5,484,22,149,274,65,10,484,6,2,33.3,4,66.7,216,904,421,7,4,1,19,3,250,8,MF,20-24,Midfielder,Argentina,South America
142,Roger Assalé,CIV,Dijon,Ligue 1,2020,26.0,1993.0,9.2,274,2,31,125,121,27,274,23,10,43.5,13,56.5,203,1247,556,22,14,9,30,19,220,58,"FW,MF",25-29,Forward,Ivory Coast,Africa
145,Pierre-Emerick Aubameyang,GAB,Arsenal,Premier League,2020,31.0,1989.0,25.9,887,19,113,345,437,119,885,25,12,48.0,13,52.0,525,3124,1692,65,29,28,39,19,703,195,FW,30-34,Forward,Gabon,Africa
146,Emil Audero,ITA,Sampdoria,Serie A,2020,23.0,1997.0,37.0,1341,1180,1336,5,1,1,1341,0,0,,0,,709,3742,2187,0,0,0,0,0,572,0,GK,20-24,Goalkeeper,Italy,Europe
147,Tommaso Augello,ITA,Sampdoria,Serie A,2020,25.0,1994.0,35.7,2330,109,708,1016,632,31,2330,54,31,57.4,23,42.6,1215,6866,3913,105,72,7,43,16,1409,159,DF,25-29,Defender,Italy,Europe
148,Jean-Kévin Augustin,FRA,Nantes,Ligue 1,2020,23.0,1997.0,0.4,7,0,1,5,1,0,7,0,0,,0,,4,5,0,0,0,0,1,0,5,1,FW,20-24,Forward,France,Europe
150,Serge Aurier,CIV,Tottenham,Premier League,2020,27.0,1992.0,17.8,1221,78,416,555,264,25,1221,32,17,53.1,15,46.9,558,2181,1129,28,16,5,29,13,678,82,DF,25-29,Defender,Ivory Coast,Africa
151,Charlie Austin,ENG,West Brom,Premier League,2020,31.0,1989.0,1.5,55,4,8,22,26,4,55,2,1,50.0,1,50.0,22,101,51,1,2,1,4,2,36,4,"FW,MF",30-34,Forward,England,Europe
153,Taiwo Awoniyi,NGA,Union Berlin,Bundesliga,2020,22.0,1997.0,15.1,485,3,26,268,203,66,485,29,13,44.8,16,55.2,294,1358,495,19,23,10,75,29,389,108,FW,20-24,Forward,Nigeria,Africa
155,Jordan Ayew,GHA,Crystal Palace,Premier League,2020,28.0,1991.0,23.3,973,17,137,476,381,57,973,89,52,58.4,37,41.6,585,3988,1762,58,32,14,82,60,711,109,"FW,MF",25-29,Forward,Ghana,Africa
157,Luke Ayling,ENG,Leeds United,Premier League,2020,28.0,1991.0,37.8,3219,236,1348,1400,498,68,3219,59,41,69.5,18,30.5,1818,11724,7382,110,39,6,55,21,2030,110,DF,25-29,Defender,England,Europe
158,Ramon Azeez,NGA,Granada,La Liga,2020,27.0,1992.0,1.1,43,1,5,28,10,2,43,0,0,,0,,24,64,13,0,0,0,1,1,26,2,MF,25-29,Midfielder,Nigeria,Africa
161,Carlos Bacca,COL,Villarreal,La Liga,2020,33.0,1986.0,8.7,244,1,20,108,118,38,244,14,5,35.7,9,64.3,139,664,308,11,11,4,20,11,178,52,FW,30-34,Forward,Colombia,South America
163,Milan Badelj,CRO,Genoa,Serie A,2020,31.0,1989.0,26.8,1905,78,478,1177,273,13,1905,46,36,78.3,10,21.7,1036,4111,1845,23,26,1,31,22,1193,25,MF,30-34,Midfielder,Croatia,Europe
165,Benoît Badiashile,FRA,Monaco,Ligue 1,2020,19.0,2001.0,31.9,2721,218,1123,1532,81,32,2721,7,4,57.1,3,42.9,1613,7551,4566,17,16,0,15,2,1955,6,DF,Under 20,Defender,France,Europe
169,Leon Bailey,JAM,Leverkusen,Bundesliga,2020,22.0,1997.0,23.8,1238,7,91,473,702,108,1238,136,74,54.4,62,45.6,734,5905,3027,112,68,43,71,30,899,254,"FW,MF",20-24,Forward,Jamaica,North America
170,Eric Bailly,CIV,Manchester Utd,Premier League,2020,26.0,1994.0,10.2,652,92,339,304,14,4,652,4,4,100.0,0,0.0,429,2480,1331,6,5,0,7,0,424,0,DF,25-29,Defender,Ivory Coast,Africa
171,Stefan Bajic,FRA,Saint-Étienne,Ligue 1,2020,18.0,2001.0,1.0,39,35,39,0,0,0,39,0,0,,0,,24,92,37,0,0,0,0,0,20,0,GK,Under 20,Goalkeeper,France,Europe
173,Mitchel Bakker,NED,Paris S-G,Ligue 1,2020,20.0,2000.0,18.8,1486,45,322,694,482,28,1486,30,15,50.0,15,50.0,837,3130,1476,31,31,4,18,11,1023,180,DF,20-24,Defender,Netherlands,Europe
174,Ridle Baku,GER,Wolfsburg,Bundesliga,2020,22.0,1998.0,29.8,1843,41,358,821,685,75,1843,73,37,50.7,35,47.9,989,5064,2450,69,45,14,61,38,1141,243,"FW,DF",20-24,Forward,Germany,Europe
175,Ridle Baku,GER,Mainz 05,Bundesliga,2020,22.0,1998.0,2.0,110,10,45,48,20,2,110,3,2,66.7,1,33.3,43,267,206,7,5,0,3,1,56,7,DF,20-24,Defender,Germany,Europe
176,Dilane Bakwa,FRA,Bordeaux,Ligue 1,2020,17.0,2002.0,0.6,55,0,4,37,14,1,55,1,0,0.0,1,100.0,40,213,66,1,1,1,3,1,49,2,"FW,MF",Under 20,Forward,France,Europe
178,Keita Baldé,SEN,Sampdoria,Serie A,2020,25.0,1995.0,13.3,473,4,21,189,270,83,473,26,16,61.5,10,38.5,302,1847,961,40,26,23,45,15,400,110,FW,25-29,Forward,Senegal,Africa
179,George Baldock,GRE,Sheffield Utd,Premier League,2020,27.0,1993.0,31.0,1443,95,389,502,569,45,1443,33,17,51.5,16,48.5,656,4130,1969,68,47,9,33,20,772,140,DF,25-29,Defender,Greece,Europe
180,Gareth Bale,WAL,Tottenham,Premier League,2020,31.0,1989.0,10.2,564,19,79,251,242,41,564,49,27,55.1,22,44.9,316,2345,1001,31,21,12,17,7,391,85,FW,30-34,Forward,Wales,Europe
182,Leonardo Balerdi,ARG,Marseille,Ligue 1,2020,21.0,1999.0,18.2,1248,122,627,580,50,16,1248,13,10,76.9,3,23.1,771,3755,1897,11,11,2,11,10,820,1,DF,20-24,Defender,Argentina,South America
183,Fodé Ballo-Touré,SEN,Monaco,Ligue 1,2020,23.0,1997.0,7.4,505,13,112,244,152,17,505,9,3,33.3,6,66.7,256,1560,789,30,17,6,7,5,302,52,DF,20-24,Defender,Senegal,Africa
184,Botond Balogh,HUN,Parma,Serie A,2020,18.0,2002.0,1.8,105,13,62,40,3,1,105,1,1,100.0,0,0.0,63,300,196,1,1,0,1,0,64,1,DF,Under 20,Defender,Hungary,Europe
185,Abdoulaye Bamba,CIV,Angers,Ligue 1,2020,30.0,1990.0,15.0,993,36,315,495,189,5,993,9,4,44.4,5,55.6,479,1855,818,19,13,2,13,3,553,60,DF,30-34,Defender,Ivory Coast,Africa
186,Jonathan Bamba,CIV,Lille,Ligue 1,2020,24.0,1996.0,33.2,2079,26,186,1022,901,68,2079,119,52,43.7,67,56.3,1348,7685,3685,103,95,23,89,72,1517,262,MF,20-24,Midfielder,Ivory Coast,Africa
188,Patrick Bamford,ENG,Leeds United,Premier League,2020,26.0,1993.0,33.9,850,47,82,384,394,163,848,40,19,47.5,21,52.5,388,1801,700,32,16,20,81,21,556,167,FW,25-29,Forward,England,Europe
189,Mattia Bani,ITA,Genoa,Serie A,2020,26.0,1993.0,10.2,650,82,358,271,22,7,650,1,0,0.0,1,100.0,325,1489,671,1,3,1,2,5,389,3,DF,25-29,Defender,Italy,Europe
190,Mattia Bani,ITA,Parma,Serie A,2020,26.0,1993.0,12.7,846,115,491,336,22,10,846,0,0,,0,,487,2361,1238,5,2,0,3,1,587,5,DF,25-29,Defender,Italy,Europe
