rk,player,nation,squad,comp,season,age,born,ninety_mins_played,touches,def_pen_area_touches,def_third_touches,mid_third_touches,att_third_touches,att_pen_area_touches,live_ball_touches,take_ons_attempted,take_ons_successful,take_on_succ_pct,take_ons_tackled,take_on_tackled_pct,carries,total_distance_carried,progressive_carries_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,position,age_range,general_position,country,continent
184,Mikel Balenziaga,ESP,Athletic Club,La Liga,2021,33.0,1988.0,22.5,1225,88,371,609,254,10,1225,12,6,50.0,6,50.0,507,2081,1147,29,16,0,13,12,565,66,DF,30-34,Defender,Spain,Europe
206,Kike Barja,ESP,Osasuna,La Liga,2021,24.0,1997.0,9.6,525,5,48,216,270,33,525,57,34,59.6,23,40.4,343,2315,926,34,19,5,37,28,390,92,"MF,FW",20-24,Midfielder,Spain,Europe
211,Antonio Barragán,ESP,Elche,La Liga,2021,34.0,1987.0,11.3,635,59,260,272,105,2,635,1,0,0.0,1,100.0,282,917,445,7,3,0,9,1,353,30,DF,30-34,Defender,Spain,Europe
213,Ander Barrenetxea,ESP,Real Sociedad,La Liga,2021,19.0,2001.0,6.1,275,5,43,117,120,24,275,37,15,40.5,22,59.5,183,1147,577,20,11,10,23,16,203,72,"FW,MF",Under 20,Forward,Spain,Europe
217,Marc Bartra,ESP,Betis,La Liga,2021,30.0,1991.0,22.1,1397,198,769,579,52,24,1397,8,7,87.5,1,12.5,754,3315,1865,14,10,2,12,4,862,5,DF,30-34,Defender,Spain,Europe
223,Álvaro Bastida,ESP,Cádiz,La Liga,2021,17.0,2004.0,2.2,66,2,12,45,9,0,66,0,0,,0,,32,102,40,0,1,0,0,0,39,0,MF,Under 20,Midfielder,Spain,Europe
233,Jon Bautista,ESP,Real Sociedad,La Liga,2021,26.0,1995.0,0.5,15,1,2,8,5,1,15,1,1,100.0,0,0.0,4,16,6,0,0,0,0,1,6,1,MF,25-29,Midfielder,Spain,Europe
237,Ihlas Bebou,TOG,Hoffenheim,Bundesliga,2021,27.0,1994.0,23.2,903,27,127,328,455,102,903,44,18,40.9,25,56.8,511,2782,1162,48,27,17,62,30,610,166,"FW,DF",25-29,Forward,Togo,Africa
241,Jan Bednarek,POL,Southampton,Premier League,2021,25.0,1996.0,29.2,1828,206,865,904,72,33,1828,1,1,100.0,0,0.0,873,3515,1642,0,8,0,7,4,993,5,DF,25-29,Defender,Poland,Europe
248,Vid Belec,SVN,Salernitana,Serie A,2021,31.0,1990.0,21.5,629,562,628,1,0,0,629,0,0,,0,,308,2007,1375,0,0,0,1,0,180,0,GK,30-34,Goalkeeper,Slovenia,Europe
