rk,player,nation,squad,comp,season,age,born,ninety_mins_played,passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins,corner_kicks,inswinging_corners,outswinging_corners,straight_corners,passes_completed,passes_offside,passes_blocked,position,age_range,general_position,country,continent
2851,Frederik Winther,DEN,Augsburg,Bundesliga,2021,20.0,2001.0,3.6,161,157,4,1,0,3,1,3,0,0,0,0,120,0,2,DF,20-24,Defender,Denmark,Europe
2852,Florian Wirtz,GER,Leverkusen,Bundesliga,2021,18.0,2003.0,20.6,895,788,100,18,16,3,63,14,35,17,16,0,664,7,15,"MF,FW",Under 20,Midfielder,Germany,Europe
2853,Yoane Wissa,COD,Brentford,Premier League,2021,24.0,1996.0,14.3,286,281,4,2,2,0,11,1,0,0,0,0,188,1,10,FW,20-24,Forward,DR Congo,Africa
2854,Axel Witsel,BEL,Dortmund,Bundesliga,2021,32.0,1989.0,21.6,1305,1253,52,48,1,3,0,4,0,0,0,0,1217,0,9,"MF,DF",30-34,Midfielder,Belgium,Europe
2855,Hannes Wolf,AUT,Gladbach,Bundesliga,2021,22.0,1999.0,3.4,112,104,8,1,2,0,2,7,0,0,0,0,82,0,5,"FW,MF",20-24,Forward,Austria,Europe
2856,Marius Wolf,GER,Dortmund,Bundesliga,2021,26.0,1995.0,14.7,723,636,83,8,1,4,25,74,1,0,0,0,554,4,25,"DF,FW",25-29,Defender,Germany,Europe
2859,Chris Wood,NZL,Burnley,Premier League,2021,29.0,1991.0,15.2,310,307,2,0,0,2,5,0,1,1,0,0,178,1,12,FW,25-29,Forward,New Zealand,Oceania
2860,Chris Wood,NZL,Newcastle Utd,Premier League,2021,29.0,1991.0,14.7,327,322,2,0,1,1,2,0,0,0,0,0,169,3,11,FW,25-29,Forward,New Zealand,Oceania
2861,Freddie Woodman,ENG,Newcastle Utd,Premier League,2021,24.0,1997.0,4.0,120,73,45,6,0,0,0,0,0,0,0,0,74,2,0,GK,20-24,Goalkeeper,England,Europe
2862,Christopher Wooh,CMR,Lens,Ligue 1,2021,19.0,2001.0,11.7,604,586,18,17,0,2,1,1,0,0,0,0,526,0,6,DF,Under 20,Defender,Cameroon,Africa
2863,Joscha Wosz,GER,RB Leipzig,Bundesliga,2021,19.0,2002.0,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,DF,Under 20,Defender,Germany,Europe
2865,Granit Xhaka,SUI,Arsenal,Premier League,2021,28.0,1992.0,25.9,1589,1519,70,43,8,15,25,21,0,0,0,0,1367,0,20,"MF,DF",25-29,Midfielder,Switzerland,Europe
2869,Kelvin Yeboah,ITA,Genoa,Serie A,2021,21.0,2000.0,9.4,178,171,6,0,0,0,10,2,0,0,0,0,113,1,10,"FW,MF",20-24,Forward,Italy,Europe
2875,Maya Yoshida,JPN,Sampdoria,Serie A,2021,32.0,1988.0,20.3,966,933,29,25,2,6,4,2,0,0,0,0,814,4,5,DF,30-34,Defender,Japan,Asia
2876,Ashley Young,ENG,Aston Villa,Premier League,2021,36.0,1985.0,13.9,645,535,106,16,0,7,44,78,5,2,2,0,492,4,16,"DF,FW",35-39,Defender,England,Europe
2879,Mattia Zaccagni,ITA,Hellas Verona,Serie A,2021,26.0,1995.0,2.0,70,57,13,2,1,0,10,0,9,4,2,0,56,0,2,MF,25-29,Midfielder,Italy,Europe
2880,Mattia Zaccagni,ITA,Lazio,Serie A,2021,26.0,1995.0,20.8,740,716,23,4,1,7,41,16,3,0,0,0,592,1,20,FW,25-29,Forward,Italy,Europe
2881,Dan-Axel Zagadou,FRA,Dortmund,Bundesliga,2021,22.0,1999.0,10.6,912,886,24,15,0,3,1,6,0,0,0,0,802,2,4,DF,20-24,Defender,France,Europe
2883,Denis Zakaria,SUI,Juventus,Serie A,2021,24.0,1996.0,6.6,168,167,0,0,0,0,5,0,0,0,0,0,129,1,12,MF,20-24,Midfielder,Switzerland,Europe
2884,Denis Zakaria,SUI,Gladbach,Bundesliga,2021,24.0,1996.0,15.5,819,792,25,20,0,2,5,3,0,0,0,0,732,2,10,"MF,DF",20-24,Midfielder,Switzerland,Europe
2888,Nicolò Zaniolo,ITA,Roma,Serie A,2021,22.0,1999.0,21.9,523,486,31,2,2,12,67,5,20,20,0,0,356,6,29,"FW,MF",20-24,Forward,Italy,Europe
2889,Alessandro Zanoli,ITA,Napoli,Serie A,2021,20.0,2000.0,5.1,286,246,40,3,1,1,4,36,1,0,0,0,231,0,11,DF,20-24,Defender,Italy,Europe
2891,Duván Zapata,COL,Atalanta,Serie A,2021,30.0,1991.0,19.1,548,494,51,0,3,5,25,5,0,0,0,0,407,3,14,FW,30-34,Forward,Colombia,South America
2892,Gabriele Zappa,ITA,Cagliari,Serie A,2021,21.0,1999.0,12.7,609,512,95,11,0,2,25,84,0,0,0,0,454,2,25,DF,20-24,Defender,Italy,Europe
2893,Davide Zappacosta,ITA,Atalanta,Serie A,2021,29.0,1992.0,26.1,1503,1262,236,21,1,2,88,211,4,1,0,0,1238,5,40,DF,25-29,Defender,Italy,Europe
2895,Simone Zaza,ITA,Torino,Serie A,2021,30.0,1991.0,1.4,42,41,1,0,0,0,1,1,0,0,0,0,31,0,0,"FW,DF",30-34,Forward,Italy,Europe
2896,Akim Zedadka,ALG,Clermont Foot,Ligue 1,2021,26.0,1995.0,37.1,2101,1642,453,35,1,3,124,417,1,0,0,0,1688,6,52,DF,25-29,Defender,Algeria,Africa
2897,Deyovaisio Zeefuik,NED,Hertha BSC,Bundesliga,2021,23.0,1998.0,6.3,262,201,60,7,0,1,11,53,0,0,0,0,196,1,3,DF,20-24,Defender,Netherlands,Europe
2898,Marvin Zeegelaar,NED,Udinese,Serie A,2021,30.0,1990.0,7.1,319,286,32,4,0,0,2,27,0,0,0,0,246,1,4,DF,30-34,Defender,Netherlands,Europe
