rk,player,nation,squad,comp,season,age,born,ninety_mins_played,passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins,corner_kicks,inswinging_corners,outswinging_corners,straight_corners,passes_completed,passes_offside,passes_blocked,position,age_range,general_position,country,continent
2,Max Aarons,ENG,Norwich City,Premier League,2019,19.0,2000.0,36.0,1711,1389,322,23,0,4,73,299,0,0,0,0,1332,0,65,DF,Under 20,Defender,England,Europe
3,Yunis Abdelhamid,MAR,Reims,Ligue 1,2019,31.0,1987.0,28.0,1570,1491,75,72,0,13,1,3,0,0,0,0,1323,4,10,DF,30-34,Defender,Morocco,Africa
4,Suleiman Abdullahi,NGA,Union Berlin,Bundesliga,2019,22.0,1996.0,1.7,42,42,0,0,0,0,8,0,0,0,0,0,19,0,3,"FW,MF",20-24,Forward,Nigeria,Africa
6,Charles Abi,FRA,Saint-Étienne,Ligue 1,2019,19.0,2000.0,6.9,132,121,11,0,0,0,5,0,0,0,0,0,75,0,7,FW,Under 20,Forward,France,Europe
7,David Abraham,ARG,Eint Frankfurt,Bundesliga,2019,33.0,1986.0,18.8,911,857,52,22,0,12,9,30,0,0,0,0,738,2,5,DF,30-34,Defender,Argentina,South America
8,Tammy Abraham,ENG,Chelsea,Premier League,2019,21.0,1997.0,24.6,418,367,51,0,2,1,11,0,0,0,0,0,275,0,24,FW,20-24,Forward,England,Europe
9,Amir Abrashi,ALB,Freiburg,Bundesliga,2019,29.0,1990.0,7.4,330,317,13,9,0,0,7,1,0,0,0,0,280,0,9,MF,25-29,Midfielder,Albania,Europe
10,Francesco Acerbi,ITA,Lazio,Serie A,2019,31.0,1988.0,35.1,2073,1979,93,69,3,38,26,23,1,0,0,0,1844,1,12,DF,30-34,Defender,Italy,Europe
12,Tyler Adams,USA,RB Leipzig,Bundesliga,2019,20.0,1999.0,10.6,703,626,77,21,0,5,10,56,0,0,0,0,584,0,14,"MF,DF",20-24,Midfielder,United States,North America
13,Sargis Adamyan,ARM,Hoffenheim,Bundesliga,2019,26.0,1993.0,8.3,180,169,10,0,0,1,11,7,0,0,0,0,128,1,11,"FW,MF",25-29,Forward,Armenia,Asia
16,Claud Adjapong,ITA,Hellas Verona,Serie A,2019,21.0,1998.0,2.6,83,69,14,0,0,0,3,14,0,0,0,0,58,0,1,DF,20-24,Defender,Italy,Europe
17,Amine Adli,MAR,Toulouse,Ligue 1,2019,19.0,2000.0,0.5,26,22,4,1,0,0,4,0,3,2,0,0,20,0,0,"MF,FW",Under 20,Midfielder,Morocco,Africa
18,Yacine Adli,FRA,Bordeaux,Ligue 1,2019,19.0,2000.0,11.3,571,530,38,17,6,2,39,2,19,12,6,0,448,3,8,MF,Under 20,Midfielder,France,Europe
24,Kevin Agudelo,COL,Fiorentina,Serie A,2019,20.0,1998.0,0.7,37,36,0,0,0,0,0,0,0,0,0,0,29,1,0,"MF,FW",20-24,Midfielder,Colombia,South America
25,Kevin Agudelo,COL,Genoa,Serie A,2019,20.0,1998.0,7.4,293,292,1,0,0,2,11,1,0,0,0,0,239,0,12,"MF,FW",20-24,Midfielder,Colombia,South America
26,Nayef Aguerd,MAR,Dijon,Ligue 1,2019,23.0,1996.0,10.6,597,578,17,13,0,17,1,4,0,0,0,0,492,2,3,DF,20-24,Defender,Morocco,Africa
27,Sergio Agüero,ARG,Manchester City,Premier League,2019,31.0,1988.0,16.1,365,347,17,1,1,0,9,1,0,0,0,0,286,1,7,FW,30-34,Forward,Argentina,South America
28,Ruben Aguilar,FRA,Monaco,Ligue 1,2019,26.0,1993.0,11.9,787,665,122,13,1,3,63,109,0,0,0,0,662,0,14,DF,25-29,Defender,France,Europe
30,Jean-Eudes Aholou,CIV,Saint-Étienne,Ligue 1,2019,25.0,1994.0,7.0,310,304,4,4,1,4,3,0,0,0,0,0,260,2,2,MF,25-29,Midfielder,Ivory Coast,Africa
31,Joseph Aidoo,GHA,Celta Vigo,La Liga,2019,23.0,1995.0,27.8,1250,1203,47,37,1,7,1,10,0,0,0,0,1078,0,14,DF,20-24,Defender,Ghana,Africa
32,Ola Aina,NGA,Torino,Serie A,2019,22.0,1996.0,23.1,1185,936,243,14,1,5,62,225,4,0,0,0,862,6,27,DF,20-24,Defender,Nigeria,Africa
34,Rayan Aït-Nouri,ALG,Angers,Ligue 1,2019,18.0,2001.0,14.2,808,655,151,3,0,2,43,148,0,0,0,0,618,2,23,DF,Under 20,Defender,Algeria,Africa
36,Ludovic Ajorque,FRA,Strasbourg,Ligue 1,2019,25.0,1994.0,22.9,516,493,18,0,4,5,13,3,0,0,0,0,354,5,5,FW,25-29,Forward,France,Europe
37,Manuel Akanji,SUI,Dortmund,Bundesliga,2019,24.0,1995.0,25.7,1948,1871,74,43,2,20,2,31,0,0,0,0,1764,3,10,DF,20-24,Defender,Switzerland,Europe
38,Marley Aké,FRA,Marseille,Ligue 1,2019,18.0,2001.0,1.1,28,26,2,0,0,0,1,0,0,0,0,0,25,0,0,"FW,MF",Under 20,Forward,France,Europe
39,Nathan Aké,NED,Bournemouth,Premier League,2019,24.0,1995.0,27.8,1238,1183,52,32,1,3,5,20,0,0,0,0,1079,3,8,DF,20-24,Defender,Netherlands,Europe
40,Chadrac Akolo,COD,Amiens,Ligue 1,2019,24.0,1995.0,6.0,209,204,5,3,0,1,6,1,1,0,1,0,169,0,6,"FW,MF",20-24,Forward,DR Congo,Africa
41,Kevin Akpoguma,NGA,Hoffenheim,Bundesliga,2019,24.0,1995.0,12.7,757,727,30,14,0,3,3,16,0,0,0,0,664,0,6,DF,20-24,Defender,Nigeria,Africa
42,David Alaba,AUT,Bayern Munich,Bundesliga,2019,27.0,1992.0,27.8,2516,2397,115,55,5,14,29,56,4,0,1,0,2263,4,19,DF,25-29,Defender,Austria,Europe
43,Sofiane Alakouch,MAR,Nîmes,Ligue 1,2019,21.0,1998.0,15.6,798,601,196,13,0,4,29,183,0,0,0,0,648,1,20,DF,20-24,Defender,Morocco,Africa
44,Lucas Alario,ARG,Leverkusen,Bundesliga,2019,26.0,1992.0,13.0,310,274,32,2,1,3,4,2,0,0,0,0,219,4,12,FW,25-29,Forward,Argentina,South America
48,Marc Albrighton,ENG,Leicester City,Premier League,2019,29.0,1989.0,9.6,499,464,35,2,3,5,69,23,10,1,6,1,339,0,14,"MF,DF",25-29,Midfielder,England,Europe
59,Trent Alexander-Arnold,ENG,Liverpool,Premier League,2019,20.0,1998.0,35.3,3230,2573,645,87,5,103,382,396,162,45,76,2,2278,12,69,DF,20-24,Defender,England,Europe
60,Enrico Alfonso,ITA,Brescia,Serie A,2019,31.0,1988.0,3.1,80,42,38,14,0,0,0,0,0,0,0,0,58,0,0,GK,30-34,Goalkeeper,Italy,Europe
61,Rachid Alioui,MAR,Angers,Ligue 1,2019,27.0,1992.0,17.4,476,438,38,2,0,2,15,2,1,1,0,0,345,0,10,FW,25-29,Forward,Morocco,Africa
62,Alisson,BRA,Liverpool,Premier League,2019,26.0,1992.0,28.3,947,723,222,55,0,3,0,0,0,0,0,0,820,2,0,GK,25-29,Goalkeeper,Brazil,South America
62,Alisson,BRA,Liverpool,Premier League,2019,26.0,1992.0,28.3,947,723,222,55,0,3,0,0,0,0,0,0,820,2,0,GK,25-29,Goalkeeper,Brazil,South America
62,Alisson,BRA,Liverpool,Premier League,2019,26.0,1992.0,28.3,947,723,222,55,0,3,0,0,0,0,0,0,820,2,0,GK,25-29,Goalkeeper,Brazil,South America
62,Alisson,BRA,Liverpool,Premier League,2019,26.0,1992.0,28.3,947,723,222,55,0,3,0,0,0,0,0,0,820,2,0,GK,25-29,Goalkeeper,Brazil,South America
63,Allan,BRA,Napoli,Serie A,2019,28.0,1991.0,14.2,842,806,33,17,2,6,13,16,0,0,0,0,726,3,16,MF,25-29,Midfielder,Brazil,South America
63,Allan,BRA,Napoli,Serie A,2019,28.0,1991.0,14.2,842,806,33,17,2,6,13,16,0,0,0,0,726,3,16,MF,25-29,Midfielder,Brazil,South America
63,Allan,BRA,Napoli,Serie A,2019,28.0,1991.0,14.2,842,806,33,17,2,6,13,16,0,0,0,0,726,3,16,MF,25-29,Midfielder,Brazil,South America
63,Allan,BRA,Napoli,Serie A,2019,28.0,1991.0,14.2,842,806,33,17,2,6,13,16,0,0,0,0,726,3,16,MF,25-29,Midfielder,Brazil,South America
64,Dele Alli,ENG,Tottenham,Premier League,2019,23.0,1996.0,20.5,841,760,75,14,4,3,7,18,4,0,0,0,632,6,34,"MF,FW",20-24,Midfielder,England,Europe
65,Miguel Almirón,PAR,Newcastle Utd,Premier League,2019,25.0,1994.0,33.6,884,868,12,1,2,4,41,10,0,0,0,0,681,4,35,"MF,FW",25-29,Midfielder,Paraguay,South America
72,Steven Alzate,COL,Brighton,Premier League,2019,20.0,1998.0,13.2,661,605,55,6,1,2,8,49,0,0,0,0,556,1,15,"MF,DF",20-24,Midfielder,Colombia,South America
73,Ibrahim Amadou,FRA,Norwich City,Premier League,2019,26.0,1993.0,8.4,374,364,9,6,0,0,1,3,0,0,0,0,324,1,3,"DF,MF",25-29,Defender,France,Europe
74,Ibrahim Amadou,FRA,Leganés,La Liga,2019,26.0,1993.0,8.6,280,278,2,1,1,2,5,1,0,0,0,0,222,0,6,MF,25-29,Midfielder,France,Europe
75,Romain Amalfitano,FRA,Dijon,Ligue 1,2019,29.0,1989.0,18.8,898,873,24,12,5,9,25,8,4,1,3,0,702,1,8,MF,25-29,Midfielder,France,Europe
77,Jordan Amavi,FRA,Marseille,Ligue 1,2019,25.0,1994.0,24.0,1236,1021,215,14,0,1,31,201,0,0,0,0,974,0,22,DF,25-29,Defender,France,Europe
79,Kelvin Amian,FRA,Toulouse,Ligue 1,2019,21.0,1998.0,18.1,676,533,141,21,1,2,12,120,0,0,0,0,546,2,12,DF,20-24,Defender,France,Europe
80,Nadiem Amiri,GER,Leverkusen,Bundesliga,2019,22.0,1996.0,20.6,1145,972,162,48,7,7,114,34,77,45,25,1,886,11,25,"MF,FW",20-24,Midfielder,Germany,Europe
81,Ethan Ampadu,WAL,RB Leipzig,Bundesliga,2019,18.0,2000.0,0.9,83,81,2,2,0,0,0,0,0,0,0,0,75,0,0,DF,Under 20,Defender,Wales,Europe
84,Joachim Andersen,DEN,Lyon,Ligue 1,2019,23.0,1996.0,17.0,1333,1303,27,26,2,19,1,1,0,0,0,0,1195,3,3,DF,20-24,Defender,Denmark,Europe
85,Djavan Anderson,NED,Lazio,Serie A,2019,24.0,1995.0,1.9,66,47,19,3,0,0,2,16,0,0,0,0,58,0,1,"FW,DF",20-24,Forward,Netherlands,Europe
86,Felipe Anderson,BRA,West Ham,Premier League,2019,26.0,1993.0,16.6,945,913,29,8,5,11,34,13,5,2,2,0,727,3,30,"MF,FW",25-29,Midfielder,Brazil,South America
87,Sebastian Andersson,SWE,Union Berlin,Bundesliga,2019,28.0,1991.0,29.8,800,778,18,0,0,2,31,0,0,0,0,0,463,4,26,FW,25-29,Forward,Sweden,Europe
88,Florin Andone,ROU,Brighton,Premier League,2019,26.0,1993.0,0.8,12,11,1,0,0,0,0,0,1,0,0,0,7,0,1,FW,25-29,Forward,Romania,Europe
89,Benjamin André,FRA,Lille,Ligue 1,2019,28.0,1990.0,22.8,1236,1208,21,19,1,15,12,1,0,0,0,0,965,7,28,MF,25-29,Midfielder,France,Europe
90,Lorenzo Andrenacci,ITA,Brescia,Serie A,2019,24.0,1995.0,5.9,162,76,86,20,0,0,0,0,0,0,0,0,124,0,0,GK,20-24,Goalkeeper,Italy,Europe
91,Robert Andrich,GER,Union Berlin,Bundesliga,2019,24.0,1994.0,28.6,1214,1174,35,20,5,10,39,2,7,2,2,0,857,5,24,MF,20-24,Midfielder,Germany,Europe
100,Cristian Ansaldi,ARG,Torino,Serie A,2019,32.0,1986.0,19.6,819,660,156,19,0,30,141,130,7,2,0,0,571,3,21,"DF,MF",30-34,Defender,Argentina,South America
102,Michail Antonio,JAM,West Ham,Premier League,2019,29.0,1990.0,19.6,524,480,39,1,5,2,48,25,0,0,0,0,329,5,23,FW,25-29,Forward,Jamaica,North America
104,Mirko Antonucci,ITA,Roma,Serie A,2019,20.0,1999.0,0.9,21,21,0,0,0,0,0,0,0,0,0,0,16,0,0,"FW,MF",20-24,Forward,Italy,Europe
106,Christopher Antwi-Adjei,GHA,Paderborn 07,Bundesliga,2019,25.0,1994.0,27.4,854,703,145,6,1,9,69,107,31,14,5,0,593,6,35,"MF,FW",25-29,Midfielder,Ghana,Africa
107,Anuar,MAR,Valladolid,La Liga,2019,24.0,1995.0,2.1,105,101,4,3,0,0,1,0,1,0,0,0,89,0,2,"MF,FW",20-24,Midfielder,Morocco,Africa
108,Houssem Aouar,ALG,Lyon,Ligue 1,2019,21.0,1998.0,21.7,1082,1030,51,21,5,7,24,5,9,4,4,0,910,1,16,"MF,FW",20-24,Midfielder,Algeria,Africa
109,Adil Aouchiche,FRA,Paris S-G,Ligue 1,2019,17.0,2002.0,0.7,31,30,0,0,0,0,0,0,0,0,0,0,22,1,0,MF,Under 20,Midfielder,France,Europe
110,Dennis Appiah,FRA,Nantes,Ligue 1,2019,27.0,1992.0,17.8,982,781,199,12,0,1,32,187,0,0,0,0,734,2,20,DF,25-29,Defender,France,Europe
111,Mauro Arambarri,URU,Getafe,La Liga,2019,23.0,1995.0,34.1,947,899,42,27,0,26,45,0,13,1,2,1,621,6,25,MF,20-24,Midfielder,Uruguay,South America
112,Guilherme Arana,BRA,Atalanta,Serie A,2019,22.0,1997.0,0.9,56,47,9,0,0,0,4,9,0,0,0,0,42,0,3,DF,20-24,Defender,Brazil,South America
113,Charles Aránguiz,CHI,Leverkusen,Bundesliga,2019,30.0,1989.0,23.5,1628,1577,42,37,2,8,13,1,4,1,3,0,1385,9,21,MF,30-34,Midfielder,Chile,South America
114,Luiz Araújo,BRA,Lille,Ligue 1,2019,23.0,1996.0,9.2,311,286,23,10,2,1,28,5,7,1,2,0,222,2,12,"FW,MF",20-24,Forward,Brazil,South America
118,Alphonse Areola,FRA,Real Madrid,La Liga,2019,26.0,1993.0,4.0,134,96,38,9,0,0,0,0,0,0,0,0,113,0,0,GK,25-29,Goalkeeper,France,Europe
119,Alphonse Areola,FRA,Paris S-G,Ligue 1,2019,26.0,1993.0,3.0,58,43,14,5,0,0,0,0,0,0,0,0,57,1,0,GK,25-29,Goalkeeper,France,Europe
120,Santiago Arias,COL,Atlético Madrid,La Liga,2019,27.0,1992.0,12.0,647,534,110,0,0,2,24,110,0,0,0,0,482,3,11,DF,25-29,Defender,Colombia,South America
121,Nicolò Armini,ITA,Lazio,Serie A,2019,18.0,2001.0,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,DF,Under 20,Defender,Italy,Europe
122,Stuart Armstrong,SCO,Southampton,Premier League,2019,27.0,1992.0,19.1,616,594,21,0,2,0,23,13,0,0,0,0,464,1,30,MF,25-29,Midfielder,Scotland,Europe
125,Maximilian Arnold,GER,Wolfsburg,Bundesliga,2019,25.0,1994.0,31.3,1550,1272,264,146,8,33,166,22,90,29,41,5,1160,14,22,MF,25-29,Midfielder,Germany,Europe
127,Kwadwo Asamoah,GHA,Inter,Serie A,2019,30.0,1988.0,7.1,372,326,46,3,0,0,18,43,0,0,0,0,298,0,13,"DF,FW",30-34,Defender,Ghana,Africa
128,Santiago Ascacíbar,ARG,Hertha BSC,Bundesliga,2019,22.0,1997.0,7.0,311,295,16,15,0,3,2,1,0,0,0,0,261,0,11,MF,20-24,Midfielder,Argentina,South America
133,Roger Assalé,CIV,Leganés,La Liga,2019,25.0,1993.0,5.9,124,121,3,0,2,0,6,2,0,0,0,0,100,0,4,"FW,MF",25-29,Forward,Ivory Coast,Africa
137,Pierre-Emerick Aubameyang,GAB,Arsenal,Premier League,2019,30.0,1989.0,34.8,912,881,28,0,7,1,89,3,1,0,0,0,614,3,32,FW,30-34,Forward,Gabon,Africa
138,Emil Audero,ITA,Sampdoria,Serie A,2019,22.0,1997.0,36.0,1039,617,416,125,0,2,0,0,0,0,0,0,674,6,1,GK,20-24,Goalkeeper,Italy,Europe
139,Tommaso Augello,ITA,Sampdoria,Serie A,2019,24.0,1994.0,12.6,823,691,130,11,0,2,82,118,1,0,0,0,632,2,18,DF,20-24,Defender,Italy,Europe
140,Jean-Kévin Augustin,FRA,Monaco,Ligue 1,2019,22.0,1997.0,3.0,40,39,1,0,0,1,0,0,0,0,0,0,33,0,0,FW,20-24,Forward,France,Europe
142,Serge Aurier,CIV,Tottenham,Premier League,2019,26.0,1992.0,30.0,1676,1409,264,9,0,3,137,255,0,0,0,0,1263,3,51,DF,25-29,Defender,Ivory Coast,Africa
143,Mathias Autret,FRA,Brest,Ligue 1,2019,28.0,1991.0,13.6,565,485,74,20,6,9,71,7,46,29,13,0,373,6,10,"MF,FW",25-29,Midfielder,France,Europe
147,Taiwo Awoniyi,NGA,Mainz 05,Bundesliga,2019,21.0,1997.0,5.4,109,105,4,0,1,0,9,1,0,0,0,0,73,0,6,"FW,MF",20-24,Forward,Nigeria,Africa
148,Florian Ayé,FRA,Brescia,Serie A,2019,22.0,1997.0,15.3,310,298,10,0,1,1,7,2,0,0,0,0,207,2,11,"FW,MF",20-24,Forward,France,Europe
149,Jordan Ayew,GHA,Crystal Palace,Premier League,2019,27.0,1991.0,35.0,853,816,34,4,2,2,25,11,1,0,0,0,673,3,24,FW,25-29,Forward,Ghana,Africa
151,Ramon Azeez,NGA,Granada,La Liga,2019,26.0,1992.0,15.1,388,368,18,4,0,2,7,13,0,0,0,0,303,2,10,MF,25-29,Midfielder,Nigeria,Africa
154,Iddrisu Baba,GHA,Mallorca,La Liga,2019,23.0,1996.0,32.3,1276,1245,29,28,2,3,2,1,0,0,0,0,1029,2,26,MF,20-24,Midfielder,Ghana,Africa
156,Carlos Bacca,COL,Villarreal,La Liga,2019,32.0,1986.0,7.6,134,124,10,0,0,0,3,0,0,0,0,0,99,0,5,FW,30-34,Forward,Colombia,South America
157,Milan Badelj,CRO,Fiorentina,Serie A,2019,30.0,1989.0,17.6,945,894,47,40,4,7,4,2,0,0,0,0,768,4,15,MF,30-34,Midfielder,Croatia,Europe
158,Matthias Bader,GER,Köln,Bundesliga,2019,22.0,1997.0,0.1,8,4,4,1,0,0,0,3,0,0,0,0,6,0,0,DF,20-24,Defender,Germany,Europe
159,Benoît Badiashile,FRA,Monaco,Ligue 1,2019,18.0,2001.0,15.7,943,910,30,25,2,15,1,5,0,0,0,0,802,3,5,DF,Under 20,Defender,France,Europe
160,Bastian Badu,FRA,Montpellier,Ligue 1,2019,19.0,2000.0,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,FW,Under 20,Forward,France,Europe
163,Daniel Baier,GER,Augsburg,Bundesliga,2019,35.0,1984.0,21.6,897,859,32,27,1,6,5,5,0,0,0,0,667,6,19,MF,35-39,Midfielder,Germany,Europe
164,Leon Bailey,JAM,Leverkusen,Bundesliga,2019,21.0,1997.0,12.1,479,435,44,10,1,5,78,11,23,13,7,1,316,0,18,"FW,MF",20-24,Forward,Jamaica,North America
165,Eric Bailly,CIV,Manchester Utd,Premier League,2019,25.0,1994.0,1.7,78,76,2,2,0,0,0,0,0,0,0,0,70,0,0,DF,25-29,Defender,Ivory Coast,Africa
167,Leighton Baines,ENG,Everton,Premier League,2019,34.0,1984.0,4.5,218,165,51,6,0,0,27,34,11,9,2,0,176,2,6,DF,30-34,Defender,England,Europe
168,Stefan Bajic,FRA,Saint-Étienne,Ligue 1,2019,17.0,2001.0,1.0,19,9,10,2,0,0,0,0,0,0,0,0,18,0,0,GK,Under 20,Goalkeeper,France,Europe
170,Lewis Baker,ENG,Düsseldorf,Bundesliga,2019,24.0,1995.0,6.1,222,213,7,5,0,7,4,0,2,0,2,0,182,2,6,MF,20-24,Midfielder,England,Europe
171,Mitchel Bakker,NED,Paris S-G,Ligue 1,2019,19.0,2000.0,1.0,95,88,7,2,0,0,1,5,0,0,0,0,92,0,0,DF,Under 20,Defender,Netherlands,Europe
172,Ridle Baku,GER,Mainz 05,Bundesliga,2019,21.0,1998.0,26.1,1167,989,173,19,3,11,83,154,0,0,0,0,827,5,27,"DF,MF",20-24,Defender,Germany,Europe
174,Keita Baldé,SEN,Monaco,Ligue 1,2019,24.0,1995.0,9.5,285,267,17,2,0,0,16,5,6,3,0,0,191,1,5,"FW,MF",20-24,Forward,Senegal,Africa
175,George Baldock,GRE,Sheffield Utd,Premier League,2019,26.0,1993.0,38.0,1522,1241,276,5,0,1,128,271,0,0,0,0,1143,5,70,DF,25-29,Defender,Greece,Europe
176,Gareth Bale,WAL,Real Madrid,La Liga,2019,30.0,1989.0,12.1,500,481,14,0,0,15,45,14,0,0,0,0,363,5,10,"FW,MF",30-34,Forward,Wales,Europe
178,Leonardo Balerdi,ARG,Dortmund,Bundesliga,2019,20.0,1999.0,1.5,132,130,2,2,0,4,0,0,0,0,0,0,115,0,4,"DF,MF",20-24,Defender,Argentina,South America
180,Fodé Ballo-Touré,SEN,Monaco,Ligue 1,2019,22.0,1997.0,18.7,874,713,159,13,1,2,61,146,0,0,0,0,681,2,22,DF,20-24,Defender,Senegal,Africa
181,Florent Balmont,FRA,Dijon,Ligue 1,2019,39.0,1980.0,4.5,263,244,18,11,0,0,9,4,3,1,1,1,213,1,1,MF,35-39,Midfielder,France,Europe
182,Mario Balotelli,ITA,Brescia,Serie A,2019,28.0,1990.0,15.6,360,336,21,2,2,10,8,2,0,0,0,0,231,3,2,FW,25-29,Forward,Italy,Europe
183,Abdoulaye Bamba,CIV,Angers,Ligue 1,2019,29.0,1990.0,6.2,277,219,58,3,0,1,15,55,0,0,0,0,204,0,5,DF,25-29,Defender,Ivory Coast,Africa
184,Jonathan Bamba,CIV,Lille,Ligue 1,2019,23.0,1996.0,21.5,835,766,63,15,7,5,51,17,31,17,10,0,662,6,19,"FW,MF",20-24,Forward,Ivory Coast,Africa
185,Éver Banega,ARG,Sevilla,La Liga,2019,31.0,1988.0,27.5,2401,2122,263,132,9,70,164,10,121,46,49,3,1959,16,39,MF,30-34,Midfielder,Argentina,South America
186,Mattia Bani,ITA,Bologna,Serie A,2019,25.0,1993.0,24.5,1169,1117,49,43,0,9,6,6,0,0,0,0,936,3,12,DF,25-29,Defender,Italy,Europe
189,Federico Barba,ITA,Valladolid,La Liga,2019,25.0,1993.0,5.0,218,176,40,4,0,5,5,36,0,0,0,0,140,2,3,DF,25-29,Defender,Italy,Europe
190,Danilo Barbosa,BRA,Nice,Ligue 1,2019,23.0,1996.0,12.5,793,773,19,19,1,2,1,0,0,0,0,0,725,1,5,"DF,MF",20-24,Defender,Brazil,South America
193,Phil Bardsley,SCO,Burnley,Premier League,2019,34.0,1985.0,21.0,921,673,240,18,3,7,33,222,0,0,0,0,604,8,17,DF,30-34,Defender,Scotland,Europe
194,Nicolò Barella,ITA,Inter,Serie A,2019,22.0,1997.0,22.4,1237,1214,16,10,1,19,38,5,1,0,0,0,1007,7,30,MF,20-24,Midfielder,Italy,Europe
195,Philipp Bargfrede,GER,Werder Bremen,Bundesliga,2019,30.0,1989.0,6.5,272,269,2,2,0,2,3,0,0,0,0,0,198,1,6,MF,30-34,Midfielder,Germany,Europe
196,Antonino Barillà,ITA,Parma,Serie A,2019,31.0,1988.0,18.8,523,505,15,3,1,1,25,2,7,3,2,0,399,3,14,MF,30-34,Midfielder,Italy,Europe
198,Ross Barkley,ENG,Chelsea,Premier League,2019,25.0,1993.0,12.3,635,619,14,8,6,9,12,3,3,1,0,0,555,2,8,MF,25-29,Midfielder,England,Europe
199,Aymen Barkok,MAR,Düsseldorf,Bundesliga,2019,21.0,1998.0,0.9,29,29,0,0,0,2,0,0,0,0,0,0,17,0,0,"FW,MF",20-24,Forward,Morocco,Africa
200,Ashley Barnes,ENG,Burnley,Premier League,2019,29.0,1989.0,15.0,259,255,2,0,3,0,5,1,0,0,0,0,138,2,14,FW,25-29,Forward,England,Europe
201,Harvey Barnes,ENG,Leicester City,Premier League,2019,21.0,1997.0,23.1,745,740,1,0,5,3,41,1,0,0,0,0,562,4,17,"MF,FW",20-24,Midfielder,England,Europe
203,Antonio Barreca,ITA,Genoa,Serie A,2019,24.0,1995.0,12.2,396,319,76,3,0,1,62,73,0,0,0,0,260,1,22,"DF,FW",20-24,Defender,Italy,Europe
207,Musa Barrow,GAM,Bologna,Serie A,2019,20.0,1998.0,15.0,596,523,69,12,3,18,59,10,36,26,4,0,427,4,9,"FW,MF",20-24,Forward,Gambia,Africa
208,Musa Barrow,GAM,Atalanta,Serie A,2019,20.0,1998.0,2.1,53,52,1,0,1,2,3,0,1,0,0,0,39,0,3,"FW,MF",20-24,Forward,Gambia,Africa
209,Fin Bartels,GER,Werder Bremen,Bundesliga,2019,32.0,1987.0,3.8,153,147,6,0,0,0,10,5,1,1,0,0,110,0,9,"MF,FW",30-34,Midfielder,Germany,Europe
211,Daniele Baselli,ITA,Torino,Serie A,2019,27.0,1992.0,14.2,723,622,96,59,1,8,51,5,32,2,4,0,576,5,5,MF,25-29,Midfielder,Italy,Europe
212,Chris Basham,ENG,Sheffield Utd,Premier League,2019,31.0,1988.0,36.0,1546,1349,190,18,0,10,51,172,0,0,0,0,1091,7,25,DF,30-34,Defender,England,Europe
213,Toma Bašić,CRO,Bordeaux,Ligue 1,2019,22.0,1996.0,11.0,590,538,52,21,3,4,47,2,29,24,3,0,457,0,7,MF,20-24,Midfielder,Croatia,Europe
214,Thomas Basila,FRA,Nantes,Ligue 1,2019,20.0,1999.0,4.6,255,227,26,2,0,0,6,24,0,0,0,0,205,2,2,DF,20-24,Defender,France,Europe
218,Alessandro Bastoni,ITA,Inter,Serie A,2019,20.0,1999.0,21.3,1460,1368,85,63,1,27,20,22,0,0,0,0,1278,7,17,DF,20-24,Defender,Italy,Europe
221,Michy Batshuayi,BEL,Chelsea,Premier League,2019,25.0,1993.0,2.7,78,69,9,0,0,0,0,0,0,0,0,0,64,0,2,FW,25-29,Forward,Belgium,Europe
223,Oliver Baumann,GER,Hoffenheim,Bundesliga,2019,29.0,1990.0,30.0,1285,917,364,102,0,2,0,0,0,0,0,0,1006,4,0,GK,25-29,Goalkeeper,Germany,Europe
224,Julian Baumgartlinger,AUT,Leverkusen,Bundesliga,2019,31.0,1988.0,19.9,1124,1076,44,40,2,11,3,4,0,0,0,0,1013,4,10,MF,30-34,Midfielder,Austria,Europe
225,Christoph Baumgartner,AUT,Hoffenheim,Bundesliga,2019,19.0,1999.0,16.6,496,457,34,2,0,2,17,6,8,4,4,0,344,5,24,"MF,FW",Under 20,Midfielder,Austria,Europe
226,Noah Joel Sarenren Bazee,NGA,Augsburg,Bundesliga,2019,22.0,1996.0,4.2,73,73,0,0,0,0,10,0,0,0,0,0,36,0,15,FW,20-24,Forward,Nigeria,Africa
229,Sheraldo Becker,SUR,Union Berlin,Bundesliga,2019,24.0,1995.0,6.0,134,132,1,0,0,2,17,1,0,0,0,0,77,1,6,"MF,FW",20-24,Midfielder,Suriname,South America
230,Timo Becker,GER,Schalke 04,Bundesliga,2019,22.0,1997.0,3.7,147,120,25,1,0,0,4,24,0,0,0,0,112,2,5,"DF,MF",20-24,Defender,Germany,Europe
233,Valon Behrami,SUI,Genoa,Serie A,2019,34.0,1985.0,12.3,441,424,14,14,0,2,1,0,0,0,0,0,365,3,9,MF,30-34,Midfielder,Switzerland,Europe
235,Gaëtan Belaud,FRA,Brest,Ligue 1,2019,32.0,1986.0,6.4,372,298,73,5,0,7,14,68,0,0,0,0,290,1,3,DF,30-34,Defender,France,Europe
236,Ishak Belfodil,ALG,Hoffenheim,Bundesliga,2019,27.0,1992.0,3.0,58,56,2,0,2,0,0,0,0,0,0,0,45,0,2,"FW,MF",25-29,Forward,Algeria,Africa
