rk,player,nation,squad,comp,season,age,born,ninety_mins_played,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,avg_shot_distance,free_kick_shots,penalty_kicks,penalty_kicks_attempted,xg,non_penalty_xg,non_penalty_xg_per_shot,goals_minus_xg,non_penalty_goals_minus_xg,position,age_range,general_position,country,continent
2,Yunis Abdelhamid,MAR,Reims,Ligue 1,2021,33.0,1987.0,33.1,2,18,6,33.3,0.54,0.18,0.11,0.33,18.3,0,0,0,1.2,1.2,0.07,0.8,0.8,DF,30-34,Defender,Morocco,Africa
3,Salis Abdul Samed,GHA,Clermont Foot,Ligue 1,2021,21.0,2000.0,27.4,1,18,5,27.8,0.66,0.18,0.06,0.2,21.5,0,0,0,0.7,0.7,0.04,0.3,0.3,MF,20-24,Midfielder,Ghana,Africa
4,Laurent Abergel,FRA,Lorient,Ligue 1,2021,28.0,1993.0,32.8,0,29,7,24.1,0.88,0.21,0.0,0.0,24.2,0,0,0,1.5,1.5,0.05,-1.5,-1.5,MF,25-29,Midfielder,France,Europe
5,Charles Abi,FRA,Saint-Étienne,Ligue 1,2021,21.0,2000.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FW,20-24,Forward,France,Europe
6,Dickson Abiama,NGA,Greuther Fürth,Bundesliga,2021,22.0,1998.0,8.1,0,18,4,22.2,2.23,0.5,0.0,0.0,16.7,0,0,0,1.8,1.8,0.1,-1.8,-1.8,FW,20-24,Forward,Nigeria,Africa
7,Matthis Abline,FRA,Rennes,Ligue 1,2021,18.0,2003.0,1.1,0,2,0,0.0,1.75,0.0,0.0,,9.5,0,0,0,0.3,0.3,0.14,-0.3,-0.3,FW,Under 20,Forward,France,Europe
8,Tammy Abraham,ENG,Roma,Serie A,2021,23.0,1997.0,34.3,17,92,35,38.0,2.68,1.02,0.15,0.4,12.9,3,3,3,20.7,18.4,0.2,-3.7,-4.4,FW,20-24,Forward,England,Europe
9,Luis Abram,PER,Granada,La Liga,2021,25.0,1996.0,6.2,0,2,0,0.0,0.32,0.0,0.0,,9.0,0,0,0,0.3,0.3,0.14,-0.3,-0.3,DF,25-29,Defender,Peru,South America
10,Francesco Acerbi,ITA,Lazio,Serie A,2021,33.0,1988.0,28.2,4,15,7,46.7,0.53,0.25,0.27,0.57,10.8,0,0,0,2.4,2.4,0.16,1.6,1.6,DF,30-34,Defender,Italy,Europe
11,Ragnar Ache,GER,Eint Frankfurt,Bundesliga,2021,23.0,1998.0,2.9,0,10,2,20.0,3.47,0.69,0.0,0.0,16.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4,"MF,FW",20-24,Midfielder,Germany,Europe
13,Marcos Acuña,ARG,Sevilla,La Liga,2021,29.0,1991.0,25.1,1,16,5,31.3,0.64,0.2,0.06,0.2,21.7,1,0,0,1.2,1.2,0.08,-0.2,-0.2,DF,25-29,Defender,Argentina,South America
15,Tyler Adams,USA,RB Leipzig,Bundesliga,2021,22.0,1999.0,15.0,0,2,0,0.0,0.13,0.0,0.0,,21.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,MF,20-24,Midfielder,United States,North America
16,Sargis Adamyan,ARM,Hoffenheim,Bundesliga,2021,28.0,1993.0,3.7,1,3,2,66.7,0.82,0.54,0.33,0.5,17.2,0,0,0,0.7,0.7,0.22,0.3,0.3,"FW,MF",25-29,Forward,Armenia,Asia
18,Amine Adli,MAR,Leverkusen,Bundesliga,2021,21.0,2000.0,14.0,3,37,19,51.4,2.65,1.36,0.08,0.16,15.1,0,0,0,4.3,4.3,0.12,-1.3,-1.3,"FW,MF",20-24,Forward,Morocco,Africa
19,Yacine Adli,FRA,Bordeaux,Ligue 1,2021,21.0,2000.0,25.1,1,32,15,46.9,1.27,0.6,0.03,0.07,21.2,4,0,0,2.0,2.0,0.06,-1.0,-1.0,"MF,FW",20-24,Midfielder,France,Europe
42,Ilias Akhomach,MAR,Barcelona,La Liga,2021,17.0,2004.0,1.4,0,4,2,50.0,2.9,1.45,0.0,0.0,19.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,FW,Under 20,Forward,Morocco,Africa
43,Maghnes Akliouche,FRA,Monaco,Ligue 1,2021,19.0,2002.0,0.6,0,2,1,50.0,3.33,1.67,0.0,0.0,16.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,"MF,FW",Under 20,Midfielder,France,Europe
44,Paul Akouokou,CIV,Betis,La Liga,2021,23.0,1997.0,5.7,0,2,0,0.0,0.35,0.0,0.0,,22.8,0,0,0,0.0,0.0,0.02,0.0,0.0,MF,20-24,Midfielder,Ivory Coast,Africa
46,Kevin Akpoguma,NGA,Hoffenheim,Bundesliga,2021,26.0,1995.0,17.0,2,12,4,33.3,0.71,0.24,0.17,0.5,12.8,0,0,0,1.2,1.2,0.1,0.8,0.8,"DF,FW",25-29,Defender,Nigeria,Africa
47,David Alaba,AUT,Real Madrid,La Liga,2021,29.0,1992.0,29.4,2,21,7,33.3,0.72,0.24,0.1,0.29,21.8,7,0,0,1.6,1.6,0.09,0.4,0.4,DF,25-29,Defender,Austria,Europe
48,Sofiane Alakouch,MAR,Metz,Ligue 1,2021,23.0,1998.0,1.8,0,1,0,0.0,0.57,0.0,0.0,,27.4,0,0,0,0.0,0.0,0.02,0.0,0.0,"DF,MF",20-24,Defender,Morocco,Africa
49,Tomás Alarcón,CHI,Cádiz,La Liga,2021,22.0,1999.0,15.8,0,15,2,13.3,0.95,0.13,0.0,0.0,24.1,0,0,0,1.1,1.1,0.07,-1.1,-1.1,MF,20-24,Midfielder,Chile,South America
50,Lucas Alario,ARG,Leverkusen,Bundesliga,2021,28.0,1992.0,7.3,6,22,13,59.1,3.02,1.79,0.27,0.46,11.7,0,0,1,6.0,5.2,0.24,0.0,0.8,FW,25-29,Forward,Argentina,South America
55,Marc Albrighton,ENG,Leicester City,Premier League,2021,31.0,1989.0,12.6,1,4,1,25.0,0.32,0.08,0.25,1.0,16.3,0,0,0,0.5,0.5,0.12,0.5,0.5,"FW,DF",30-34,Forward,England,Europe
59,Omar Alderete,PAR,Valencia,La Liga,2021,24.0,1996.0,26.7,2,18,5,27.8,0.67,0.19,0.11,0.4,16.7,0,0,0,0.8,0.8,0.05,1.2,1.2,DF,20-24,Defender,Paraguay,South America
61,Doğan Alemdar,TUR,Rennes,Ligue 1,2021,18.0,2002.0,12.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GK,Under 20,Goalkeeper,Turkey,Asia
63,Trent Alexander-Arnold,ENG,Liverpool,Premier League,2021,22.0,1998.0,31.7,2,51,15,29.4,1.61,0.47,0.04,0.13,24.0,8,0,0,2.4,2.4,0.05,-0.4,-0.4,DF,20-24,Defender,England,Europe
65,Alisson,BRA,Liverpool,Premier League,2021,28.0,1992.0,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GK,25-29,Goalkeeper,Brazil,South America
65,Alisson,BRA,Liverpool,Premier League,2021,28.0,1992.0,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GK,25-29,Goalkeeper,Brazil,South America
65,Alisson,BRA,Liverpool,Premier League,2021,28.0,1992.0,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GK,25-29,Goalkeeper,Brazil,South America
65,Alisson,BRA,Liverpool,Premier League,2021,28.0,1992.0,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GK,25-29,Goalkeeper,Brazil,South America
66,Allan,BRA,Everton,Premier League,2021,30.0,1991.0,24.3,0,7,3,42.9,0.29,0.12,0.0,0.0,24.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,MF,30-34,Midfielder,Brazil,South America
66,Allan,BRA,Everton,Premier League,2021,30.0,1991.0,24.3,0,7,3,42.9,0.29,0.12,0.0,0.0,24.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,MF,30-34,Midfielder,Brazil,South America
66,Allan,BRA,Everton,Premier League,2021,30.0,1991.0,24.3,0,7,3,42.9,0.29,0.12,0.0,0.0,24.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,MF,30-34,Midfielder,Brazil,South America
66,Allan,BRA,Everton,Premier League,2021,30.0,1991.0,24.3,0,7,3,42.9,0.29,0.12,0.0,0.0,24.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,MF,30-34,Midfielder,Brazil,South America
67,Jim Allevinah,GAB,Clermont Foot,Ligue 1,2021,26.0,1995.0,16.5,1,43,15,34.9,2.6,0.91,0.02,0.07,19.2,1,0,0,2.8,2.8,0.07,-1.8,-1.8,FW,25-29,Forward,Gabon,Africa
68,Dele Alli,ENG,Tottenham,Premier League,2021,25.0,1996.0,7.3,1,3,2,66.7,0.41,0.27,0.0,0.0,21.4,0,1,1,1.6,0.8,0.26,-0.6,-0.8,MF,25-29,Midfielder,England,Europe
69,Dele Alli,ENG,Everton,Premier League,2021,25.0,1996.0,3.8,0,3,0,0.0,0.8,0.0,0.0,,19.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,"MF,FW",25-29,Midfielder,England,Europe
70,Miguel Almirón,PAR,Newcastle Utd,Premier League,2021,27.0,1994.0,19.1,1,32,7,21.9,1.68,0.37,0.03,0.14,19.6,0,0,0,1.7,1.7,0.05,-0.7,-0.7,"MF,FW",25-29,Midfielder,Paraguay,South America
72,Giorgio Altare,ITA,Cagliari,Serie A,2021,22.0,1998.0,16.3,1,18,6,33.3,1.11,0.37,0.06,0.17,13.7,0,0,0,1.0,1.0,0.06,0.0,0.0,DF,20-24,Defender,Italy,Europe
75,Dani Alves,BRA,Barcelona,La Liga,2021,38.0,1983.0,12.2,1,5,2,40.0,0.41,0.16,0.2,0.5,31.4,0,0,0,0.3,0.3,0.06,0.7,0.7,DF,35-39,Defender,Brazil,South America
76,Steven Alzate,COL,Brighton,Premier League,2021,22.0,1998.0,4.5,0,1,1,100.0,0.22,0.22,0.0,0.0,16.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,MF,20-24,Midfielder,Colombia,South America
77,Ibrahim Amadou,FRA,Metz,Ligue 1,2021,28.0,1993.0,9.0,1,3,2,66.7,0.33,0.22,0.33,0.5,9.4,0,0,0,0.4,0.4,0.13,0.6,0.6,"DF,MF",25-29,Defender,France,Europe
81,Jordan Amavi,FRA,Nice,Ligue 1,2021,27.0,1994.0,4.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,DF,25-29,Defender,France,Europe
82,Jordan Amavi,FRA,Marseille,Ligue 1,2021,27.0,1994.0,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,"DF,FW",25-29,Defender,France,Europe
84,Kelvin Amian,FRA,Spezia,Serie A,2021,23.0,1998.0,29.4,1,26,7,26.9,0.88,0.24,0.04,0.14,15.1,0,0,0,2.6,2.6,0.1,-1.6,-1.6,DF,20-24,Defender,France,Europe
85,Nadiem Amiri,GER,Genoa,Serie A,2021,24.0,1996.0,7.6,0,16,6,37.5,2.11,0.79,0.0,0.0,23.8,1,0,0,0.9,0.9,0.06,-0.9,-0.9,"MF,FW",20-24,Midfielder,Germany,Europe
86,Nadiem Amiri,GER,Leverkusen,Bundesliga,2021,24.0,1996.0,4.1,1,8,2,25.0,1.95,0.49,0.13,0.5,21.1,1,0,0,0.5,0.5,0.06,0.5,0.5,"MF,FW",20-24,Midfielder,Germany,Europe
87,Ethan Ampadu,WAL,Venezia,Serie A,2021,20.0,2000.0,25.4,0,7,1,14.3,0.28,0.04,0.0,0.0,20.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3,"MF,DF",20-24,Midfielder,Wales,Europe
89,Joachim Andersen,DEN,Crystal Palace,Premier League,2021,25.0,1996.0,32.4,0,8,3,37.5,0.25,0.09,0.0,0.0,15.3,1,0,0,0.7,0.7,0.08,-0.7,-0.7,DF,25-29,Defender,Denmark,Europe
90,Felipe Anderson,BRA,Lazio,Serie A,2021,28.0,1993.0,32.1,6,44,16,36.4,1.37,0.5,0.14,0.38,16.4,0,0,0,6.2,6.2,0.14,-0.2,-0.2,FW,25-29,Forward,Brazil,South America
91,Sebastian Andersson,SWE,Köln,Bundesliga,2021,30.0,1991.0,14.0,3,35,12,34.3,2.51,0.86,0.09,0.25,11.8,0,0,0,4.5,4.5,0.13,-1.5,-1.5,FW,30-34,Forward,Sweden,Europe
92,Florin Andone,ROU,Cádiz,La Liga,2021,28.0,1993.0,2.0,0,3,1,33.3,1.53,0.51,0.0,0.0,12.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,FW,25-29,Forward,Romania,Europe
94,Benjamin André,FRA,Lille,Ligue 1,2021,30.0,1990.0,30.6,2,18,5,27.8,0.59,0.16,0.11,0.4,14.5,0,0,0,1.4,1.4,0.08,0.6,0.6,MF,30-34,Midfielder,France,Europe
96,Marcos André,BRA,Valencia,La Liga,2021,24.0,1996.0,10.8,1,30,8,26.7,2.77,0.74,0.03,0.13,14.8,0,0,0,3.0,3.0,0.1,-2.0,-2.0,"FW,MF",20-24,Forward,Brazil,South America
96,Marcos André,BRA,Valencia,La Liga,2021,24.0,1996.0,10.8,1,30,8,26.7,2.77,0.74,0.03,0.13,14.8,0,0,0,3.0,3.0,0.1,-2.0,-2.0,"FW,MF",20-24,Forward,Brazil,South America
96,Marcos André,BRA,Valencia,La Liga,2021,24.0,1996.0,10.8,1,30,8,26.7,2.77,0.74,0.03,0.13,14.8,0,0,0,3.0,3.0,0.1,-2.0,-2.0,"FW,MF",20-24,Forward,Brazil,South America
96,Marcos André,BRA,Valencia,La Liga,2021,24.0,1996.0,10.8,1,30,8,26.7,2.77,0.74,0.03,0.13,14.8,0,0,0,3.0,3.0,0.1,-2.0,-2.0,"FW,MF",20-24,Forward,Brazil,South America
97,Robert Andrich,GER,Leverkusen,Bundesliga,2021,26.0,1994.0,20.2,4,30,7,23.3,1.49,0.35,0.13,0.57,18.4,1,0,0,3.2,2.8,0.09,0.8,1.2,MF,25-29,Midfielder,Germany,Europe
100,Ebenezer Annan,GHA,Bologna,Serie A,2021,18.0,2002.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,DF,Under 20,Defender,Ghana,Africa
101,Cristian Ansaldi,ARG,Torino,Serie A,2021,34.0,1986.0,7.7,0,7,1,14.3,0.91,0.13,0.0,0.0,18.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,DF,30-34,Defender,Argentina,South America
102,Janis Antiste,FRA,Spezia,Serie A,2021,18.0,2002.0,8.8,1,11,2,18.2,1.24,0.23,0.09,0.5,10.4,0,0,0,1.4,1.4,0.13,-0.4,-0.4,FW,Under 20,Forward,France,Europe
103,Waldemar Anton,GER,Stuttgart,Bundesliga,2021,25.0,1996.0,28.8,2,24,6,25.0,0.83,0.21,0.08,0.33,14.1,0,0,0,2.1,2.1,0.09,-0.1,-0.1,DF,25-29,Defender,Germany,Europe
105,Michail Antonio,JAM,West Ham,Premier League,2021,31.0,1990.0,33.0,10,82,27,32.9,2.48,0.82,0.12,0.37,14.9,0,0,1,10.8,10.2,0.12,-0.8,-0.2,FW,30-34,Forward,Jamaica,North America
106,Christopher Antwi-Adjei,GHA,Bochum,Bundesliga,2021,27.0,1994.0,12.6,1,29,10,34.5,2.31,0.8,0.03,0.1,15.2,0,0,0,2.0,2.0,0.08,-1.0,-1.0,"FW,MF",25-29,Forward,Ghana,Africa
107,Houssem Aouar,ALG,Lyon,Ligue 1,2021,23.0,1998.0,27.8,6,76,24,31.6,2.73,0.86,0.08,0.25,17.9,0,0,0,6.3,6.3,0.08,-0.3,-0.3,"MF,FW",20-24,Midfielder,Algeria,Africa
108,Adil Aouchiche,FRA,Saint-Étienne,Ligue 1,2021,19.0,2002.0,12.0,0,21,10,47.6,1.75,0.83,0.0,0.0,22.5,0,0,0,1.2,1.2,0.06,-1.2,-1.2,"MF,FW",Under 20,Midfielder,France,Europe
109,Dennis Appiah,FRA,Nantes,Ligue 1,2021,29.0,1992.0,23.3,0,2,0,0.0,0.09,0.0,0.0,,22.2,0,0,0,0.0,0.0,0.02,0.0,0.0,DF,25-29,Defender,France,Europe
110,Mauro Arambarri,URU,Getafe,La Liga,2021,25.0,1995.0,29.6,0,37,8,21.6,1.25,0.27,0.0,0.0,27.7,2,0,0,1.2,1.2,0.03,-1.2,-1.2,MF,25-29,Midfielder,Uruguay,South America
111,Mattia Aramu,ITA,Venezia,Serie A,2021,26.0,1995.0,23.3,7,55,15,27.3,2.36,0.64,0.07,0.27,24.5,17,3,4,6.8,3.6,0.07,0.2,0.4,"MF,FW",25-29,Midfielder,Italy,Europe
112,Charles Aránguiz,CHI,Leverkusen,Bundesliga,2021,32.0,1989.0,17.5,1,10,3,30.0,0.57,0.17,0.1,0.33,19.6,0,0,0,1.6,1.6,0.16,-0.6,-0.6,MF,30-34,Midfielder,Chile,South America
115,Cameron Archer,ENG,Aston Villa,Premier League,2021,20.0,2001.0,0.3,0,1,0,0.0,3.33,0.0,0.0,,12.6,0,0,0,0.0,0.0,0.04,0.0,0.0,"FW,MF",20-24,Forward,England,Europe
116,Alphonse Areola,FRA,West Ham,Premier League,2021,28.0,1993.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GK,25-29,Goalkeeper,France,Europe
119,Santiago Arias,COL,Granada,La Liga,2021,29.0,1992.0,4.9,1,3,1,33.3,0.61,0.2,0.33,1.0,14.6,0,0,0,0.7,0.7,0.25,0.3,0.3,DF,25-29,Defender,Colombia,South America
120,Adam Armstrong,ENG,Southampton,Premier League,2021,24.0,1997.0,15.7,2,47,14,29.8,2.99,0.89,0.04,0.14,17.2,0,0,0,4.5,4.5,0.1,-2.5,-2.5,FW,20-24,Forward,England,Europe
121,Stuart Armstrong,SCO,Southampton,Premier League,2021,29.0,1992.0,16.4,2,38,9,23.7,2.32,0.55,0.05,0.22,20.5,0,0,0,2.5,2.5,0.07,-0.5,-0.5,MF,25-29,Midfielder,Scotland,Europe
123,Maximilian Arnold,GER,Wolfsburg,Bundesliga,2021,27.0,1994.0,33.3,4,39,15,38.5,1.17,0.45,0.1,0.27,32.0,12,0,0,1.7,1.7,0.04,2.3,2.3,MF,25-29,Midfielder,Germany,Europe
125,Tolgay Arslan,GER,Udinese,Serie A,2021,30.0,1990.0,18.4,1,23,9,39.1,1.25,0.49,0.04,0.11,22.8,1,0,0,1.2,1.2,0.05,-0.2,-0.2,MF,30-34,Midfielder,Germany,Europe
126,Santiago Arzamendia,PAR,Cádiz,La Liga,2021,23.0,1998.0,5.2,1,7,1,14.3,1.34,0.19,0.14,1.0,29.7,0,0,0,0.2,0.2,0.03,0.8,0.8,MF,20-24,Midfielder,Paraguay,South America
127,Takuma Asano,JPN,Bochum,Bundesliga,2021,26.0,1994.0,17.9,3,33,11,33.3,1.85,0.62,0.09,0.27,16.8,0,0,0,3.7,3.7,0.11,-0.7,-0.7,"FW,MF",25-29,Forward,Japan,Asia
128,Santiago Ascacíbar,ARG,Hertha BSC,Bundesliga,2021,24.0,1997.0,26.4,0,13,1,7.7,0.49,0.04,0.0,0.0,17.7,0,0,0,0.9,0.9,0.07,-0.9,-0.9,MF,20-24,Midfielder,Argentina,South America
132,Harrison Ashby,SCO,West Ham,Premier League,2021,19.0,2001.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,DF,Under 20,Defender,Scotland,Europe
135,Kristjan Asllani,ALB,Empoli,Serie A,2021,19.0,2002.0,15.0,1,17,6,35.3,1.13,0.4,0.06,0.17,25.6,2,0,0,0.8,0.8,0.04,0.2,0.2,MF,Under 20,Midfielder,Albania,Europe
138,Simon Asta,GER,Greuther Fürth,Bundesliga,2021,20.0,2001.0,8.7,0,3,0,0.0,0.34,0.0,0.0,,14.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2,DF,20-24,Defender,Germany,Europe
140,Pierre-Emerick Aubameyang,GAB,Arsenal,Premier League,2021,32.0,1989.0,11.5,4,33,16,48.5,2.86,1.39,0.12,0.25,15.0,0,0,2,5.9,4.2,0.13,-1.9,-0.2,FW,30-34,Forward,Gabon,Africa
141,Pierre-Emerick Aubameyang,GAB,Barcelona,La Liga,2021,32.0,1989.0,12.0,11,37,20,54.1,3.08,1.66,0.3,0.55,12.0,0,0,0,7.8,7.8,0.21,3.2,3.2,FW,30-34,Forward,Gabon,Africa
142,Emil Audero,ITA,Sampdoria,Serie A,2021,24.0,1997.0,28.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GK,20-24,Goalkeeper,Italy,Europe
143,Tommaso Augello,ITA,Sampdoria,Serie A,2021,26.0,1994.0,26.6,1,7,2,28.6,0.26,0.08,0.14,0.5,18.3,0,0,0,0.4,0.4,0.06,0.6,0.6,DF,25-29,Defender,Italy,Europe
144,Jean-Kévin Augustin,FRA,Nantes,Ligue 1,2021,24.0,1997.0,0.9,0,2,0,0.0,2.14,0.0,0.0,,18.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,"FW,MF",20-24,Forward,France,Europe
146,Serge Aurier,CIV,Villarreal,La Liga,2021,28.0,1992.0,11.2,0,11,2,18.2,0.98,0.18,0.0,0.0,15.9,0,0,0,0.8,0.8,0.07,-0.8,-0.8,DF,25-29,Defender,Ivory Coast,Africa
148,Taiwo Awoniyi,NGA,Union Berlin,Bundesliga,2021,23.0,1997.0,24.2,15,65,30,46.2,2.69,1.24,0.2,0.43,13.1,0,2,2,13.6,12.0,0.18,1.4,1.0,FW,20-24,Forward,Nigeria,Africa
149,Ramzi Aya,ITA,Salernitana,Serie A,2021,30.0,1990.0,1.5,0,1,0,0.0,0.67,0.0,0.0,,23.6,0,0,0,0.0,0.0,0.03,0.0,0.0,DF,30-34,Defender,Italy,Europe
150,Jordan Ayew,GHA,Crystal Palace,Premier League,2021,29.0,1991.0,22.4,3,35,8,22.9,1.56,0.36,0.09,0.38,16.8,1,0,0,3.1,3.1,0.09,-0.1,-0.1,FW,25-29,Forward,Ghana,Africa
152,Luke Ayling,ENG,Leeds United,Premier League,2021,29.0,1991.0,25.2,2,19,3,15.8,0.75,0.12,0.11,0.67,13.0,0,0,0,1.2,1.2,0.07,0.8,0.8,DF,25-29,Defender,England,Europe
153,Karim Azamoum,FRA,Troyes,Ligue 1,2021,31.0,1990.0,4.3,0,3,3,100.0,0.7,0.7,0.0,0.0,22.4,1,0,0,0.1,0.1,0.04,-0.1,-0.1,DF,30-34,Defender,France,Europe
154,Sardar Azmoun,IRN,Leverkusen,Bundesliga,2021,26.0,1995.0,4.0,1,11,4,36.4,2.76,1.0,0.09,0.25,12.7,0,0,0,2.9,2.9,0.27,-1.9,-1.9,"FW,MF",25-29,Forward,Iran,Asia
156,Iddrisu Baba,GHA,Mallorca,La Liga,2021,25.0,1996.0,21.5,1,23,8,34.8,1.07,0.37,0.04,0.13,24.4,0,0,0,1.4,1.4,0.06,-0.4,-0.4,MF,25-29,Midfielder,Ghana,Africa
157,Carlos Bacca,COL,Granada,La Liga,2021,34.0,1986.0,5.7,0,9,2,22.2,1.58,0.35,0.0,0.0,14.5,0,0,0,0.9,0.9,0.1,-0.9,-0.9,FW,30-34,Forward,Colombia,South America
158,Daniel Bachmann,AUT,Watford,Premier League,2021,27.0,1994.0,12.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GK,25-29,Goalkeeper,Austria,Europe
160,Milan Badelj,CRO,Genoa,Serie A,2021,32.0,1989.0,31.6,1,21,5,23.8,0.66,0.16,0.05,0.2,23.1,0,0,0,1.0,1.0,0.05,0.0,0.0,MF,30-34,Midfielder,Croatia,Europe
162,Benoît Badiashile,FRA,Monaco,Ligue 1,2021,20.0,2001.0,20.4,1,14,4,28.6,0.69,0.2,0.07,0.25,10.4,0,0,0,1.6,1.6,0.11,-0.6,-0.6,DF,20-24,Defender,France,Europe
166,Issa Bah,LUX,Venezia,Serie A,2021,19.0,2002.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FW,Under 20,Forward,Luxembourg,Europe
168,Leon Bailey,JAM,Aston Villa,Premier League,2021,23.0,1997.0,8.5,1,21,8,38.1,2.48,0.95,0.05,0.13,19.4,4,0,0,1.5,1.5,0.07,-0.5,-0.5,"FW,MF",20-24,Forward,Jamaica,North America
169,Eric Bailly,CIV,Manchester Utd,Premier League,2021,27.0,1994.0,2.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,DF,25-29,Defender,Ivory Coast,Africa
171,Stefan Bajic,FRA,Saint-Étienne,Ligue 1,2021,19.0,2001.0,5.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GK,Under 20,Goalkeeper,France,Europe
173,Cédric Bakambu,COD,Marseille,Ligue 1,2021,30.0,1991.0,4.0,4,19,8,42.1,4.8,2.02,0.21,0.5,13.4,0,0,0,2.6,2.6,0.13,1.4,1.4,FW,30-34,Forward,DR Congo,Africa
174,Abdoulaye Bakayoko,FRA,Saint-Étienne,Ligue 1,2021,18.0,2002.0,3.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,DF,Under 20,Defender,France,Europe
176,Mitchel Bakker,NED,Leverkusen,Bundesliga,2021,21.0,2000.0,20.2,1,9,3,33.3,0.44,0.15,0.11,0.33,20.6,0,0,0,0.4,0.4,0.04,0.6,0.6,DF,20-24,Defender,Netherlands,Europe
177,Ridle Baku,GER,Wolfsburg,Bundesliga,2021,23.0,1998.0,27.2,3,36,8,22.2,1.32,0.29,0.08,0.38,21.2,0,0,0,1.8,1.8,0.05,1.2,1.2,"DF,FW",20-24,Defender,Germany,Europe
178,Dilane Bakwa,FRA,Bordeaux,Ligue 1,2021,18.0,2002.0,0.5,0,2,1,50.0,4.19,2.09,0.0,0.0,18.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,"FW,MF",Under 20,Forward,France,Europe
179,Tommaso Baldanzi,ITA,Empoli,Serie A,2021,18.0,2003.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FW,Under 20,Forward,Italy,Europe
181,Ibrahima Baldé,FRA,Lens,Ligue 1,2021,18.0,2003.0,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,"FW,MF",Under 20,Forward,France,Europe
182,Keita Baldé,SEN,Cagliari,Serie A,2021,26.0,1995.0,13.7,3,27,11,40.7,1.98,0.81,0.11,0.27,13.3,0,0,0,3.5,3.5,0.13,-0.5,-0.5,FW,25-29,Forward,Senegal,Africa
183,Gareth Bale,WAL,Real Madrid,La Liga,2021,32.0,1989.0,3.1,1,15,6,40.0,4.82,1.93,0.07,0.17,19.7,2,0,0,1.2,1.2,0.08,-0.2,-0.2,FW,30-34,Forward,Wales,Europe
185,Leonardo Balerdi,ARG,Marseille,Ligue 1,2021,22.0,1999.0,10.6,0,2,0,0.0,0.19,0.0,0.0,,10.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,DF,20-24,Defender,Argentina,South America
186,Iván Balliu,ALB,Rayo Vallecano,La Liga,2021,29.0,1992.0,35.0,1,15,3,20.0,0.43,0.09,0.07,0.33,19.9,0,0,0,0.9,0.9,0.06,0.1,0.1,DF,25-29,Defender,Albania,Europe
187,Fodé Ballo-Touré,SEN,Milan,Serie A,2021,24.0,1997.0,5.0,0,2,1,50.0,0.4,0.2,0.0,0.0,14.9,0,0,0,0.3,0.3,0.14,-0.3,-0.3,DF,20-24,Defender,Senegal,Africa
