rk,player,nation,squad,comp,season,age,born,ninety_mins_played,shot_creating_actions,sca_per_90,pass_live_sca,pass_dead_sca,take_on_sca,shot_sca,foul_drawn_sca,defensive_action_sca,goal_creating_actions,gca_per_90,pass_live_gca,pass_dead_gca,take_on_gca,shot_gca,foul_drawn_gca,defensive_action_gca,position,age_range,general_position,country,continent
43,Sofiane Alakouch,MAR,Nîmes,Ligue 1,2019,21.0,1998.0,15.6,33,2.12,24,4,2,1,1,1,2,0.13,2,0,0,0,0,0,DF,20-24,Defender,Morocco,Africa
44,Lucas Alario,ARG,Leverkusen,Bundesliga,2019,26.0,1992.0,13.0,27,2.07,21,0,0,6,0,0,2,0.15,1,0,0,1,0,0,FW,25-29,Forward,Argentina,South America
48,Marc Albrighton,ENG,Leicester City,Premier League,2019,29.0,1989.0,9.6,27,2.8,23,2,1,1,0,0,5,0.52,5,0,0,0,0,0,"MF,DF",25-29,Midfielder,England,Europe
59,Trent Alexander-Arnold,ENG,Liverpool,Premier League,2019,20.0,1998.0,35.3,155,4.39,93,51,3,6,1,1,24,0.68,15,7,0,2,0,0,DF,20-24,Defender,England,Europe
60,Enrico Alfonso,ITA,Brescia,Serie A,2019,31.0,1988.0,3.1,1,0.32,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,GK,30-34,Goalkeeper,Italy,Europe
61,Rachid Alioui,MAR,Angers,Ligue 1,2019,27.0,1992.0,17.4,45,2.59,33,0,3,4,5,0,2,0.12,2,0,0,0,0,0,FW,25-29,Forward,Morocco,Africa
62,Alisson,BRA,Liverpool,Premier League,2019,26.0,1992.0,28.3,5,0.18,5,0,0,0,0,0,2,0.07,2,0,0,0,0,0,GK,25-29,Goalkeeper,Brazil,South America
62,Alisson,BRA,Liverpool,Premier League,2019,26.0,1992.0,28.3,5,0.18,5,0,0,0,0,0,2,0.07,2,0,0,0,0,0,GK,25-29,Goalkeeper,Brazil,South America
62,Alisson,BRA,Liverpool,Premier League,2019,26.0,1992.0,28.3,5,0.18,5,0,0,0,0,0,2,0.07,2,0,0,0,0,0,GK,25-29,Goalkeeper,Brazil,South America
62,Alisson,BRA,Liverpool,Premier League,2019,26.0,1992.0,28.3,5,0.18,5,0,0,0,0,0,2,0.07,2,0,0,0,0,0,GK,25-29,Goalkeeper,Brazil,South America
63,Allan,BRA,Napoli,Serie A,2019,28.0,1991.0,14.2,46,3.23,41,0,4,0,0,1,4,0.28,3,0,1,0,0,0,MF,25-29,Midfielder,Brazil,South America
63,Allan,BRA,Napoli,Serie A,2019,28.0,1991.0,14.2,46,3.23,41,0,4,0,0,1,4,0.28,3,0,1,0,0,0,MF,25-29,Midfielder,Brazil,South America
63,Allan,BRA,Napoli,Serie A,2019,28.0,1991.0,14.2,46,3.23,41,0,4,0,0,1,4,0.28,3,0,1,0,0,0,MF,25-29,Midfielder,Brazil,South America
63,Allan,BRA,Napoli,Serie A,2019,28.0,1991.0,14.2,46,3.23,41,0,4,0,0,1,4,0.28,3,0,1,0,0,0,MF,25-29,Midfielder,Brazil,South America
64,Dele Alli,ENG,Tottenham,Premier League,2019,23.0,1996.0,20.5,58,2.82,42,1,7,3,3,2,11,0.54,5,0,4,2,0,0,"MF,FW",20-24,Midfielder,England,Europe
65,Miguel Almirón,PAR,Newcastle Utd,Premier League,2019,25.0,1994.0,33.6,83,2.47,56,0,10,6,7,4,3,0.09,2,0,0,0,1,0,"MF,FW",25-29,Midfielder,Paraguay,South America
72,Steven Alzate,COL,Brighton,Premier League,2019,20.0,1998.0,13.2,38,2.88,29,0,6,2,1,0,2,0.15,1,0,0,0,1,0,"MF,DF",20-24,Midfielder,Colombia,South America
73,Ibrahim Amadou,FRA,Norwich City,Premier League,2019,26.0,1993.0,8.4,2,0.24,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,"DF,MF",25-29,Defender,France,Europe
74,Ibrahim Amadou,FRA,Leganés,La Liga,2019,26.0,1993.0,8.6,3,0.35,1,0,0,1,0,1,0,0.0,0,0,0,0,0,0,MF,25-29,Midfielder,France,Europe
75,Romain Amalfitano,FRA,Dijon,Ligue 1,2019,29.0,1989.0,18.8,35,1.86,24,0,4,2,3,2,2,0.11,2,0,0,0,0,0,MF,25-29,Midfielder,France,Europe
77,Jordan Amavi,FRA,Marseille,Ligue 1,2019,25.0,1994.0,24.0,36,1.5,27,5,0,1,1,2,2,0.08,1,1,0,0,0,0,DF,25-29,Defender,France,Europe
79,Kelvin Amian,FRA,Toulouse,Ligue 1,2019,21.0,1998.0,18.1,14,0.77,11,1,0,1,0,1,2,0.11,2,0,0,0,0,0,DF,20-24,Defender,France,Europe
80,Nadiem Amiri,GER,Leverkusen,Bundesliga,2019,22.0,1996.0,20.6,95,4.6,59,24,5,4,3,0,8,0.39,7,0,0,0,1,0,"MF,FW",20-24,Midfielder,Germany,Europe
81,Ethan Ampadu,WAL,RB Leipzig,Bundesliga,2019,18.0,2000.0,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,DF,Under 20,Defender,Wales,Europe
84,Joachim Andersen,DEN,Lyon,Ligue 1,2019,23.0,1996.0,17.0,16,0.94,16,0,0,0,0,0,0,0.0,0,0,0,0,0,0,DF,20-24,Defender,Denmark,Europe
85,Djavan Anderson,NED,Lazio,Serie A,2019,24.0,1995.0,1.9,2,1.08,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,"FW,DF",20-24,Forward,Netherlands,Europe
86,Felipe Anderson,BRA,West Ham,Premier League,2019,26.0,1993.0,16.6,67,4.03,50,2,5,5,4,1,11,0.66,9,0,2,0,0,0,"MF,FW",25-29,Midfielder,Brazil,South America
87,Sebastian Andersson,SWE,Union Berlin,Bundesliga,2019,28.0,1991.0,29.8,58,1.95,44,0,4,5,5,0,8,0.27,1,0,2,4,1,0,FW,25-29,Forward,Sweden,Europe
88,Florin Andone,ROU,Brighton,Premier League,2019,26.0,1993.0,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FW,25-29,Forward,Romania,Europe
89,Benjamin André,FRA,Lille,Ligue 1,2019,28.0,1990.0,22.8,39,1.71,32,0,2,2,1,2,4,0.18,4,0,0,0,0,0,MF,25-29,Midfielder,France,Europe
90,Lorenzo Andrenacci,ITA,Brescia,Serie A,2019,24.0,1995.0,5.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,GK,20-24,Goalkeeper,Italy,Europe
91,Robert Andrich,GER,Union Berlin,Bundesliga,2019,24.0,1994.0,28.6,83,2.9,55,4,5,11,6,2,6,0.21,4,0,0,0,1,1,MF,20-24,Midfielder,Germany,Europe
100,Cristian Ansaldi,ARG,Torino,Serie A,2019,32.0,1986.0,19.6,59,3.0,46,3,4,3,2,1,8,0.41,6,0,2,0,0,0,"DF,MF",30-34,Defender,Argentina,South America
102,Michail Antonio,JAM,West Ham,Premier League,2019,29.0,1990.0,19.6,71,3.61,35,1,15,11,7,2,9,0.46,4,0,1,3,1,0,FW,25-29,Forward,Jamaica,North America
104,Mirko Antonucci,ITA,Roma,Serie A,2019,20.0,1999.0,0.9,3,3.29,1,0,0,0,0,2,0,0.0,0,0,0,0,0,0,"FW,MF",20-24,Forward,Italy,Europe
106,Christopher Antwi-Adjei,GHA,Paderborn 07,Bundesliga,2019,25.0,1994.0,27.4,95,3.46,62,12,7,3,10,1,6,0.22,4,1,1,0,0,0,"MF,FW",25-29,Midfielder,Ghana,Africa
107,Anuar,MAR,Valladolid,La Liga,2019,24.0,1995.0,2.1,2,0.95,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,"MF,FW",20-24,Midfielder,Morocco,Africa
108,Houssem Aouar,ALG,Lyon,Ligue 1,2019,21.0,1998.0,21.7,85,3.91,53,2,11,7,8,4,11,0.51,9,0,1,1,0,0,"MF,FW",20-24,Midfielder,Algeria,Africa
109,Adil Aouchiche,FRA,Paris S-G,Ligue 1,2019,17.0,2002.0,0.7,2,2.81,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,MF,Under 20,Midfielder,France,Europe
110,Dennis Appiah,FRA,Nantes,Ligue 1,2019,27.0,1992.0,17.8,17,0.95,14,3,0,0,0,0,0,0.0,0,0,0,0,0,0,DF,25-29,Defender,France,Europe
111,Mauro Arambarri,URU,Getafe,La Liga,2019,23.0,1995.0,34.1,49,1.44,28,7,2,6,5,1,4,0.12,3,1,0,0,0,0,MF,20-24,Midfielder,Uruguay,South America
112,Guilherme Arana,BRA,Atalanta,Serie A,2019,22.0,1997.0,0.9,2,2.25,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,DF,20-24,Defender,Brazil,South America
113,Charles Aránguiz,CHI,Leverkusen,Bundesliga,2019,30.0,1989.0,23.5,46,1.95,41,1,0,1,2,1,5,0.21,5,0,0,0,0,0,MF,30-34,Midfielder,Chile,South America
114,Luiz Araújo,BRA,Lille,Ligue 1,2019,23.0,1996.0,9.2,32,3.47,16,1,8,2,4,1,2,0.22,1,0,0,1,0,0,"FW,MF",20-24,Forward,Brazil,South America
118,Alphonse Areola,FRA,Real Madrid,La Liga,2019,26.0,1993.0,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,GK,25-29,Goalkeeper,France,Europe
119,Alphonse Areola,FRA,Paris S-G,Ligue 1,2019,26.0,1993.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,GK,25-29,Goalkeeper,France,Europe
120,Santiago Arias,COL,Atlético Madrid,La Liga,2019,27.0,1992.0,12.0,23,1.92,19,2,0,1,1,0,2,0.17,2,0,0,0,0,0,DF,25-29,Defender,Colombia,South America
121,Nicolò Armini,ITA,Lazio,Serie A,2019,18.0,2001.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,DF,Under 20,Defender,Italy,Europe
122,Stuart Armstrong,SCO,Southampton,Premier League,2019,27.0,1992.0,19.1,60,3.15,43,0,6,5,5,1,8,0.42,4,0,1,2,0,1,MF,25-29,Midfielder,Scotland,Europe
125,Maximilian Arnold,GER,Wolfsburg,Bundesliga,2019,25.0,1994.0,31.3,137,4.37,55,56,4,10,11,1,14,0.45,5,6,0,2,1,0,MF,25-29,Midfielder,Germany,Europe
127,Kwadwo Asamoah,GHA,Inter,Serie A,2019,30.0,1988.0,7.1,20,2.82,17,0,2,0,0,1,4,0.56,3,0,1,0,0,0,"DF,FW",30-34,Defender,Ghana,Africa
128,Santiago Ascacíbar,ARG,Hertha BSC,Bundesliga,2019,22.0,1997.0,7.0,6,0.85,5,1,0,0,0,0,1,0.14,1,0,0,0,0,0,MF,20-24,Midfielder,Argentina,South America
133,Roger Assalé,CIV,Leganés,La Liga,2019,25.0,1993.0,5.9,19,3.22,12,0,2,0,5,0,3,0.51,1,0,0,0,2,0,"FW,MF",25-29,Forward,Ivory Coast,Africa
137,Pierre-Emerick Aubameyang,GAB,Arsenal,Premier League,2019,30.0,1989.0,34.8,69,1.98,48,0,6,7,6,2,12,0.34,8,0,0,2,1,1,FW,30-34,Forward,Gabon,Africa
138,Emil Audero,ITA,Sampdoria,Serie A,2019,22.0,1997.0,36.0,2,0.06,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,GK,20-24,Goalkeeper,Italy,Europe
139,Tommaso Augello,ITA,Sampdoria,Serie A,2019,24.0,1994.0,12.6,44,3.49,39,3,2,0,0,0,5,0.4,5,0,0,0,0,0,DF,20-24,Defender,Italy,Europe
140,Jean-Kévin Augustin,FRA,Monaco,Ligue 1,2019,22.0,1997.0,3.0,6,2.03,2,0,0,0,4,0,2,0.68,0,0,0,0,2,0,FW,20-24,Forward,France,Europe
142,Serge Aurier,CIV,Tottenham,Premier League,2019,26.0,1992.0,30.0,50,1.67,44,2,2,0,1,1,6,0.2,6,0,0,0,0,0,DF,25-29,Defender,Ivory Coast,Africa
143,Mathias Autret,FRA,Brest,Ligue 1,2019,28.0,1991.0,13.6,60,4.42,40,14,1,2,1,2,5,0.37,4,0,0,1,0,0,"MF,FW",25-29,Midfielder,France,Europe
147,Taiwo Awoniyi,NGA,Mainz 05,Bundesliga,2019,21.0,1997.0,5.4,13,2.43,9,0,4,0,0,0,0,0.0,0,0,0,0,0,0,"FW,MF",20-24,Forward,Nigeria,Africa
148,Florian Ayé,FRA,Brescia,Serie A,2019,22.0,1997.0,15.3,36,2.35,22,1,2,7,4,0,2,0.13,1,0,0,0,1,0,"FW,MF",20-24,Forward,France,Europe
149,Jordan Ayew,GHA,Crystal Palace,Premier League,2019,27.0,1991.0,35.0,81,2.32,48,0,13,4,13,3,8,0.23,3,0,2,2,1,0,FW,25-29,Forward,Ghana,Africa
151,Ramon Azeez,NGA,Granada,La Liga,2019,26.0,1992.0,15.1,22,1.46,13,1,0,3,3,2,1,0.07,1,0,0,0,0,0,MF,25-29,Midfielder,Nigeria,Africa
154,Iddrisu Baba,GHA,Mallorca,La Liga,2019,23.0,1996.0,32.3,28,0.87,25,0,0,0,2,1,1,0.03,1,0,0,0,0,0,MF,20-24,Midfielder,Ghana,Africa
156,Carlos Bacca,COL,Villarreal,La Liga,2019,32.0,1986.0,7.6,15,1.97,9,0,3,1,1,1,2,0.26,1,0,0,0,1,0,FW,30-34,Forward,Colombia,South America
157,Milan Badelj,CRO,Fiorentina,Serie A,2019,30.0,1989.0,17.6,47,2.67,39,2,2,0,2,2,1,0.06,1,0,0,0,0,0,MF,30-34,Midfielder,Croatia,Europe
158,Matthias Bader,GER,Köln,Bundesliga,2019,22.0,1997.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,DF,20-24,Defender,Germany,Europe
159,Benoît Badiashile,FRA,Monaco,Ligue 1,2019,18.0,2001.0,15.7,9,0.57,7,1,0,1,0,0,0,0.0,0,0,0,0,0,0,DF,Under 20,Defender,France,Europe
160,Bastian Badu,FRA,Montpellier,Ligue 1,2019,19.0,2000.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FW,Under 20,Forward,France,Europe
163,Daniel Baier,GER,Augsburg,Bundesliga,2019,35.0,1984.0,21.6,35,1.62,31,0,0,1,2,1,2,0.09,2,0,0,0,0,0,MF,35-39,Midfielder,Germany,Europe
164,Leon Bailey,JAM,Leverkusen,Bundesliga,2019,21.0,1997.0,12.1,42,3.47,23,9,3,4,2,1,9,0.74,5,2,0,1,1,0,"FW,MF",20-24,Forward,Jamaica,North America
