rk,player,nation,squad,comp,season,age,born,ninety_mins_played,passes_completed,passes_attempted,pass_completion_pct,total_pass_distance,progressive_pass_distance,short_passes_completed,short_passes_attempted,short_pass_completion_pct,medium_passes_completed,medium_passes_attempted,medium_pass_completion_pct,long_passes_completed,long_passes_attempted,long_pass_completion_pct,assists,xag,xa,assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age_range,general_position,country,continent
1437,Rafael Leão,POR,Milan,Serie A,2020,21.0,1999.0,21.4,362,507,71.4,5185,1075,195,255,76.5,126,163,77.3,16,32,50.0,6,4.4,2.6,1.6,27,16,25,4,45,FW,20-24,Forward,Portugal,Europe
1438,Jean-Louis Leca,FRA,Lens,Ligue 1,2020,34.0,1985.0,36.8,694,1024,67.8,19644,16190,182,183,99.5,246,249,98.8,236,558,42.3,0,0.1,0.1,-0.1,1,20,0,0,0,GK,30-34,Goalkeeper,France,Europe
1439,Mathew Leckie,AUS,Hertha BSC,Bundesliga,2020,29.0,1991.0,5.6,160,208,76.9,2558,629,85,105,81.0,55,67,82.1,14,18,77.8,1,0.5,0.3,0.5,6,9,6,3,15,"FW,DF",25-29,Forward,Australia,Oceania
1440,Benjamin Lecomte,FRA,Monaco,Ligue 1,2020,29.0,1991.0,28.0,759,1006,75.4,19620,14136,166,168,98.8,349,352,99.1,237,479,49.5,0,0.0,0.1,0.0,0,13,1,0,3,GK,25-29,Goalkeeper,France,Europe
1442,Pierre Lees-Melou,FRA,Nice,Ligue 1,2020,27.0,1993.0,22.9,1019,1198,85.1,17211,4963,497,547,90.9,380,426,89.2,107,161,66.5,2,0.8,1.2,1.2,12,109,16,3,141,MF,25-29,Midfielder,France,Europe
1443,Lucas Leiva,BRA,Lazio,Serie A,2020,33.0,1987.0,23.7,1274,1484,85.8,21944,7774,597,665,89.8,532,601,88.5,125,153,81.7,0,0.4,0.9,-0.4,7,183,12,3,163,MF,30-34,Midfielder,Brazil,South America
1444,Florian Lejeune,FRA,Alavés,La Liga,2020,29.0,1991.0,33.5,1130,1477,76.5,25072,11097,350,421,83.1,582,668,87.1,192,357,53.8,1,0.9,0.3,0.1,7,55,2,0,66,DF,25-29,Defender,France,Europe
1446,Thomas Lemar,FRA,Atlético Madrid,La Liga,2020,24.0,1995.0,15.2,643,806,79.8,9978,2573,335,372,90.1,200,249,80.3,63,98,64.3,3,2.0,2.4,1.0,21,51,17,3,78,MF,20-24,Midfielder,France,Europe
1448,Fabien Lemoine,FRA,Lorient,Ligue 1,2020,33.0,1987.0,21.5,1247,1456,85.6,21061,6136,605,650,93.1,480,533,90.1,120,190,63.2,0,1.5,1.2,-1.5,16,101,10,3,122,MF,30-34,Midfielder,France,Europe
1449,Clément Lenglet,FRA,Barcelona,La Liga,2020,25.0,1995.0,27.5,2130,2320,91.8,36070,13035,981,1019,96.3,943,1001,94.2,159,224,71.0,0,0.8,1.1,-0.8,9,205,19,0,181,DF,25-29,Defender,France,Europe
1450,Bernd Leno,GER,Arsenal,Premier League,2020,28.0,1992.0,34.8,948,1182,80.2,20559,12493,290,290,100.0,509,515,98.8,145,370,39.2,0,0.0,0.0,0.0,0,3,0,0,2,GK,25-29,Goalkeeper,Germany,Europe
1451,Christopher Lenz,GER,Union Berlin,Bundesliga,2020,25.0,1994.0,25.0,937,1322,70.9,15743,6486,456,540,84.4,360,493,73.0,86,185,46.5,3,2.8,2.6,0.2,20,82,22,13,94,"DF,FW",25-29,Defender,Germany,Europe
1455,Mehdi Léris,ALG,Sampdoria,Serie A,2020,22.0,1998.0,4.3,174,233,74.7,2680,771,102,120,85.0,49,64,76.6,16,29,55.2,0,0.4,0.3,-0.4,8,12,6,1,19,"DF,MF",20-24,Defender,Algeria,Africa
1457,Karlo Letica,CRO,Sampdoria,Serie A,2020,23.0,1997.0,1.0,30,34,88.2,694,352,6,6,100.0,18,18,100.0,6,10,60.0,0,0.0,0.0,0.0,0,0,0,0,0,GK,20-24,Goalkeeper,Croatia,Europe
1458,Gaetano Letizia,ITA,Benevento,Serie A,2020,30.0,1990.0,17.4,670,890,75.3,11927,4614,301,338,89.1,270,343,78.7,79,154,51.3,1,1.2,2.3,-0.2,14,41,32,21,59,DF,30-34,Defender,Italy,Europe
1463,Dimitri Liénard,FRA,Strasbourg,Ligue 1,2020,32.0,1988.0,20.3,860,1151,74.7,17566,5273,362,393,92.1,301,376,80.1,174,323,53.9,4,4.8,4.8,-0.8,40,92,32,17,111,MF,30-34,Midfielder,France,Europe
1464,Philipp Lienhart,AUT,Freiburg,Bundesliga,2020,24.0,1996.0,33.3,1661,1957,84.9,35640,11078,403,456,88.4,1021,1075,95.0,230,393,58.5,0,0.2,0.3,-0.2,5,64,1,0,76,DF,20-24,Defender,Austria,Europe
1465,Matthijs de Ligt,NED,Juventus,Serie A,2020,20.0,1999.0,24.7,1604,1739,92.2,30950,9589,515,553,93.1,928,961,96.6,147,196,75.0,1,0.9,1.0,0.1,9,98,6,2,93,DF,20-24,Defender,Netherlands,Europe
1466,Isaac Lihadji,FRA,Lille,Ligue 1,2020,18.0,2002.0,2.2,70,101,69.3,1107,376,38,49,77.6,22,31,71.0,7,12,58.3,1,0.5,0.6,0.5,4,8,1,0,10,"MF,FW",Under 20,Midfielder,France,Europe
1468,Victor Lindelöf,SWE,Manchester Utd,Premier League,2020,26.0,1994.0,28.7,1686,1882,89.6,29559,11270,698,751,92.9,862,909,94.8,108,181,59.7,1,0.3,0.7,0.7,6,92,5,0,92,DF,25-29,Defender,Sweden,Europe
1470,Jesse Lingard,ENG,West Ham,Premier League,2020,27.0,1992.0,15.8,546,686,79.6,7671,1895,304,343,88.6,170,209,81.3,33,60,55.0,4,2.1,1.3,1.9,18,55,23,5,75,"MF,FW",25-29,Midfielder,England,Europe
1473,Jake Livermore,ENG,West Brom,Premier League,2020,30.0,1989.0,13.8,273,388,70.4,4417,1144,135,170,79.4,107,141,75.9,21,48,43.8,0,0.2,0.2,-0.2,5,23,2,1,26,MF,30-34,Midfielder,England,Europe
1479,Hugo Lloris,FRA,Tottenham,Premier League,2020,33.0,1986.0,38.0,801,1079,74.2,19746,14204,262,265,98.9,300,305,98.4,229,498,46.0,0,0.0,0.0,0.0,0,7,0,0,0,GK,30-34,Goalkeeper,France,Europe
1480,Giovani Lo Celso,ARG,Tottenham,Premier League,2020,24.0,1996.0,10.5,469,604,77.6,6897,2082,269,302,89.1,143,180,79.4,28,58,48.3,1,1.0,1.0,0.0,15,52,12,0,71,MF,20-24,Midfielder,Argentina,South America
1481,Stanislav Lobotka,SVK,Napoli,Serie A,2020,25.0,1994.0,1.7,117,129,90.7,1841,362,58,62,93.5,43,46,93.5,10,13,76.9,0,0.0,0.0,0.0,0,5,1,0,7,MF,25-29,Midfielder,Slovakia,Europe
1482,Manuel Locatelli,ITA,Sassuolo,Serie A,2020,22.0,1998.0,32.0,2440,2802,87.1,41731,14137,1213,1295,93.7,931,1035,90.0,249,365,68.2,2,2.8,3.4,-0.8,38,325,35,5,315,MF,20-24,Midfielder,Italy,Europe
1483,Renan Lodi,BRA,Atlético Madrid,La Liga,2020,22.0,1998.0,12.5,577,749,77.0,9262,2640,321,362,88.7,200,263,76.0,43,77,55.8,2,1.8,1.5,0.2,12,17,19,7,36,"DF,FW",20-24,Defender,Brazil,South America
1484,Ruben Loftus-Cheek,ENG,Chelsea,Premier League,2020,24.0,1996.0,0.7,11,17,64.7,127,14,10,11,90.9,1,2,50.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,0,FW,20-24,Forward,England,Europe
1485,Ruben Loftus-Cheek,ENG,Fulham,Premier League,2020,24.0,1996.0,21.2,578,722,80.1,8146,1920,333,388,85.8,195,230,84.8,21,31,67.7,0,1.2,1.1,-1.2,17,57,13,2,82,"MF,FW",20-24,Midfielder,England,Europe
1487,Kevin Long,IRL,Burnley,Premier League,2020,29.0,1990.0,7.1,191,268,71.3,3722,1296,66,79,83.5,91,114,79.8,28,61,45.9,0,0.0,0.1,0.0,1,8,1,0,15,DF,25-29,Defender,Republic of Ireland,Europe
1488,Shane Long,IRL,Southampton,Premier League,2020,33.0,1987.0,2.3,32,57,56.1,346,115,26,35,74.3,5,8,62.5,0,0,,0,0.0,0.0,0.0,0,2,0,0,3,FW,30-34,Forward,Republic of Ireland,Europe
1490,Sean Longstaff,ENG,Newcastle Utd,Premier League,2020,22.0,1997.0,15.7,467,591,79.0,8564,2283,212,236,89.8,170,194,87.6,68,120,56.7,1,1.0,0.9,0.0,12,42,1,0,45,MF,20-24,Midfielder,England,Europe
1491,Ademola Lookman,NGA,Fulham,Premier League,2020,22.0,1997.0,30.5,892,1199,74.4,13128,3607,497,577,86.1,295,378,78.0,56,128,43.8,4,5.2,4.2,-1.2,61,51,41,5,110,"FW,MF",20-24,Forward,Nigeria,Africa
1492,Anthony Lopes,POR,Lyon,Ligue 1,2020,29.0,1990.0,38.0,977,1183,82.6,25945,17606,176,177,99.4,499,501,99.6,300,501,59.9,0,0.0,0.1,0.0,0,11,1,0,9,GK,25-29,Goalkeeper,Portugal,Europe
1506,Matteo Lovato,ITA,Hellas Verona,Serie A,2020,20.0,2000.0,15.4,479,609,78.7,8921,3142,172,209,82.3,256,302,84.8,43,80,53.8,0,0.1,0.1,-0.1,4,32,1,0,35,DF,20-24,Defender,Italy,Europe
1507,Max Lowe,ENG,Sheffield Utd,Premier League,2020,23.0,1997.0,6.1,147,221,66.5,2013,664,90,111,81.1,42,64,65.6,7,21,33.3,0,0.1,0.2,-0.1,2,15,5,1,14,DF,20-24,Defender,England,Europe
1508,Eduard Löwen,GER,Hertha BSC,Bundesliga,2020,23.0,1997.0,0.9,52,68,76.5,835,214,29,36,80.6,16,21,76.2,4,6,66.7,0,0.0,0.0,0.0,0,4,2,1,5,"MF,DF",20-24,Midfielder,Germany,Europe
1509,Matthew Lowton,ENG,Burnley,Premier League,2020,31.0,1989.0,34.0,1061,1550,68.5,18130,8412,573,640,89.5,337,471,71.5,136,366,37.2,1,3.1,2.5,-2.1,25,125,48,12,127,DF,30-34,Defender,England,Europe
1511,Hirving Lozano,MEX,Napoli,Serie A,2020,25.0,1995.0,21.8,426,620,68.7,5456,1067,270,330,81.8,103,155,66.5,16,41,39.0,3,4.8,3.5,-1.8,35,17,22,7,44,FW,25-29,Forward,Mexico,North America
1513,Jean Lucas,BRA,Lyon,Ligue 1,2020,22.0,1998.0,1.9,110,131,84.0,2105,560,48,50,96.0,48,54,88.9,12,19,63.2,0,0.0,0.1,0.0,1,9,1,0,19,MF,20-24,Midfielder,Brazil,South America
1514,Jean Lucas,BRA,Brest,Ligue 1,2020,22.0,1998.0,11.2,575,651,88.3,10043,2455,264,287,92.0,230,254,90.6,58,77,75.3,2,1.1,1.3,0.9,9,39,8,3,62,"MF,FW",20-24,Midfielder,Brazil,South America
1515,Anderson Lucoqui,ANG,Arminia,Bundesliga,2020,23.0,1997.0,17.8,472,724,65.2,8357,3211,205,257,79.8,220,318,69.2,39,97,40.2,0,0.2,0.4,-0.2,6,37,6,2,45,DF,20-24,Defender,Angola,Africa
1516,Jeison Lucumí,COL,Elche,La Liga,2020,25.0,1995.0,0.5,8,11,72.7,115,13,5,6,83.3,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,MF,25-29,Midfielder,Colombia,South America
1521,José Luis Palomino,ARG,Atalanta,Serie A,2020,30.0,1990.0,27.0,1273,1554,81.9,23856,8941,462,523,88.3,655,739,88.6,134,242,55.4,2,0.8,0.6,1.2,9,93,2,0,136,DF,30-34,Defender,Argentina,South America
1524,David Luiz,BRA,Arsenal,Premier League,2020,33.0,1987.0,15.5,836,1013,82.5,17006,5726,254,278,91.4,464,502,92.4,102,192,53.1,0,0.5,1.0,-0.5,2,66,9,0,68,DF,30-34,Defender,Brazil,South America
1525,Douglas Luiz,BRA,Aston Villa,Premier League,2020,22.0,1998.0,30.9,1217,1445,84.2,22141,6015,503,568,88.6,525,577,91.0,152,212,71.7,2,1.6,1.4,0.4,19,134,13,3,131,MF,20-24,Midfielder,Brazil,South America
1526,Romelu Lukaku,BEL,Inter,Serie A,2020,27.0,1993.0,32.0,538,762,70.6,6581,1431,334,424,78.8,108,154,70.1,22,38,57.9,11,7.0,5.4,4.0,52,37,38,2,82,FW,25-29,Forward,Belgium,Europe
1531,Sebastiano Luperto,ITA,Crotone,Serie A,2020,23.0,1996.0,20.9,836,1024,81.6,15124,6124,328,350,93.7,446,505,88.3,56,139,40.3,0,0.2,0.2,-0.2,6,49,0,0,69,DF,20-24,Defender,Italy,Europe
1532,Andreas Luthe,GER,Union Berlin,Bundesliga,2020,33.0,1987.0,30.8,811,1143,71.0,22829,16779,167,167,100.0,373,386,96.6,268,585,45.8,0,0.0,0.1,0.0,0,12,0,0,0,GK,30-34,Goalkeeper,Germany,Europe
1533,Lyanco,BRA,Torino,Serie A,2020,23.0,1997.0,21.8,1079,1263,85.4,22353,8180,325,358,90.8,569,621,91.6,175,261,67.0,0,0.5,0.4,-0.5,6,61,4,0,69,DF,20-24,Defender,Brazil,South America
1536,Alexis Mac Allister,ARG,Brighton,Premier League,2020,21.0,1998.0,12.4,320,410,78.0,4922,1248,168,196,85.7,109,129,84.5,20,36,55.6,1,1.5,1.7,-0.5,15,26,16,0,48,"MF,FW",20-24,Midfielder,Argentina,South America
1537,Darwin Machís,VEN,Granada,La Liga,2020,27.0,1993.0,22.5,327,552,59.2,5502,1806,182,228,79.8,93,154,60.4,40,112,35.7,5,5.0,3.5,0.0,25,30,14,10,37,"FW,MF",25-29,Forward,Venezuela,South America
1538,Tim Maciejewski,GER,Union Berlin,Bundesliga,2020,19.0,2001.0,0.1,2,3,66.7,14,0,2,3,66.7,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,Under 20,Forward,Germany,Europe
1541,James Maddison,ENG,Leicester City,Premier League,2020,23.0,1996.0,23.3,874,1132,77.2,13447,3772,454,510,89.0,285,354,80.5,72,149,48.3,5,5.1,3.4,-0.1,51,103,33,3,134,MF,20-24,Midfielder,England,Europe
1544,Gabriel Magalhães,BRA,Arsenal,Premier League,2020,22.0,1997.0,22.2,1332,1559,85.4,24293,8542,478,522,91.6,734,797,92.1,106,202,52.5,0,0.1,0.2,-0.1,2,67,3,1,80,DF,20-24,Defender,Brazil,South America
1545,Lisandro Magallán,ARG,Crotone,Serie A,2020,26.0,1993.0,24.2,903,1109,81.4,16685,7382,350,411,85.2,456,522,87.4,86,137,62.8,2,0.4,0.3,1.6,9,70,5,0,70,DF,25-29,Defender,Argentina,South America
1546,Christian Maggio,ITA,Benevento,Serie A,2020,38.0,1982.0,3.3,106,141,75.2,1584,861,64,73,87.7,36,45,80.0,5,13,38.5,0,0.0,0.0,0.0,0,4,0,0,7,DF,35-39,Defender,Italy,Europe
1547,Giulio Maggiore,ITA,Spezia,Serie A,2020,22.0,1998.0,24.6,565,817,69.2,8648,2457,297,375,79.2,198,276,71.7,40,86,46.5,1,1.9,1.6,-0.9,13,58,13,0,77,MF,20-24,Midfielder,Italy,Europe
1548,Francesco Magnanelli,ITA,Sassuolo,Serie A,2020,35.0,1984.0,4.9,361,421,85.7,6066,1587,169,184,91.8,145,166,87.3,34,47,72.3,0,0.2,0.2,-0.2,4,39,1,0,33,MF,35-39,Midfielder,Italy,Europe
1549,Giangiacomo Magnani,ITA,Hellas Verona,Serie A,2020,24.0,1995.0,16.8,459,611,75.1,9116,2831,135,168,80.4,253,304,83.2,63,106,59.4,0,0.0,0.1,0.0,1,29,3,1,30,DF,20-24,Defender,Italy,Europe
1550,Hugo Magnetti,FRA,Brest,Ligue 1,2020,22.0,1998.0,6.7,290,346,83.8,5652,1644,97,109,89.0,141,153,92.2,40,61,65.6,0,0.4,0.3,-0.4,3,32,1,0,35,MF,20-24,Midfielder,France,Europe
1551,Harry Maguire,ENG,Manchester Utd,Premier League,2020,27.0,1993.0,33.9,1958,2250,87.0,38694,13018,634,711,89.2,1052,1144,92.0,232,325,71.4,1,0.3,0.6,0.7,7,175,8,1,194,DF,25-29,Defender,England,Europe
1552,Abdallahi Mahmoud,MTN,Alavés,La Liga,2020,20.0,2000.0,0.7,13,15,86.7,214,86,6,6,100.0,6,6,100.0,1,2,50.0,0,0.0,0.0,0.0,1,2,0,0,1,MF,20-24,Midfielder,Mauritania,Africa
1554,Riyad Mahrez,ALG,Manchester City,Premier League,2020,29.0,1991.0,21.7,916,1096,83.6,12994,2572,556,599,92.8,265,328,80.8,50,84,59.5,6,5.0,5.7,1.0,43,38,43,5,88,FW,25-29,Forward,Algeria,Africa
1555,Arne Maier,GER,Arminia,Bundesliga,2020,21.0,1999.0,11.5,319,441,72.3,5883,1277,123,160,76.9,140,176,79.5,43,75,57.3,0,1.2,1.5,-1.2,11,24,8,1,29,MF,20-24,Midfielder,Germany,Europe
1556,Arne Maier,GER,Hertha BSC,Bundesliga,2020,21.0,1999.0,0.3,19,20,95.0,414,144,7,7,100.0,7,7,100.0,5,6,83.3,0,0.1,0.1,-0.1,1,2,1,0,3,MF,20-24,Midfielder,Germany,Europe
1557,Habib Maïga,CIV,Metz,Ligue 1,2020,24.0,1996.0,29.9,1158,1422,81.4,20508,5968,503,561,89.7,528,613,86.1,100,182,54.9,3,1.9,1.1,1.1,26,132,6,2,161,MF,20-24,Midfielder,Ivory Coast,Africa
1558,Mike Maignan,FRA,Lille,Ligue 1,2020,25.0,1995.0,38.0,779,1071,72.7,20474,15076,167,168,99.4,376,378,99.5,225,507,44.4,0,0.1,0.1,-0.1,1,10,3,0,4,GK,25-29,Goalkeeper,France,Europe
1559,Ainsley Maitland-Niles,ENG,Arsenal,Premier League,2020,22.0,1997.0,5.4,226,291,77.7,3689,985,114,127,89.8,88,114,77.2,16,30,53.3,0,0.1,0.2,-0.1,2,19,4,1,24,"MF,DF",20-24,Midfielder,England,Europe
1560,Ainsley Maitland-Niles,ENG,West Brom,Premier League,2020,22.0,1997.0,13.7,313,416,75.2,4264,1309,177,214,82.7,81,102,79.4,22,37,59.5,0,0.7,1.3,-0.7,4,28,9,2,47,MF,20-24,Midfielder,England,Europe
1561,Josh Maja,NGA,Fulham,Premier League,2020,21.0,1998.0,9.0,154,181,85.1,2069,213,86,97,88.7,45,48,93.8,8,10,80.0,0,0.5,0.5,-0.5,7,7,4,0,15,FW,20-24,Forward,Nigeria,Africa
1562,Josh Maja,NGA,Bordeaux,Ligue 1,2020,21.0,1998.0,8.9,161,192,83.9,1922,208,104,117,88.9,37,43,86.0,4,7,57.1,0,0.4,0.4,-0.4,8,9,2,0,8,FW,20-24,Forward,Nigeria,Africa
1566,Jean-Victor Makengo,FRA,Udinese,Serie A,2020,22.0,1998.0,5.8,153,195,78.5,2396,592,89,99,89.9,51,58,87.9,10,17,58.8,0,0.1,0.1,-0.1,2,21,3,0,23,MF,20-24,Midfielder,France,Europe
1572,Daniel Maldini,ITA,Milan,Serie A,2020,18.0,2001.0,0.3,13,15,86.7,218,97,8,8,100.0,3,5,60.0,2,2,100.0,0,0.0,0.0,0.0,0,2,1,1,2,"FW,DF",Under 20,Forward,Italy,Europe
1573,Ruslan Malinovskyi,UKR,Atalanta,Serie A,2020,27.0,1993.0,20.8,840,1128,74.5,15502,5075,371,440,84.3,330,425,77.6,111,190,58.4,12,10.2,6.7,1.8,78,89,58,7,151,"MF,FW",25-29,Midfielder,Ukraine,Europe
1577,Dennis Man,ROU,Parma,Serie A,2020,21.0,1998.0,7.8,220,262,84.0,3261,807,120,141,85.1,72,82,87.8,15,19,78.9,1,0.5,0.5,0.5,5,21,12,3,38,"FW,MF",20-24,Forward,Romania,Europe
1579,Vincent Manceau,FRA,Angers,Ligue 1,2020,31.0,1989.0,25.7,1267,1603,79.0,21008,8883,667,730,91.4,480,612,78.4,108,213,50.7,0,0.9,1.5,-0.9,12,91,24,8,123,DF,30-34,Defender,France,Europe
1580,Gianluca Mancini,ITA,Roma,Serie A,2020,24.0,1996.0,31.7,1731,1967,88.0,32631,9987,654,701,93.3,872,938,93.0,189,284,66.5,2,0.8,0.9,1.2,7,137,13,2,150,DF,20-24,Defender,Italy,Europe
1581,Steve Mandanda,FRA,Marseille,Ligue 1,2020,35.0,1985.0,37.0,934,1324,70.5,23761,17961,217,218,99.5,473,484,97.7,241,614,39.3,0,0.0,0.0,0.0,0,12,1,0,0,GK,35-39,Goalkeeper,France,Europe
1582,Reinildo Mandava,MOZ,Lille,Ligue 1,2020,26.0,1994.0,24.2,1258,1592,79.0,19039,6082,696,772,90.2,450,545,82.6,74,178,41.6,0,1.4,1.9,-1.4,18,88,28,15,117,DF,25-29,Defender,Mozambique,Africa
1583,Aïssa Mandi,ALG,Betis,La Liga,2020,28.0,1991.0,26.6,1387,1526,90.9,27767,10336,450,484,93.0,748,785,95.3,173,228,75.9,1,0.8,0.2,0.2,4,46,1,0,62,DF,25-29,Defender,Algeria,Africa
1584,Rolando Mandragora,ITA,Udinese,Serie A,2020,23.0,1997.0,4.4,127,164,77.4,1981,504,71,79,89.9,48,59,81.4,7,14,50.0,0,0.2,0.2,-0.2,4,12,4,1,19,MF,20-24,Midfielder,Italy,Europe
1585,Rolando Mandragora,ITA,Torino,Serie A,2020,23.0,1997.0,16.9,590,736,80.2,9313,2478,300,335,89.6,216,261,82.8,48,90,53.3,1,0.7,0.9,0.3,16,56,8,3,61,MF,20-24,Midfielder,Italy,Europe
1587,Sadio Mané,SEN,Liverpool,Premier League,2020,28.0,1992.0,31.2,812,1082,75.0,11380,2510,499,589,84.7,218,289,75.4,48,70,68.6,7,7.0,5.3,0.0,61,41,66,7,112,FW,25-29,Forward,Senegal,Africa
1590,Orel Mangala,BEL,Stuttgart,Bundesliga,2020,22.0,1998.0,23.4,847,1012,83.7,13120,3892,453,509,89.0,301,349,86.2,56,84,66.7,3,1.5,1.4,1.5,19,72,9,0,116,MF,20-24,Midfielder,Belgium,Europe
1591,Thomas Mangani,FRA,Angers,Ligue 1,2020,33.0,1987.0,29.9,1700,2122,80.1,31536,11198,749,833,89.9,694,808,85.9,224,397,56.4,3,3.7,3.3,-0.7,43,204,23,6,265,MF,30-34,Midfielder,France,Europe
1592,Vito Mannone,ITA,Monaco,Ligue 1,2020,32.0,1988.0,9.0,205,287,71.4,6024,4339,23,23,100.0,106,106,100.0,76,158,48.1,0,0.0,0.0,0.0,0,1,0,0,1,GK,30-34,Goalkeeper,Italy,Europe
1597,Faitout Maouassa,FRA,Rennes,Ligue 1,2020,22.0,1998.0,13.0,640,813,78.7,10524,3238,354,404,87.6,230,285,80.7,51,96,53.1,1,0.9,1.2,0.1,10,44,15,9,58,DF,20-24,Defender,France,Europe
1601,Marcelo,BRA,Real Madrid,La Liga,2020,32.0,1988.0,11.7,699,876,79.8,10748,3399,396,442,89.6,227,277,81.9,49,97,50.5,2,1.5,2.4,0.5,16,74,28,9,96,"DF,MF",30-34,Defender,Brazil,South America
1601,Marcelo,BRA,Real Madrid,La Liga,2020,32.0,1988.0,11.7,699,876,79.8,10748,3399,396,442,89.6,227,277,81.9,49,97,50.5,2,1.5,2.4,0.5,16,74,28,9,96,"DF,MF",30-34,Defender,Brazil,South America
1601,Marcelo,BRA,Real Madrid,La Liga,2020,32.0,1988.0,11.7,699,876,79.8,10748,3399,396,442,89.6,227,277,81.9,49,97,50.5,2,1.5,2.4,0.5,16,74,28,9,96,"DF,MF",30-34,Defender,Brazil,South America
1601,Marcelo,BRA,Real Madrid,La Liga,2020,32.0,1988.0,11.7,699,876,79.8,10748,3399,396,442,89.6,227,277,81.9,49,97,50.5,2,1.5,2.4,0.5,16,74,28,9,96,"DF,MF",30-34,Defender,Brazil,South America
1601,Marcelo,BRA,Real Madrid,La Liga,2020,32.0,1988.0,11.7,699,876,79.8,10748,3399,396,442,89.6,227,277,81.9,49,97,50.5,2,1.5,2.4,0.5,16,74,28,9,96,"DF,MF",30-34,Defender,Brazil,South America
1601,Marcelo,BRA,Real Madrid,La Liga,2020,32.0,1988.0,11.7,699,876,79.8,10748,3399,396,442,89.6,227,277,81.9,49,97,50.5,2,1.5,2.4,0.5,16,74,28,9,96,"DF,MF",30-34,Defender,Brazil,South America
1601,Marcelo,BRA,Real Madrid,La Liga,2020,32.0,1988.0,11.7,699,876,79.8,10748,3399,396,442,89.6,227,277,81.9,49,97,50.5,2,1.5,2.4,0.5,16,74,28,9,96,"DF,MF",30-34,Defender,Brazil,South America
1601,Marcelo,BRA,Real Madrid,La Liga,2020,32.0,1988.0,11.7,699,876,79.8,10748,3399,396,442,89.6,227,277,81.9,49,97,50.5,2,1.5,2.4,0.5,16,74,28,9,96,"DF,MF",30-34,Defender,Brazil,South America
1601,Marcelo,BRA,Real Madrid,La Liga,2020,32.0,1988.0,11.7,699,876,79.8,10748,3399,396,442,89.6,227,277,81.9,49,97,50.5,2,1.5,2.4,0.5,16,74,28,9,96,"DF,MF",30-34,Defender,Brazil,South America
1602,Marcelo,BRA,Lyon,Ligue 1,2020,33.0,1987.0,32.3,1828,2080,87.9,35926,13417,613,661,92.7,988,1052,93.9,204,326,62.6,0,0.5,0.7,-0.5,8,125,7,1,146,DF,30-34,Defender,Brazil,South America
1602,Marcelo,BRA,Lyon,Ligue 1,2020,33.0,1987.0,32.3,1828,2080,87.9,35926,13417,613,661,92.7,988,1052,93.9,204,326,62.6,0,0.5,0.7,-0.5,8,125,7,1,146,DF,30-34,Defender,Brazil,South America
1602,Marcelo,BRA,Lyon,Ligue 1,2020,33.0,1987.0,32.3,1828,2080,87.9,35926,13417,613,661,92.7,988,1052,93.9,204,326,62.6,0,0.5,0.7,-0.5,8,125,7,1,146,DF,30-34,Defender,Brazil,South America
1602,Marcelo,BRA,Lyon,Ligue 1,2020,33.0,1987.0,32.3,1828,2080,87.9,35926,13417,613,661,92.7,988,1052,93.9,204,326,62.6,0,0.5,0.7,-0.5,8,125,7,1,146,DF,30-34,Defender,Brazil,South America
1602,Marcelo,BRA,Lyon,Ligue 1,2020,33.0,1987.0,32.3,1828,2080,87.9,35926,13417,613,661,92.7,988,1052,93.9,204,326,62.6,0,0.5,0.7,-0.5,8,125,7,1,146,DF,30-34,Defender,Brazil,South America
1602,Marcelo,BRA,Lyon,Ligue 1,2020,33.0,1987.0,32.3,1828,2080,87.9,35926,13417,613,661,92.7,988,1052,93.9,204,326,62.6,0,0.5,0.7,-0.5,8,125,7,1,146,DF,30-34,Defender,Brazil,South America
1602,Marcelo,BRA,Lyon,Ligue 1,2020,33.0,1987.0,32.3,1828,2080,87.9,35926,13417,613,661,92.7,988,1052,93.9,204,326,62.6,0,0.5,0.7,-0.5,8,125,7,1,146,DF,30-34,Defender,Brazil,South America
1602,Marcelo,BRA,Lyon,Ligue 1,2020,33.0,1987.0,32.3,1828,2080,87.9,35926,13417,613,661,92.7,988,1052,93.9,204,326,62.6,0,0.5,0.7,-0.5,8,125,7,1,146,DF,30-34,Defender,Brazil,South America
1602,Marcelo,BRA,Lyon,Ligue 1,2020,33.0,1987.0,32.3,1828,2080,87.9,35926,13417,613,661,92.7,988,1052,93.9,204,326,62.6,0,0.5,0.7,-0.5,8,125,7,1,146,DF,30-34,Defender,Brazil,South America
1603,Solly March,ENG,Brighton,Premier League,2020,26.0,1994.0,18.6,676,979,69.1,11623,3652,326,376,86.7,258,358,72.1,72,165,43.6,1,1.5,2.5,-0.5,27,41,34,9,79,"DF,MF",25-29,Defender,England,Europe
1604,Federico Marchetti,ITA,Genoa,Serie A,2020,37.0,1983.0,3.7,114,137,83.2,2393,1560,48,48,100.0,45,46,97.8,21,43,48.8,0,0.0,0.0,0.0,0,0,0,0,0,GK,35-39,Goalkeeper,Italy,Europe
