rk,player,nation,squad,comp,season,age,born,ninety_mins_played,yellow_cards,red_cards,second_yellow_cards,fouls,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,position,age_range,general_position,country,continent
39,Rayan Aït-Nouri,ALG,Angers,Ligue 1,2020,19.0,2001.0,2.1,0,0,0,2,3,0,4,4,2,0,0,0,8,1,3,25.0,DF,Under 20,Defender,Algeria,Africa
40,Semi Ajayi,NGA,West Brom,Premier League,2020,26.0,1993.0,30.9,3,1,0,28,4,1,7,42,14,0,2,0,161,74,54,57.8,DF,25-29,Defender,Nigeria,Africa
41,Ludovic Ajorque,FRA,Strasbourg,Ligue 1,2020,26.0,1994.0,33.0,5,0,0,38,46,12,27,11,18,2,0,0,67,166,133,55.5,FW,25-29,Forward,France,Europe
42,Manuel Akanji,SUI,Dortmund,Bundesliga,2020,25.0,1995.0,26.1,4,0,0,22,18,0,2,49,22,1,1,0,148,46,30,60.5,DF,25-29,Defender,Switzerland,Europe
43,Carlos Akapo,EQG,Cádiz,La Liga,2020,27.0,1993.0,9.6,3,1,1,10,4,0,18,19,14,0,0,0,49,14,3,82.4,DF,25-29,Defender,Equatorial Guinea,Africa
44,Marley Aké,FRA,Marseille,Ligue 1,2020,19.0,2001.0,1.6,0,0,0,6,5,0,2,0,3,0,0,0,7,4,6,40.0,FW,Under 20,Forward,France,Europe
45,Nathan Aké,NED,Manchester City,Premier League,2020,25.0,1995.0,8.9,4,0,0,8,4,0,1,9,5,0,1,0,30,24,17,58.5,DF,25-29,Defender,Netherlands,Europe
46,Paul Akouokou,CIV,Betis,La Liga,2020,22.0,1997.0,4.2,5,1,1,11,2,0,2,6,8,0,0,0,29,10,8,55.6,MF,20-24,Midfielder,Ivory Coast,Africa
48,Kevin Akpoguma,NGA,Hoffenheim,Bundesliga,2020,25.0,1995.0,13.2,1,0,0,15,16,0,8,13,12,0,0,0,69,21,28,42.9,DF,25-29,Defender,Nigeria,Africa
49,David Alaba,AUT,Bayern Munich,Bundesliga,2020,28.0,1992.0,29.7,4,0,0,19,10,0,37,43,21,0,0,0,189,19,18,51.4,"DF,MF",25-29,Defender,Austria,Europe
50,Sofiane Alakouch,MAR,Nîmes,Ligue 1,2020,22.0,1998.0,16.7,4,0,0,25,26,1,19,21,33,1,1,0,106,7,13,35.0,DF,20-24,Defender,Morocco,Africa
52,Lucas Alario,ARG,Leverkusen,Bundesliga,2020,27.0,1992.0,13.8,2,0,0,17,17,11,0,2,2,0,0,0,29,38,69,35.5,FW,25-29,Forward,Argentina,South America
56,Marc Albrighton,ENG,Leicester City,Premier League,2020,30.0,1989.0,19.4,2,0,0,9,19,4,118,17,19,0,0,0,138,10,36,21.7,"DF,FW",30-34,Defender,England,Europe
61,Omar Alderete,PAR,Hertha BSC,Bundesliga,2020,23.0,1996.0,14.4,2,0,0,22,5,0,2,21,10,0,0,0,68,32,29,52.5,DF,20-24,Defender,Paraguay,South America
67,Trent Alexander-Arnold,ENG,Liverpool,Premier League,2020,21.0,1998.0,33.7,2,0,0,21,9,5,297,49,33,0,1,0,258,8,23,25.8,DF,20-24,Defender,England,Europe
71,Rachid Alioui,MAR,Angers,Ligue 1,2020,28.0,1992.0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,FW,25-29,Forward,Morocco,Africa
72,Alisson,BRA,Liverpool,Premier League,2020,27.0,1992.0,33.0,1,0,0,1,6,0,0,2,2,0,1,0,74,12,1,92.3,GK,25-29,Goalkeeper,Brazil,South America
72,Alisson,BRA,Liverpool,Premier League,2020,27.0,1992.0,33.0,1,0,0,1,6,0,0,2,2,0,1,0,74,12,1,92.3,GK,25-29,Goalkeeper,Brazil,South America
72,Alisson,BRA,Liverpool,Premier League,2020,27.0,1992.0,33.0,1,0,0,1,6,0,0,2,2,0,1,0,74,12,1,92.3,GK,25-29,Goalkeeper,Brazil,South America
72,Alisson,BRA,Liverpool,Premier League,2020,27.0,1992.0,33.0,1,0,0,1,6,0,0,2,2,0,1,0,74,12,1,92.3,GK,25-29,Goalkeeper,Brazil,South America
73,Saturnin Allagbé,BEN,Dijon,Ligue 1,2020,26.0,1993.0,12.0,2,0,0,2,1,0,0,0,0,0,1,0,14,3,1,75.0,GK,25-29,Goalkeeper,Benin,Africa
74,Allan,BRA,Everton,Premier League,2020,29.0,1991.0,22.8,6,0,0,37,30,0,4,19,45,0,0,0,187,4,11,26.7,MF,25-29,Midfielder,Brazil,South America
74,Allan,BRA,Everton,Premier League,2020,29.0,1991.0,22.8,6,0,0,37,30,0,4,19,45,0,0,0,187,4,11,26.7,MF,25-29,Midfielder,Brazil,South America
