rk,player,nation,squad,comp,season,age,born,ninety_mins_played,tackles,tackles_won,def_third_tackles,mid_third_tackles,att_third_tackles,dribblers_tackled,dribblers_challenged,tackle_pct,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_interceptions,clearances,errors,position,age_range,general_position,country,continent
44,Marley Aké,FRA,Marseille,Ligue 1,2020,19.0,2001.0,1.6,3,3,1,0,2,0,1,0.0,1,2,0,2,0,3,1,0,FW,Under 20,Forward,France,Europe
45,Nathan Aké,NED,Manchester City,Premier League,2020,25.0,1995.0,8.9,10,5,3,6,1,3,4,75.0,1,2,1,1,9,19,23,0,DF,25-29,Defender,Netherlands,Europe
46,Paul Akouokou,CIV,Betis,La Liga,2020,22.0,1997.0,4.2,11,8,2,8,1,5,8,62.5,3,3,1,2,6,17,7,0,MF,20-24,Midfielder,Ivory Coast,Africa
48,Kevin Akpoguma,NGA,Hoffenheim,Bundesliga,2020,25.0,1995.0,13.2,18,12,11,6,1,8,14,57.1,6,28,15,13,13,31,32,2,DF,25-29,Defender,Nigeria,Africa
49,David Alaba,AUT,Bayern Munich,Bundesliga,2020,28.0,1992.0,29.7,37,21,14,19,4,17,32,53.1,15,29,13,16,43,80,60,0,"DF,MF",25-29,Defender,Austria,Europe
50,Sofiane Alakouch,MAR,Nîmes,Ligue 1,2020,22.0,1998.0,16.7,53,33,30,16,7,29,45,64.4,16,17,2,15,21,74,38,0,DF,20-24,Defender,Morocco,Africa
52,Lucas Alario,ARG,Leverkusen,Bundesliga,2020,27.0,1992.0,13.8,8,2,2,5,1,2,4,50.0,2,9,1,8,2,10,10,0,FW,25-29,Forward,Argentina,South America
56,Marc Albrighton,ENG,Leicester City,Premier League,2020,30.0,1989.0,19.4,33,19,14,15,4,16,45,35.6,29,29,3,26,17,50,27,1,"DF,FW",30-34,Defender,England,Europe
61,Omar Alderete,PAR,Hertha BSC,Bundesliga,2020,23.0,1996.0,14.4,16,10,11,5,0,7,16,43.8,9,14,10,4,21,37,61,1,DF,20-24,Defender,Paraguay,South America
67,Trent Alexander-Arnold,ENG,Liverpool,Premier League,2020,21.0,1998.0,33.7,56,33,31,18,7,36,56,64.3,20,24,3,21,49,105,50,3,DF,20-24,Defender,England,Europe
71,Rachid Alioui,MAR,Angers,Ligue 1,2020,28.0,1992.0,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,FW,25-29,Forward,Morocco,Africa
72,Alisson,BRA,Liverpool,Premier League,2020,27.0,1992.0,33.0,3,2,3,0,0,3,4,75.0,1,0,0,0,2,5,26,7,GK,25-29,Goalkeeper,Brazil,South America
72,Alisson,BRA,Liverpool,Premier League,2020,27.0,1992.0,33.0,3,2,3,0,0,3,4,75.0,1,0,0,0,2,5,26,7,GK,25-29,Goalkeeper,Brazil,South America
72,Alisson,BRA,Liverpool,Premier League,2020,27.0,1992.0,33.0,3,2,3,0,0,3,4,75.0,1,0,0,0,2,5,26,7,GK,25-29,Goalkeeper,Brazil,South America
72,Alisson,BRA,Liverpool,Premier League,2020,27.0,1992.0,33.0,3,2,3,0,0,3,4,75.0,1,0,0,0,2,5,26,7,GK,25-29,Goalkeeper,Brazil,South America
73,Saturnin Allagbé,BEN,Dijon,Ligue 1,2020,26.0,1993.0,12.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,3,GK,25-29,Goalkeeper,Benin,Africa
74,Allan,BRA,Everton,Premier League,2020,29.0,1991.0,22.8,80,45,39,37,4,28,95,29.5,67,31,12,19,19,99,25,1,MF,25-29,Midfielder,Brazil,South America
74,Allan,BRA,Everton,Premier League,2020,29.0,1991.0,22.8,80,45,39,37,4,28,95,29.5,67,31,12,19,19,99,25,1,MF,25-29,Midfielder,Brazil,South America
74,Allan,BRA,Everton,Premier League,2020,29.0,1991.0,22.8,80,45,39,37,4,28,95,29.5,67,31,12,19,19,99,25,1,MF,25-29,Midfielder,Brazil,South America
74,Allan,BRA,Everton,Premier League,2020,29.0,1991.0,22.8,80,45,39,37,4,28,95,29.5,67,31,12,19,19,99,25,1,MF,25-29,Midfielder,Brazil,South America
75,Dele Alli,ENG,Tottenham,Premier League,2020,24.0,1996.0,6.9,18,11,8,6,4,7,19,36.8,12,9,0,9,7,25,3,0,MF,20-24,Midfielder,England,Europe
76,Miguel Almirón,PAR,Newcastle Utd,Premier League,2020,26.0,1994.0,27.0,49,29,21,25,3,14,56,25.0,42,23,4,19,25,74,20,1,"MF,FW",25-29,Midfielder,Paraguay,South America
81,Steven Alzate,COL,Brighton,Premier League,2020,21.0,1998.0,10.0,17,8,10,4,3,6,15,40.0,9,8,1,7,8,25,10,0,MF,20-24,Midfielder,Colombia,South America
82,Ibrahim Amadou,FRA,Angers,Ligue 1,2020,27.0,1993.0,16.7,39,26,18,19,2,15,38,39.5,23,14,4,10,23,62,25,0,MF,25-29,Midfielder,France,Europe
83,Romain Amalfitano,FRA,Dijon,Ligue 1,2020,30.0,1989.0,1.3,4,2,3,1,0,1,3,33.3,2,2,1,1,1,5,1,0,"FW,DF",30-34,Forward,France,Europe
86,Jordan Amavi,FRA,Marseille,Ligue 1,2020,26.0,1994.0,9.0,11,9,9,1,1,9,12,75.0,3,12,2,10,27,38,33,1,DF,25-29,Defender,France,Europe
89,Nadiem Amiri,GER,Leverkusen,Bundesliga,2020,23.0,1996.0,21.0,12,7,4,8,0,7,33,21.2,26,18,3,15,12,24,7,0,MF,20-24,Midfielder,Germany,Europe
90,Ethan Ampadu,WAL,Sheffield Utd,Premier League,2020,19.0,2000.0,23.2,57,36,31,24,2,20,46,43.5,26,40,19,21,49,106,87,3,"DF,MF",Under 20,Defender,Wales,Europe
93,Joachim Andersen,DEN,Fulham,Premier League,2020,24.0,1996.0,30.3,33,19,18,11,4,15,28,53.6,13,24,13,11,44,77,151,1,DF,20-24,Defender,Denmark,Europe
94,Joachim Andersen,DEN,Lyon,Ligue 1,2020,24.0,1996.0,2.1,2,1,1,1,0,2,2,100.0,0,1,1,0,2,4,6,0,DF,20-24,Defender,Denmark,Europe
