player_id,Name,Height,Foot,Country_of_Birth,City_of_Birth,Continent_of_Birth
168933,Eddy Gnahoré,188.0,right,France,Villeneuve-la-Garenne,Europe
168959,Nemanja Radoja,186.0,right,Yugoslavia (Republic),Novi Sad,
168989,Silvan Widmer,183.0,right,Switzerland,Aarau,Europe
169497,Juan Cruz,182.0,left,Spain,Madrid,Europe
169555,Callum Paterson,183.0,right,England,London,Europe
169801,Cauley Woodrow,184.0,right,England,Hemel Hempstead,Europe
169880,Giovanni Di Lorenzo,183.0,right,Italy,Castelnuovo di Garfagnana,Europe
170321,Paul Dummett,183.0,left,England,Newcastle upon Tyne,Europe
170472,Dimitri Foulquier,183.0,right,France,Sarcelles,Europe
170527,Timo Werner,180.0,right,Germany,Stuttgart,Europe
170961,Thomas Delaine,180.0,left,France,Lens,Europe
170966,Jérémie Bela,173.0,right,France,Melun,Europe
171209,Branimir Hrgota,185.0,left,Bosnia-Herzegovina,Zenica,
171362,Pablo Insua,187.0,right,Spain,A Corua,Europe
171399,Nicola Murru,180.0,left,Italy,Cagliari,Europe
173504,James Tarkowski,185.0,right,England,Manchester,Europe
173859,Davide Zappacosta,182.0,right,Italy,Sora,Europe
173900,Hélder Costa,179.0,left,Angola,Luanda,Africa
174094,Morgan Sanson,180.0,right,France,Saint-Doulchard,Europe
174196,Kenny Lala,178.0,right,France,Villepinte,Europe
174304,Rémy Dugimont,182.0,right,France,Saint-Cloud,Europe
175014,Youcef Belaïli,182.0,right,Unknown,Oran,
175323,Óscar Duarte,186.0,right,Nicaragua,Catarina,
175449,Moi Gómez,176.0,right,Spain,Rojales,Europe
175639,Jonathan Clauss,178.0,right,France,Strasbourg,Europe
175722,Eric Dier,191.0,right,England,Cheltenham,Europe
176140,Rodrigo Ely,188.0,right,Brazil,Lajeado,South America
176553,Aymeric Laporte,191.0,left,France,Agen,Europe
177046,Rubén Duarte,179.0,left,Spain,Almera,Europe
177065,Florin Andone,181.0,right,Romania,Joldeti,Europe
177452,Abdón Prats,181.0,left,Spain,Art,Europe
177467,Gerard Moreno,180.0,left,Spain,Santa Perptua de Mogoda,Europe
177476,Nathan Aké,180.0,left,Netherlands,Den Haag,Europe
177779,Janik Haberer,187.0,right,Germany,Wangen im Allgu,Europe
177843,Domenico Berardi,183.0,left,Italy,Cariati,Europe
177847,Adnan Januzaj,186.0,left,Belgium,Brussel,Europe
177907,Harry Maguire,194.0,right,England,Sheffield,Europe
178187,Álex Alegría,191.0,right,Spain,Plasencia,Europe
178313,Jean-Eudes Aholou,186.0,left,Cote d'Ivoire,Yopougon,
178459,Davie Selke,195.0,right,Germany,Schorndorf,Europe
179635,Philipp Förster,188.0,left,Germany,Bretten,Europe
180337,Sardar Azmoun,186.0,both,Iran,"Gonbad-e Kavus, Golestan",Asia
181136,Piotr Zieliński,180.0,both,Poland,Zbkowice lskie,Europe
181378,Gaëtan Laborde,181.0,left,France,Mont-de-Marsan,Europe
181382,Abdoulaye Touré,188.0,right,France,Nantes,Europe
181547,Gonçalo Paciência,184.0,right,Portugal,Porto,Europe
181579,James Ward-Prowse,177.0,right,England,Portsmouth,Europe
181768,Hernani,188.0,both,Brazil,So Gonalo do Sapuca,South America
181773,Charles,186.0,right,Brazil,Belo Horizonte,South America
181778,Emerson,176.0,left,Brazil,Santos,South America
182574,Jean-Paul Boëtius,178.0,right,Netherlands,Rotterdam,Europe
182579,Karim Rekik,186.0,left,Netherlands,Den Haag,Europe
182712,João Cancelo,182.0,right,Portugal,Barreiro,Europe
182875,Jean-Charles Castelletto,186.0,both,France,Clamart,Europe
182889,Wylan Cyprien,180.0,right,Guadeloupe,Les Abymes,
182893,Seko Fofana,185.0,right,France,Paris,Europe
182904,Clément Lenglet,186.0,left,France,Beauvais,Europe
182913,Adrien Rabiot,191.0,left,France,Saint-Maurice,Europe
182916,Wesley Saïd,171.0,right,France,Noisy-le-Grand,Europe
183031,Koffi Djidji,184.0,right,France,Bagnolet,Europe
183288,Luke Shaw,178.0,left,England,London,Europe
183293,Joe Rothwell,185.0,right,England,Manchester,Europe
183299,Callum Robinson,178.0,right,England,Northampton,Europe
183302,Ben Pearson,176.0,right,Unknown,Oldham,
183318,Jamaal Lascelles,188.0,right,England,Derby,Europe
183334,Patrick Bamford,185.0,left,England,Grantham,Europe
183647,Álvaro González,182.0,right,Spain,Potes,Europe
183720,Anwar El Ghazi,189.0,right,Netherlands,Barendrecht,Europe
183780,Paul Seguin,185.0,right,Germany,Magdeburg,Europe
183841,Petar Stojanović,178.0,right,Slovenia,Ljubljana,Europe
184129,Jordan Clark,183.0,right,England,Hoyland,Europe
184491,Naïm Sliti,173.0,right,France,Marseille,Europe
184528,Emil Krafth,184.0,right,Sweden,Ljungby,Europe
184573,Victor Lindelöf,187.0,right,Sweden,Vsters,Europe
184672,Guido Carrillo,191.0,right,Argentina,Magdalena,South America
184779,Gonzalo Verdú,188.0,right,Spain,Cartagena,Europe
184892,Florian Thauvin,181.0,left,France,Orlans,Europe
184894,Alfred Duncan,178.0,left,Ghana,Accra,Africa
184922,Ambroise Oyongo,176.0,left,Cameroon,Ndikinimki,Africa
184935,Kalifa Coulibaly,197.0,right,Mali,Bamako,Africa
185077,Vincenzo Grifo,180.0,right,Germany,Pforzheim,Europe
185699,Tim Leibold,174.0,left,Germany,Bblingen,Europe
186368,Valentino Lazaro,181.0,right,Austria,Graz,Europe
186399,Thiago Galhardo,183.0,right,Brazil,So Joo del Rei,South America
186477,Herbert Bockhorn,176.0,right,Uganda,Kampala,
186590,John Stones,188.0,right,England,Barnsley,Europe
186862,Enzo Roco,192.0,right,Chile,Ovalle,South America
186988,Sven Michel,177.0,left,Germany,Freudenberg,Europe
187384,Cristian Buonaiuto,179.0,right,Italy,Napoli,Europe
187491,Timo Baumgartl,190.0,right,Germany,Bblingen,Europe
187492,Julian Brandt,185.0,right,Germany,Bremen,Europe
187587,Ante Rebić,185.0,right,Croatia,Split,Europe
187947,Danilo,181.0,right,Brazil,Porto dos Gachos,South America
188077,Ryan Christie,178.0,left,Scotland,Inverness,Europe
188157,Sebastián Cristóforo,175.0,right,Uruguay,Montevideo,South America
188838,Bruno González,184.0,right,Spain,Las Galletas,Europe
188888,Sheraldo Becker,180.0,right,Netherlands,Amsterdam,Europe
188915,Naomichi Ueda,186.0,right,Japan,"Uto, Kumamoto",Asia
189441,Lucas Ocampos,187.0,both,Argentina,Quilmes,South America
189453,Jonathan Silva,178.0,left,Argentina,La Plata,South America
189458,Emiliano Velázquez,184.0,right,Uruguay,Montevideo,South America
190289,Gerrit Holtmann,185.0,left,Germany,Bremerhaven,Europe
190338,Anthony Briançon,185.0,right,France,Avignon,Europe
190393,Corentin Tolisso,181.0,right,France,Tarare,Europe
190685,Bouna Sarr,178.0,right,France,Lyon,Europe
190780,Emiliano Sala,187.0,right,Argentina,Culul,South America
190786,Baptiste Reynet,185.0,right,France,Romans,Europe
191217,Héctor Bellerín,178.0,right,Spain,Badalona,Europe
191359,Florian Pick,176.0,right,Germany,Wittlich,Europe
191891,Arkadiusz Milik,186.0,left,Poland,Tychy,Europe
192009,Unai López,170.0,right,Spain,Donostia-San Sebastin,Europe
192169,Jonas Föhrenbach,184.0,left,Germany,Freiburg im Breisgau,Europe
192492,Jordan Lefort,184.0,left,France,Champigny-sur-Marne,Europe
192557,Jackson Irvine,189.0,right,Australia,Melbourne,Oceania
192565,Leroy Sané,183.0,left,Germany,Essen,Europe
192616,Ulisses Garcia,182.0,left,Portugal,Almada,Europe
192635,Nico Elvedi,189.0,right,Switzerland,Zrich,Europe
192638,Nicolas Haas,178.0,right,Switzerland,Sursee,Europe
192735,Stanislav Lobotka,168.0,right,Slovakia,Trenn,Europe
192736,Sabin Merino,187.0,right,Spain,Urduliz,Europe
192765,Ben Davies,181.0,left,Wales,Neath,Europe
193004,Waldemar Anton,189.0,right,Uzbekistan,Almalyk,Asia
193033,Tim Kleindienst,194.0,both,Germany,Jterbog,Europe
193098,Álex Moreno,179.0,left,Spain,Vilafranca Del Peneds,Europe
193116,John McGinn,178.0,left,Scotland,Glasgow,Europe
193130,Rachid Alioui,186.0,right,France,La Rochelle,Europe
193534,Hamadi Al Ghaddioui,190.0,right,Germany,Bonn,Europe
