player_id,player,nation,squad,comp,season,age,born,ninety_mins_played,shot_creating_actions,sca_per_90,pass_live_sca,pass_dead_sca,take_on_sca,shot_sca,foul_drawn_sca,defensive_action_sca,goal_creating_actions,gca_per_90,pass_live_gca,pass_dead_gca,take_on_gca,shot_gca,foul_drawn_gca,defensive_action_gca,position,age_range,general_position,country,continent
199704,Yunis Abdelhamid,MAR,Reims,Ligue 1,2019,31.0,1987.0,28.0,23,0.82,16,0,1,4,2,0,1,0.04,1,0,0,0,0,0,DF,30-34,Defender,Morocco,Africa
356118,Suleiman Abdullahi,NGA,Union Berlin,Bundesliga,2019,22.0,1996.0,1.7,4,2.29,2,0,1,1,0,0,0,0.0,0,0,0,0,0,0,"FW,MF",20-24,Forward,Nigeria,Africa
58178,David Abraham,ARG,Eint Frankfurt,Bundesliga,2019,33.0,1986.0,18.8,13,0.69,12,0,0,1,0,0,1,0.05,1,0,0,0,0,0,DF,30-34,Defender,Argentina,South America
331726,Tammy Abraham,ENG,Chelsea,Premier League,2019,21.0,1997.0,24.6,57,2.32,37,0,5,10,2,3,9,0.37,4,0,2,2,1,0,FW,20-24,Forward,England,Europe
66005,Amir Abrashi,ALB,Freiburg,Bundesliga,2019,29.0,1990.0,7.4,10,1.35,9,0,1,0,0,0,0,0.0,0,0,0,0,0,0,MF,25-29,Midfielder,Albania,Europe
131075,Francesco Acerbi,ITA,Lazio,Serie A,2019,31.0,1988.0,35.1,37,1.05,34,0,0,2,1,0,5,0.14,5,0,0,0,0,0,DF,30-34,Defender,Italy,Europe
332705,Tyler Adams,USA,RB Leipzig,Bundesliga,2019,20.0,1999.0,10.6,19,1.79,14,1,0,2,2,0,2,0.19,1,0,0,0,1,0,"MF,DF",20-24,Midfielder,United States,North America
125614,Sargis Adamyan,ARM,Hoffenheim,Bundesliga,2019,26.0,1993.0,8.3,21,2.53,18,0,0,1,2,0,5,0.6,4,0,0,0,1,0,"FW,MF",25-29,Forward,Armenia,Asia
337716,Claud Adjapong,ITA,Hellas Verona,Serie A,2019,21.0,1998.0,2.6,1,0.39,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,DF,20-24,Defender,Italy,Europe
395236,Yacine Adli,FRA,Bordeaux,Ligue 1,2019,19.0,2000.0,11.3,45,3.97,29,5,5,2,2,2,7,0.62,3,1,2,1,0,0,MF,Under 20,Midfielder,France,Europe
361914,Nayef Aguerd,MAR,Dijon,Ligue 1,2019,23.0,1996.0,10.6,4,0.38,3,1,0,0,0,0,1,0.09,1,0,0,0,0,0,DF,20-24,Defender,Morocco,Africa
26399,Sergio Agero,ARG,Manchester City,Premier League,2019,31.0,1988.0,16.1,57,3.53,31,0,9,12,5,0,7,0.43,3,0,1,2,1,0,FW,30-34,Forward,Argentina,South America
203746,Ruben Aguilar,FRA,Monaco,Ligue 1,2019,26.0,1993.0,11.9,36,3.02,31,2,0,0,2,1,4,0.34,4,0,0,0,0,0,DF,25-29,Defender,France,Europe
178313,Jean-Eudes Aholou,CIV,Saint-tienne,Ligue 1,2019,25.0,1994.0,7.0,13,1.86,7,0,0,0,2,4,1,0.14,0,0,0,0,0,1,MF,25-29,Midfielder,Ivory Coast,Africa
358250,Joseph Aidoo,GHA,Celta Vigo,La Liga,2019,23.0,1995.0,27.8,12,0.43,7,2,1,2,0,0,2,0.07,2,0,0,0,0,0,DF,20-24,Defender,Ghana,Africa
236490,Ola Aina,NGA,Torino,Serie A,2019,22.0,1996.0,23.1,55,2.38,31,12,4,1,7,0,6,0.26,3,1,0,0,2,0,DF,20-24,Defender,Nigeria,Africa
283994,Ludovic Ajorque,FRA,Strasbourg,Ligue 1,2019,25.0,1994.0,22.9,42,1.84,32,0,2,5,3,0,12,0.52,7,0,1,2,2,0,FW,25-29,Forward,France,Europe
177476,Nathan Ak,NED,Bournemouth,Premier League,2019,24.0,1995.0,27.8,14,0.5,8,0,1,4,1,0,1,0.04,0,0,0,1,0,0,DF,20-24,Defender,Netherlands,Europe
247459,Chadrac Akolo,COD,Amiens,Ligue 1,2019,24.0,1995.0,6.0,13,2.15,9,0,0,2,1,1,2,0.33,1,0,0,1,0,0,"FW,MF",20-24,Forward,DR Congo,Africa
59016,David Alaba,AUT,Bayern Munich,Bundesliga,2019,27.0,1992.0,27.8,46,1.66,40,2,1,3,0,0,3,0.11,2,1,0,0,0,0,DF,25-29,Defender,Austria,Europe
434358,Sofiane Alakouch,MAR,Nmes,Ligue 1,2019,21.0,1998.0,15.6,33,2.12,24,4,2,1,1,1,2,0.13,2,0,0,0,0,0,DF,20-24,Defender,Morocco,Africa
193782,Lucas Alario,ARG,Leverkusen,Bundesliga,2019,26.0,1992.0,13.0,27,2.07,21,0,0,6,0,0,2,0.15,1,0,0,1,0,0,FW,25-29,Forward,Argentina,South America
314353,Trent Alexander-Arnold,ENG,Liverpool,Premier League,2019,20.0,1998.0,35.3,155,4.39,93,51,3,6,1,1,24,0.68,15,7,0,2,0,0,DF,20-24,Defender,England,Europe
193130,Rachid Alioui,MAR,Angers,Ligue 1,2019,27.0,1992.0,17.4,45,2.59,33,0,3,4,5,0,2,0.12,2,0,0,0,0,0,FW,25-29,Forward,Morocco,Africa
385271,Allan,BRA,Napoli,Serie A,2019,28.0,1991.0,14.2,46,3.23,41,0,4,0,0,1,4,0.28,3,0,1,0,0,0,MF,25-29,Midfielder,Brazil,South America
207929,Dele Alli,ENG,Tottenham,Premier League,2019,23.0,1996.0,20.5,58,2.82,42,1,7,3,3,2,11,0.54,5,0,4,2,0,0,"MF,FW",20-24,Midfielder,England,Europe
476237,Steven Alzate,COL,Brighton,Premier League,2019,20.0,1998.0,13.2,38,2.88,29,0,6,2,1,0,2,0.15,1,0,0,0,1,0,"MF,DF",20-24,Midfielder,Colombia,South America
205503,Ibrahim Amadou,FRA,Norwich City,Premier League,2019,26.0,1993.0,8.4,2,0.24,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,"DF,MF",25-29,Defender,France,Europe
137841,Romain Amalfitano,FRA,Dijon,Ligue 1,2019,29.0,1989.0,18.8,35,1.86,24,0,4,2,3,2,2,0.11,2,0,0,0,0,0,MF,25-29,Midfielder,France,Europe
241229,Jordan Amavi,FRA,Marseille,Ligue 1,2019,25.0,1994.0,24.0,36,1.5,27,5,0,1,1,2,2,0.08,1,1,0,0,0,0,DF,25-29,Defender,France,Europe
344072,Kelvin Amian,FRA,Toulouse,Ligue 1,2019,21.0,1998.0,18.1,14,0.77,11,1,0,1,0,1,2,0.11,2,0,0,0,0,0,DF,20-24,Defender,France,Europe
232454,Nadiem Amiri,GER,Leverkusen,Bundesliga,2019,22.0,1996.0,20.6,95,4.6,59,24,5,4,3,0,8,0.39,7,0,0,0,1,0,"MF,FW",20-24,Midfielder,Germany,Europe
260827,Joachim Andersen,DEN,Lyon,Ligue 1,2019,23.0,1996.0,17.0,16,0.94,16,0,0,0,0,0,0,0.0,0,0,0,0,0,0,DF,20-24,Defender,Denmark,Europe
159372,Felipe Anderson,BRA,West Ham,Premier League,2019,26.0,1993.0,16.6,67,4.03,50,2,5,5,4,1,11,0.66,9,0,2,0,0,0,"MF,FW",25-29,Midfielder,Brazil,South America
147573,Sebastian Andersson,SWE,Union Berlin,Bundesliga,2019,28.0,1991.0,29.8,58,1.95,44,0,4,5,5,0,8,0.27,1,0,2,4,1,0,FW,25-29,Forward,Sweden,Europe
84301,Benjamin Andr,FRA,Lille,Ligue 1,2019,28.0,1990.0,22.8,39,1.71,32,0,2,2,1,2,4,0.18,4,0,0,0,0,0,MF,25-29,Midfielder,France,Europe
55854,Cristian Ansaldi,ARG,Torino,Serie A,2019,32.0,1986.0,19.6,59,3.0,46,3,4,3,2,1,8,0.41,6,0,2,0,0,0,"DF,MF",30-34,Defender,Argentina,South America
289182,Christopher Antwi-Adjei,GHA,Paderborn 07,Bundesliga,2019,25.0,1994.0,27.4,95,3.46,62,12,7,3,10,1,6,0.22,4,1,1,0,0,0,"MF,FW",25-29,Midfielder,Ghana,Africa
395693,Houssem Aouar,ALG,Lyon,Ligue 1,2019,21.0,1998.0,21.7,85,3.91,53,2,11,7,8,4,11,0.51,9,0,1,1,0,0,"MF,FW",20-24,Midfielder,Algeria,Africa
89701,Charles Arnguiz,CHI,Leverkusen,Bundesliga,2019,30.0,1989.0,23.5,46,1.95,41,1,0,1,2,1,5,0.21,5,0,0,0,0,0,MF,30-34,Midfielder,Chile,South America
435485,Luiz Arajo,BRA,Lille,Ligue 1,2019,23.0,1996.0,9.2,32,3.47,16,1,8,2,4,1,2,0.22,1,0,0,1,0,0,"FW,MF",20-24,Forward,Brazil,South America
120443,Santiago Arias,COL,Atltico Madrid,La Liga,2019,27.0,1992.0,12.0,23,1.92,19,2,0,1,1,0,2,0.17,2,0,0,0,0,0,DF,25-29,Defender,Colombia,South America
130765,Stuart Armstrong,SCO,Southampton,Premier League,2019,27.0,1992.0,19.1,60,3.15,43,0,6,5,5,1,8,0.42,4,0,1,2,0,1,MF,25-29,Midfielder,Scotland,Europe
