player_id,player,nation,squad,comp,season,age,born,ninety_mins_played,passes_completed,passes_attempted,pass_completion_pct,total_pass_distance,progressive_pass_distance,short_passes_completed,short_passes_attempted,short_pass_completion_pct,medium_passes_completed,medium_passes_attempted,medium_pass_completion_pct,long_passes_completed,long_passes_attempted,long_pass_completion_pct,assists,xag,xa,assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age_range,general_position,country,continent
199248,Bryan Cristante,ITA,Roma,Serie A,2020,25.0,1995.0,23.9,1224,1481,82.6,25163,9483,394,445,88.5,630,679,92.8,186,304,61.2,3,1.3,1.6,1.7,16,112,21,3,142,"DF,MF",25-29,Defender,Italy,Europe
91970,Juan Cuadrado,COL,Juventus,Serie A,2020,32.0,1988.0,24.2,1466,1788,82.0,26948,7280,621,685,90.7,661,743,89.0,168,290,57.9,10,8.2,5.8,1.8,60,94,35,8,132,"DF,MF",30-34,Defender,Colombia,South America
323872,Andrs Cubas,PAR,Nmes,Ligue 1,2020,24.0,1996.0,24.9,845,1018,83.0,15409,4847,334,383,87.2,381,429,88.8,94,146,64.4,0,0.6,0.6,-0.6,9,59,4,0,76,MF,20-24,Midfielder,Paraguay,South America
182889,Wylan Cyprien,FRA,Parma,Serie A,2020,25.0,1995.0,4.6,248,299,82.9,4730,1033,94,105,89.5,119,130,91.5,30,52,57.7,0,0.2,0.3,-0.2,4,18,3,1,20,MF,25-29,Midfielder,France,Europe
84150,Rafael Czichos,GER,Kln,Bundesliga,2020,30.0,1990.0,25.1,1103,1348,81.8,23181,9992,316,365,86.6,604,667,90.6,172,283,60.8,0,0.1,0.7,-0.1,3,76,7,2,103,DF,30-34,Defender,Germany,Europe
55769,Danilo D'Ambrosio,ITA,Inter,Serie A,2020,31.0,1988.0,7.8,431,476,90.5,7052,2371,180,191,94.2,200,210,95.2,27,37,73.0,0,0.2,0.2,-0.2,3,35,1,1,35,DF,30-34,Defender,Italy,Europe
57370,Damien Da Silva,FRA,Rennes,Ligue 1,2020,32.0,1988.0,29.6,1784,2037,87.6,37006,13770,534,573,93.2,1006,1078,93.3,235,355,66.2,0,0.3,0.6,-0.3,5,142,5,1,145,DF,30-34,Defender,France,Europe
357147,Diogo Dalot,POR,Milan,Serie A,2020,21.0,1999.0,12.1,467,620,75.3,8777,3113,195,224,87.1,208,270,77.0,61,102,59.8,1,0.9,1.0,0.1,9,44,14,8,39,DF,20-24,Defender,Portugal,Europe
322655,Flavius Daniliuc,AUT,Nice,Ligue 1,2020,19.0,2001.0,16.4,981,1117,87.8,17809,6646,402,433,92.8,497,535,92.9,76,127,59.8,0,0.4,0.5,-0.4,3,88,4,1,102,DF,Under 20,Defender,Austria,Europe
808509,Danilo,BRA,Juventus,Serie A,2020,29.0,1991.0,32.4,2184,2479,88.1,39579,12379,873,937,93.2,1094,1196,91.5,191,271,70.5,4,3.2,3.0,0.8,25,220,35,14,240,"DF,MF",25-29,Defender,Brazil,South America
62688,Scott Dann,ENG,Crystal Palace,Premier League,2020,33.0,1987.0,15.0,521,644,80.9,9263,4633,226,248,91.1,238,267,89.1,46,104,44.2,0,0.0,0.2,0.0,1,25,0,0,34,DF,30-34,Defender,England,Europe
16136,Dante,BRA,Nice,Ligue 1,2020,36.0,1983.0,8.6,628,696,90.2,11994,4901,221,233,94.8,331,349,94.8,73,105,69.5,1,0.2,0.3,0.8,2,24,2,0,27,DF,35-39,Defender,Brazil,South America
533738,Jonathan David,CAN,Lille,Ligue 1,2020,20.0,2000.0,26.2,444,577,76.9,5348,916,260,321,81.0,121,149,81.2,6,11,54.5,2,2.6,2.1,-0.6,35,33,16,1,47,FW,20-24,Forward,Canada,North America
424204,Alphonso Davies,CAN,Bayern Munich,Bundesliga,2020,19.0,2000.0,19.6,1322,1492,88.6,19267,5346,747,809,92.3,481,520,92.5,46,69,66.7,2,1.9,2.2,0.1,21,107,19,6,123,DF,Under 20,Defender,Canada,North America
412660,Keinan Davis,ENG,Aston Villa,Premier League,2020,22.0,1998.0,3.1,55,77,71.4,689,133,38,41,92.7,11,20,55.0,2,5,40.0,1,0.6,0.4,0.4,6,2,3,0,6,"FW,MF",20-24,Forward,England,Europe
88755,Kevin De Bruyne,BEL,Manchester City,Premier League,2020,29.0,1991.0,22.2,1078,1429,75.4,18890,5626,509,593,85.8,402,498,80.7,131,222,59.0,12,8.0,6.2,4.0,77,125,76,10,213,MF,25-29,Midfielder,Belgium,Europe
