rk,player,nation,squad,comp,season,age,born,ninety_mins_played,ga,penalties_allowed,free_kick_goals_allowed,corner_goals_allowed,own_goals,post_shot_xg,post_shot_xg_on_target,post_shot_xg_minus_ga,post_shot_xg_minus_ga_per_90,passes_completed_plus_40_yards,passes_attempted_plus_40_yards,passes_pct_plus_40_yards,total_passes_attempted,throws_attempted,launch_pct,avg_pass_length,goal_kicks_attempted,goal_kick_launch_pct,avg_goal_kick_length,crosses_faced,crosses_stopped,crosses_stopped_pct,defensive_actions_outside_penalty_area,defensive_opa_per_90,avg_defensive_action_distance,position,age_range,general_position,country,continent
28,David Button,ENG,Brighton,Premier League,2018,29,1989,4.0,5,2,0,0,0,4.8,0.15,-0.2,-0.06,26,87,29.9,74,9,73.0,47.7,34,97.1,65.1,55,3,5.5,2,0.50,13.5,GK,25-29,Goalkeeper,England,Europe
29,Willy Caballero,ARG,Chelsea,Premier League,2018,36,1981,2.0,0,0,0,0,0,0.3,0.11,+0.3,+0.16,9,20,45.0,47,9,19.1,29.5,16,68.8,46.6,26,2,7.7,0,0.00,5.8,GK,35-39,Goalkeeper,Argentina,South America
30,Rafael Cabral,BRA,Sampdoria,Serie A,2018,28,1990,2.0,0,0,0,0,0,0.2,0.10,+0.2,+0.10,11,24,45.8,45,8,35.6,34.7,14,57.1,45.0,19,0,0.0,1,0.50,16.5,GK,25-29,Goalkeeper,Brazil,South America
31,Marc-Aurèle Caillard,FRA,Guingamp,Ligue 1,2018,24,1994,21.0,34,1,1,3,0,30.9,0.31,-3.1,-0.15,154,380,40.5,369,61,60.7,44.2,173,90.2,59.3,275,15,5.5,4,0.19,9.3,GK,20-24,Goalkeeper,France,Europe
32,Yoan Cardinale,FRA,Nice,Ligue 1,2018,24,1994,3.0,6,1,0,0,0,3.7,0.23,-2.3,-0.76,0,1,0.0,67,21,1.5,21.3,17,0.0,24.6,31,0,0.0,5,1.67,19.4,GK,20-24,Goalkeeper,France,Europe
33,Koen Casteels,BEL,Wolfsburg,Bundesliga,2018,26,1992,25.5,39,4,3,1,0,40.0,0.31,+1.0,+0.04,194,420,46.2,981,148,31.9,33.8,200,53.5,45.8,398,21,5.3,26,1.02,14.4,GK,25-29,Goalkeeper,Belgium,Europe
35,Leandro Chichizola,ARG,Getafe,La Liga,2018,28,1990,1.0,1,0,0,0,0,0.5,0.54,-0.5,-0.46,8,22,36.4,24,3,79.2,50.3,3,100.0,71.3,7,0,0.0,0,0.00,15.5,GK,25-29,Goalkeeper,Argentina,South America
36,Jasper Cillessen,NED,Barcelona,La Liga,2018,29,1989,3.0,4,1,0,0,0,2.9,0.14,-1.1,-0.36,11,21,52.4,87,14,14.9,26.0,24,33.3,33.1,45,0,0.0,6,2.00,15.8,GK,25-29,Goalkeeper,Netherlands,Europe
37,Joel Coleman,ENG,Huddersfield,Premier League,2018,22,1995,1.0,1,0,0,0,0,0.5,0.18,-0.5,-0.47,7,29,24.1,31,0,74.2,48.3,6,100.0,65.7,12,1,8.3,1,1.00,15.8,GK,20-24,Goalkeeper,England,Europe
38,Andrea Consigli,ITA,Sassuolo,Serie A,2018,31,1987,35.7,56,4,0,10,2,54.3,0.31,+0.3,+0.01,178,436,40.8,887,159,34.6,32.7,286,45.1,37.6,590,16,2.7,29,0.81,13.7,GK,30-34,Goalkeeper,Italy,Europe
39,Benoît Costil,FRA,Bordeaux,Ligue 1,2018,31,1987,37.0,42,6,1,11,0,46.4,0.27,+4.4,+0.12,254,578,43.9,833,124,43.6,37.6,325,66.2,48.7,576,13,2.3,22,0.59,13.6,GK,30-34,Goalkeeper,France,Europe
40,Thibaut Courtois,BEL,Real Madrid,La Liga,2018,26,1992,27.0,36,6,0,3,0,36.3,0.30,+0.3,+0.01,93,270,34.4,655,167,28.4,32.3,184,45.7,42.6,288,21,7.3,20,0.74,14.2,GK,25-29,Goalkeeper,Belgium,Europe
41,Alessio Cragno,ITA,Cagliari,Serie A,2018,24,1994,38.0,54,8,2,4,2,61.5,0.26,+9.5,+0.25,337,722,46.7,884,175,48.6,36.9,369,79.1,53.6,646,25,3.9,31,0.82,12.8,GK,20-24,Goalkeeper,Italy,Europe
43,Abdoulaye Diallo,SEN,Rennes,Ligue 1,2018,26,1992,5.5,4,1,0,1,0,5.0,0.20,+1.0,+0.17,18,54,33.3,109,24,32.1,33.1,36,52.8,42.5,60,6,10.0,3,0.55,12.7,GK,25-29,Goalkeeper,Senegal,Africa
