rk,player,nation,squad,comp,season,age,born,ninety_mins_played,ga,penalties_allowed,free_kick_goals_allowed,corner_goals_allowed,own_goals,post_shot_xg,post_shot_xg_on_target,post_shot_xg_minus_ga,post_shot_xg_minus_ga_per_90,passes_completed_plus_40_yards,passes_attempted_plus_40_yards,passes_pct_plus_40_yards,total_passes_attempted,throws_attempted,launch_pct,avg_pass_length,goal_kicks_attempted,goal_kick_launch_pct,avg_goal_kick_length,crosses_faced,crosses_stopped,crosses_stopped_pct,defensive_actions_outside_penalty_area,defensive_opa_per_90,avg_defensive_action_distance,position,age_range,general_position,country,continent
149,Mattia Perin,ITA,Juventus,Serie A,2021,28,1992,4.5,7,0,0,1,1,5.4,0.35,-0.6,-0.14,13,34,38.2,108,17,25.9,29.6,26,23.1,29.2,77,1,1.3,4,0.89,12.6,GK,25-29,Goalkeeper,Italy,Europe
150,Pavao Pervan,AUT,Wolfsburg,Bundesliga,2021,33,1987,6.0,14,1,1,2,1,11.3,0.27,-1.7,-0.29,18,58,31.0,158,31,31.0,31.8,49,18.4,26.4,97,2,2.1,7,1.17,13.6,GK,30-34,Goalkeeper,Austria,Europe
151,Danijel Petković,MNE,Angers,Ligue 1,2021,28,1993,15.0,22,2,0,1,2,19.0,0.27,-1.0,-0.07,39,126,31.0,333,93,22.8,29.8,120,41.7,37.1,198,15,7.6,16,1.07,13.2,GK,25-29,Goalkeeper,Montenegro,Europe
152,Jordan Pickford,ENG,Everton,Premier League,2021,27,1994,35.0,58,1,2,10,4,51.7,0.31,-2.3,-0.07,272,782,34.8,873,119,64.6,46.4,267,81.6,60.5,518,23,4.4,35,1.00,14.9,GK,25-29,Goalkeeper,England,Europe
153,Carlo Pinsoglio,ITA,Juventus,Serie A,2021,31,1990,0.5,1,1,0,0,0,1.1,0.08,+0.1,+0.29,1,1,100.0,10,0,10.0,29.6,1,0.0,37.0,12,0,0.0,0,0.00,,GK,30-34,Goalkeeper,Italy,Europe
154,Julian Pollersbeck,GER,Lyon,Ligue 1,2021,26,1994,4.8,6,4,0,1,0,7.5,0.14,+1.5,+0.31,13,35,37.1,140,25,20.0,27.1,34,20.6,27.0,47,1,2.1,7,1.44,17.4,GK,25-29,Goalkeeper,Germany,Europe
155,Nick Pope,ENG,Burnley,Premier League,2021,29,1992,36.0,47,5,1,6,1,44.3,0.25,-1.7,-0.05,319,807,39.5,793,147,69.2,46.2,283,91.2,61.2,605,46,7.6,80,2.22,17.4,GK,25-29,Goalkeeper,England,Europe
156,Gaëtan Poussin,FRA,Bordeaux,Ligue 1,2021,22,1999,13.0,29,2,0,5,2,20.4,0.27,-6.6,-0.51,75,198,37.9,373,55,36.5,33.1,111,55.9,41.0,191,10,5.2,40,3.08,17.6,GK,20-24,Goalkeeper,France,Europe
158,Ivan Provedel,ITA,Spezia,Serie A,2021,27,1994,30.7,52,9,3,4,3,47.6,0.24,-1.4,-0.04,206,616,33.4,957,133,47.8,40.1,229,69.4,51.7,476,28,5.9,25,0.81,11.8,GK,25-29,Goalkeeper,Italy,Europe
159,Ionuț Radu,ROU,Inter,Serie A,2021,24,1997,1.0,2,0,0,0,0,1.6,0.53,-0.4,-0.41,4,8,50.0,19,2,36.8,33.3,4,25.0,29.8,4,0,0.0,1,1.00,16.0,GK,20-24,Goalkeeper,Romania,Europe
162,Diant Ramaj,GER,Eint Frankfurt,Bundesliga,2021,19,2001,1.0,1,0,0,0,0,1.0,0.25,0.0,-0.01,4,14,28.6,37,6,32.4,31.6,4,50.0,40.0,24,3,12.5,3,3.00,14.8,GK,Under 20,Goalkeeper,Germany,Europe
163,Aaron Ramsdale,ENG,Arsenal,Premier League,2021,23,1998,34.0,39,5,0,3,1,38.2,0.26,+0.2,0.00,134,480,27.9,993,162,34.8,33.2,181,74.0,55.1,414,26,6.3,60,1.76,16.4,GK,20-24,Goalkeeper,England,Europe
164,Nicola Ravaglia,ITA,Sampdoria,Serie A,2021,32,1988,0.1,1,1,0,0,0,1.0,0.00,0.0,-0.25,2,4,50.0,2,0,100.0,57.0,2,100.0,65.5,1,0,0.0,0,0.00,,GK,30-34,Goalkeeper,Italy,Europe
171,Manuel Riemann,GER,Bochum,Bundesliga,2021,32,1988,31.0,45,3,1,3,4,41.4,0.27,+2.4,+0.08,464,1004,46.2,1353,99,62.0,43.6,243,67.9,48.5,411,27,6.6,71,2.37,19.5,GK,30-34,Goalkeeper,Germany,Europe
173,Sergio Romero,ARG,Venezia,Serie A,2021,34,1987,16.0,33,6,0,1,2,30.8,0.25,-0.2,-0.01,90,236,38.1,443,100,38.6,34.6,142,45.8,38.8,265,14,5.3,11,0.69,11.8,GK,30-34,Goalkeeper,Argentina,South America
174,Francesco Rossi,ITA,Atalanta,Serie A,2021,30,1991,0.4,1,0,0,0,0,1.0,0.52,0.0,+0.11,2,6,33.3,12,0,41.7,37.8,4,25.0,39.3,3,0,0.0,0,0.00,18.0,GK,30-34,Goalkeeper,Italy,Europe
175,John Ruddy,ENG,Wolves,Premier League,2021,34,1986,1.5,3,0,0,1,0,2.9,0.42,-0.1,-0.05,1,11,9.1,19,4,42.1,36.1,14,21.4,28.5,13,1,7.7,1,0.67,14.2,GK,30-34,Goalkeeper,England,Europe
176,Gerónimo Rulli,ARG,Villarreal,La Liga,2021,29,1992,32.0,28,3,0,2,1,28.2,0.25,+1.2,+0.04,131,333,39.3,1073,161,23.1,29.7,214,39.7,37.4,478,22,4.6,52,1.63,16.5,GK,25-29,Goalkeeper,Argentina,South America
177,Mathew Ryan,AUS,Real Sociedad,La Liga,2021,29,1992,3.0,5,1,0,3,0,4.1,0.21,-0.9,-0.31,16,55,29.1,88,14,47.7,39.4,19,68.4,46.6,57,3,5.3,3,1.00,13.7,GK,25-29,Goalkeeper,Australia,Oceania
178,Frederik Rønnow,DEN,Union Berlin,Bundesliga,2021,28,1992,7.0,5,0,0,0,1,3.4,0.19,-0.6,-0.09,43,122,35.2,213,28,45.1,36.3,43,60.5,45.2,83,11,13.3,3,0.43,10.2,GK,25-29,Goalkeeper,Denmark,Europe
179,José Sá,POR,Wolves,Premier League,2021,28,1993,36.5,40,9,1,1,1,46.3,0.24,+7.3,+0.20,121,412,29.4,844,216,35.4,34.7,261,43.3,36.9,549,43,7.8,40,1.10,13.3,GK,25-29,Goalkeeper,Portugal,Europe
180,Romain Salin,FRA,Rennes,Ligue 1,2021,37,1984,1.0,2,0,0,0,0,1.5,0.49,-0.5,-0.53,4,7,57.1,30,8,23.3,31.2,3,0.0,14.3,11,0,0.0,1,1.00,21.5,GK,35-39,Goalkeeper,France,Europe
182,Giacomo Satalino,ITA,Sassuolo,Serie A,2021,22,1999,0.1,0,0,0,0,0,0.8,0.76,+0.8,+7.56,0,0,,0,0,,,1,0.0,22.0,1,0,0.0,0,0.00,,GK,20-24,Goalkeeper,Italy,Europe
183,Kasper Schmeichel,DEN,Leicester City,Premier League,2021,34,1986,37.0,58,7,1,14,1,55.5,0.26,-1.5,-0.04,194,486,39.9,999,166,36.0,34.1,291,43.3,37.5,533,15,2.8,38,1.03,14.8,GK,30-34,Goalkeeper,Denmark,Europe
184,Marvin Schwäbe,GER,Köln,Bundesliga,2021,26,1995,21.0,28,0,2,3,1,31.4,0.31,+4.4,+0.21,107,251,42.6,854,88,23.5,28.8,144,34.7,35.2,283,9,3.2,15,0.71,13.6,GK,25-29,Goalkeeper,Germany,Europe
185,Alexander Schwolow,GER,Hertha BSC,Bundesliga,2021,29,1992,24.2,51,5,1,6,0,42.2,0.31,-8.8,-0.36,126,333,37.8,621,125,32.9,33.0,204,63.2,48.2,404,17,4.2,32,1.32,15.0,GK,25-29,Goalkeeper,Germany,Europe
186,Matz Sels,BEL,Strasbourg,Ligue 1,2021,29,1992,37.0,43,4,0,5,1,35.0,0.24,-7.0,-0.19,164,401,40.9,718,145,39.1,34.3,239,50.2,40.6,476,13,2.7,39,1.05,13.7,GK,25-29,Goalkeeper,Belgium,Europe
187,Adrian Šemper,CRO,Genoa,Serie A,2021,23,1998,1.0,1,0,0,0,0,0.9,0.28,-0.1,-0.06,6,21,28.6,30,3,50.0,38.5,7,85.7,52.0,14,2,14.3,0,0.00,11.2,GK,20-24,Goalkeeper,Croatia,Europe
188,Luigi Sepe,ITA,Salernitana,Serie A,2021,30,1991,15.5,24,3,0,1,0,24.6,0.28,+0.6,+0.04,166,320,51.9,433,45,54.7,40.8,130,63.8,46.4,235,10,4.3,13,0.84,16.0,GK,30-34,Goalkeeper,Italy,Europe
189,Rui Silva,POR,Betis,La Liga,2021,27,1994,21.8,21,2,0,2,0,20.5,0.24,-0.5,-0.02,92,275,33.5,557,104,33.8,33.1,176,49.4,41.6,341,18,5.3,32,1.47,15.7,GK,25-29,Goalkeeper,Portugal,Europe
190,Marco Silvestri,ITA,Udinese,Serie A,2021,30,1991,35.0,50,5,0,4,1,45.5,0.29,-3.5,-0.10,167,430,38.8,677,106,46.1,36.7,252,46.8,38.4,462,16,3.5,10,0.29,11.0,GK,30-34,Goalkeeper,Italy,Europe
192,Tobias Sippel,GER,Gladbach,Bundesliga,2021,33,1988,1.0,1,0,0,0,0,0.4,0.12,-0.6,-0.64,6,13,46.2,41,4,24.4,29.5,6,50.0,51.8,18,0,0.0,0,0.00,8.0,GK,30-34,Goalkeeper,Germany,Europe
193,Salvatore Sirigu,ITA,Genoa,Serie A,2021,34,1987,37.0,59,4,3,7,2,50.6,0.26,-6.4,-0.17,257,605,42.5,916,100,46.3,36.6,263,68.8,45.9,476,14,2.9,20,0.54,12.9,GK,30-34,Goalkeeper,Italy,Europe
196,Yann Sommer,SUI,Gladbach,Bundesliga,2021,32,1988,33.0,60,3,1,5,0,57.0,0.30,-3.0,-0.09,147,439,33.5,1213,162,28.9,31.3,221,39.8,37.2,428,19,4.4,53,1.66,16.2,GK,30-34,Goalkeeper,Switzerland,Europe
198,Marco Sportiello,ITA,Atalanta,Serie A,2021,29,1992,5.0,5,2,0,1,0,5.6,0.20,+0.6,+0.12,8,33,24.2,107,33,14.0,26.0,28,64.3,47.0,45,1,2.2,4,0.80,13.9,GK,25-29,Goalkeeper,Italy,Europe
199,Jason Steele,ENG,Brighton,Premier League,2021,30,1990,1.0,2,0,0,1,0,1.6,0.33,-0.4,-0.37,2,6,33.3,32,2,9.4,23.9,6,50.0,40.0,16,0,0.0,0,0.00,9.3,GK,30-34,Goalkeeper,England,Europe
200,Jed Steer,ENG,Aston Villa,Premier League,2021,28,1992,1.0,3,0,0,0,0,2.2,0.55,-0.8,-0.81,3,11,27.3,32,7,28.1,30.4,6,33.3,31.2,11,1,9.1,1,1.00,16.3,GK,25-29,Goalkeeper,England,Europe
201,Zack Steffen,USA,Manchester City,Premier League,2021,26,1995,1.0,0,0,0,0,0,0.1,0.07,+0.1,+0.15,1,6,16.7,32,6,15.6,23.4,7,14.3,19.3,10,0,0.0,3,3.00,16.6,GK,25-29,Goalkeeper,United States,North America
202,Thomas Strakosha,ALB,Lazio,Serie A,2021,26,1995,23.0,29,1,1,3,1,28.6,0.32,+0.6,+0.03,79,161,49.1,618,92,22.2,28.5,119,20.2,23.6,283,11,3.9,16,0.70,14.5,GK,25-29,Goalkeeper,Albania,Europe
204,Ciprian Tătărușanu,ROU,Milan,Serie A,2021,35,1986,6.0,10,2,0,1,1,8.9,0.25,-0.1,-0.02,33,74,44.6,168,14,36.3,33.3,36,36.1,35.0,82,6,7.3,3,0.50,12.5,GK,35-39,Goalkeeper,Romania,Europe
205,Marc-André ter Stegen,GER,Barcelona,La Liga,2021,29,1992,35.0,34,2,0,6,0,30.1,0.26,-3.9,-0.11,130,255,51.0,1072,147,17.6,26.9,205,32.2,33.9,342,15,4.4,34,0.97,15.3,GK,25-29,Goalkeeper,Germany,Europe
206,Pietro Terracciano,ITA,Fiorentina,Serie A,2021,31,1990,31.8,43,2,0,2,2,31.6,0.29,-9.4,-0.29,197,464,42.5,1356,141,29.8,32.2,170,35.3,33.7,291,22,7.6,51,1.60,16.7,GK,30-34,Goalkeeper,Italy,Europe
207,Kevin Trapp,GER,Eint Frankfurt,Bundesliga,2021,31,1990,32.0,46,4,0,3,1,50.8,0.30,+5.8,+0.18,157,539,29.1,1001,146,41.8,34.6,250,48.4,42.6,426,19,4.5,43,1.34,16.4,GK,30-34,Goalkeeper,Germany,Europe
208,Philipp Tschauner,GER,RB Leipzig,Bundesliga,2021,35,1985,0.0,0,0,0,0,0,0.0,,0.0,0.00,1,2,50.0,5,0,40.0,36.4,0,,,0,0,,0,0.00,,GK,35-39,Goalkeeper,Germany,Europe
209,Sven Ulreich,GER,Bayern Munich,Bundesliga,2021,32,1988,6.0,11,1,1,1,1,8.7,0.34,-1.3,-0.22,10,32,31.3,197,31,14.2,25.2,38,10.5,20.2,54,3,5.6,10,1.67,19.2,GK,30-34,Goalkeeper,Germany,Europe
210,Benjamin Uphoff,GER,Freiburg,Bundesliga,2021,27,1993,2.0,7,0,0,2,0,3.0,0.25,-4.0,-2.01,22,51,43.1,70,14,44.3,34.4,20,100.0,63.2,34,4,11.8,1,0.50,6.3,GK,25-29,Goalkeeper,Germany,Europe
211,Rúben Vezo,POR,Levante,La Liga,2021,27,1994,26.9,0,0,0,0,0,0.0,,0.0,0.00,2,4,50.0,1,0,300.0,149.0,3,33.3,29.0,4,0,0.0,0,0.00,,DF,25-29,Defender,Portugal,Europe
212,Guglielmo Vicario,ITA,Empoli,Serie A,2021,24,1996,38.0,70,5,1,5,6,65.2,0.28,+1.2,+0.03,133,386,34.5,1066,215,26.2,29.5,257,41.6,37.5,602,35,5.8,38,1.00,13.9,GK,20-24,Goalkeeper,Italy,Europe
213,Danny Ward,WAL,Leicester City,Premier League,2021,28,1993,1.0,1,0,0,1,0,1.4,0.28,+0.4,+0.42,2,5,40.0,26,8,19.2,25.8,7,0.0,19.3,18,1,5.6,1,1.00,10.7,GK,25-29,Goalkeeper,Wales,Europe
214,Freddie Woodman,ENG,Newcastle Utd,Premier League,2021,24,1997,4.0,12,2,0,0,0,8.8,0.29,-3.2,-0.80,23,66,34.8,79,11,50.6,38.1,39,66.7,47.9,55,3,5.5,0,0.00,7.8,GK,20-24,Goalkeeper,England,Europe
215,Robin Zentner,GER,Mainz 05,Bundesliga,2021,26,1994,32.0,42,4,0,4,1,39.1,0.29,-1.9,-0.06,119,389,30.6,766,166,36.9,34.4,236,44.9,39.4,423,29,6.9,68,2.13,17.9,GK,25-29,Goalkeeper,Germany,Europe
216,Luca Zidane,FRA,Rayo Vallecano,La Liga,2021,23,1998,7.2,13,0,0,1,0,12.0,0.33,-1.0,-0.14,42,94,44.7,178,42,36.0,34.6,53,56.6,46.6,90,9,10.0,6,0.84,11.0,GK,20-24,Goalkeeper,France,Europe
217,Jeroen Zoet,NED,Spezia,Serie A,2021,30,1991,7.0,19,1,0,3,0,13.1,0.26,-5.9,-0.84,20,69,29.0,182,41,26.9,30.7,54,37.0,37.4,95,2,2.1,6,0.86,16.4,GK,30-34,Goalkeeper,Netherlands,Europe
218,Petar Zovko,BIH,Spezia,Serie A,2021,19,2002,0.3,0,0,0,0,0,0.0,,0.0,0.00,1,4,25.0,8,3,37.5,35.9,2,50.0,35.0,4,0,0.0,2,6.21,28.5,GK,Under 20,Goalkeeper,Bosnia and Herzegovina,Europe
1,Julen Agirrezabala,ESP,Athletic Club,La Liga,2021,20,2000,4.0,5,0,0,0,0,5.0,0.27,0.0,0.00,13,31,41.9,56,12,33.9,33.1,26,46.2,36.0,48,1,2.1,6,1.50,17.5,GK,20-24,Goalkeeper,Spain,Europe
5,Kepa Arrizabalaga,ESP,Chelsea,Premier League,2021,26,1994,4.0,2,0,0,1,0,3.2,0.25,+1.2,+0.30,8,29,27.6,117,29,19.7,26.4,21,28.6,27.6,44,2,4.5,8,2.00,18.8,GK,25-29,Goalkeeper,Spain,Europe
6,Sergio Asenjo,ESP,Villarreal,La Liga,2021,32,1989,6.0,9,1,0,1,0,8.9,0.28,-0.1,-0.01,15,52,28.8,170,38,21.2,28.0,56,28.6,32.2,105,3,2.9,14,2.33,16.8,GK,30-34,Goalkeeper,Spain,Europe
9,Édgar Badía,ESP,Elche,La Liga,2021,29,1992,24.0,35,7,0,5,0,37.3,0.26,+2.3,+0.10,182,408,44.6,618,106,41.9,36.1,210,71.0,49.2,399,17,4.3,41,1.71,16.2,GK,25-29,Goalkeeper,Spain,Europe
15,Vid Belec,SVN,Salernitana,Serie A,2021,31,1990,21.5,49,3,0,4,2,40.8,0.28,-6.2,-0.29,147,339,43.4,392,76,52.6,39.5,182,73.1,49.9,329,12,3.6,14,0.65,12.7,GK,30-34,Goalkeeper,Slovenia,Europe
29,Marcin Bułka,POL,Nice,Ligue 1,2021,21,1999,1.0,1,0,0,0,0,1.7,0.35,+0.7,+0.73,1,3,33.3,17,6,11.8,19.2,7,14.3,24.9,14,1,7.1,1,1.00,22.5,GK,20-24,Goalkeeper,Poland,Europe
32,Cárdenas,ESP,Levante,La Liga,2021,24,1997,24.0,46,4,1,5,0,41.5,0.31,-4.5,-0.19,92,296,31.1,525,85,41.9,36.6,198,38.4,35.7,332,10,3.0,26,1.08,15.6,GK,20-24,Goalkeeper,Spain,Europe
33,Kiko Casilla,ESP,Elche,La Liga,2021,34,1986,14.0,17,0,0,1,0,17.2,0.29,+0.2,+0.01,75,218,34.4,348,77,42.5,36.4,136,51.5,40.8,217,8,3.7,15,1.07,15.2,GK,30-34,Goalkeeper,Spain,Europe
36,Diego Conde,ESP,Getafe,La Liga,2021,22,1998,0.1,0,0,0,0,0,0.0,,0.0,0.00,0,6,0.0,4,0,100.0,61.0,2,100.0,68.0,5,1,20.0,0,0.00,5.0,GK,20-24,Goalkeeper,Spain,Europe
44,Javier Díaz,ESP,Sevilla,La Liga,2021,24,1997,1.0,1,0,0,0,0,0.6,0.28,-0.4,-0.45,5,10,50.0,31,2,25.8,29.1,3,66.7,49.3,17,1,5.9,0,0.00,13.7,GK,20-24,Goalkeeper,Spain,Europe
48,Marko Dmitrović,SRB,Sevilla,La Liga,2021,29,1992,6.0,5,0,0,0,0,4.1,0.21,-0.9,-0.16,24,58,41.4,191,27,24.6,30.5,33,33.3,35.8,66,4,6.1,12,2.00,17.5,GK,25-29,Goalkeeper,Serbia,Europe
49,Jaume Doménech,ESP,Valencia,La Liga,2021,30,1990,3.8,4,0,0,1,1,4.3,0.39,+1.3,+0.34,29,67,43.3,75,7,56.0,42.6,32,78.1,52.6,66,1,1.5,2,0.52,9.3,GK,30-34,Goalkeeper,Spain,Europe
51,Bartłomiej Drągowski,POL,Fiorentina,Serie A,2021,23,1997,6.2,8,1,0,1,0,8.1,0.24,+0.1,+0.02,43,97,44.3,304,23,26.3,30.8,39,43.6,40.2,61,2,3.3,20,3.24,22.3,GK,20-24,Goalkeeper,Poland,Europe
55,Aarón Escandell,ESP,Granada,La Liga,2021,25,1995,3.2,6,2,0,0,0,4.2,0.14,-1.8,-0.57,35,88,39.8,91,13,64.8,44.0,37,78.4,51.2,41,3,7.3,10,3.17,16.1,GK,25-29,Goalkeeper,Spain,Europe
57,Łukasz Fabiański,POL,West Ham,Premier League,2021,36,1985,37.0,50,2,2,8,2,46.8,0.26,-1.2,-0.03,193,525,36.8,736,164,48.9,38.2,277,59.6,44.4,595,28,4.7,12,0.32,10.4,GK,35-39,Goalkeeper,Poland,Europe
60,Aitor Fernández,ESP,Levante,La Liga,2021,30,1991,13.0,29,1,0,8,0,23.5,0.27,-5.5,-0.42,59,154,38.3,286,66,41.6,36.2,92,38.0,34.9,177,9,5.1,21,1.62,18.1,GK,30-34,Goalkeeper,Spain,Europe
61,Álvaro Fernández,ESP,Brentford,Premier League,2021,23,1998,12.0,24,1,0,5,2,19.9,0.28,-2.1,-0.17,64,216,29.6,433,60,40.4,33.9,83,49.4,36.9,194,9,4.6,18,1.50,16.8,GK,20-24,Goalkeeper,Spain,Europe
69,Joan García,ESP,Espanyol,La Liga,2021,20,2001,1.2,3,0,0,0,0,1.0,0.33,-2.0,-1.68,4,10,40.0,32,9,25.0,28.8,2,100.0,71.0,16,0,0.0,5,4.17,26.3,GK,20-24,Goalkeeper,Spain,Europe
70,David de Gea,ESP,Manchester Utd,Premier League,2021,30,1990,38.0,57,3,0,4,3,55.1,0.29,+1.1,+0.03,103,315,32.7,623,134,30.0,30.9,299,42.8,35.9,525,8,1.5,25,0.66,14.0,GK,30-34,Goalkeeper,Spain,Europe
72,Rafał Gikiewicz,POL,Augsburg,Bundesliga,2021,33,1987,34.0,56,5,1,2,2,52.3,0.31,-1.7,-0.05,233,579,40.2,951,145,41.9,36.5,287,63.1,47.7,532,24,4.5,51,1.50,16.7,GK,30-34,Goalkeeper,Poland,Europe
79,Vicente Guaita,ESP,Crystal Palace,Premier League,2021,34,1987,29.5,33,3,1,10,0,28.8,0.23,-4.2,-0.14,105,282,37.2,778,182,26.6,28.3,201,37.3,31.5,386,17,4.4,36,1.22,16.3,GK,30-34,Goalkeeper,Spain,Europe
82,Samir Handanović,SVN,Inter,Serie A,2021,37,1984,37.0,30,4,0,3,1,33.2,0.24,+4.2,+0.11,139,301,46.2,1118,176,24.3,28.1,142,20.4,26.5,393,15,3.8,10,0.27,11.2,GK,35-39,Goalkeeper,Slovenia,Europe
84,Sergio Herrera,ESP,Osasuna,La Liga,2021,28,1993,36.0,48,4,0,10,1,48.1,0.29,+1.1,+0.03,388,850,45.6,852,78,69.0,46.5,306,85.6,58.5,529,23,4.3,64,1.78,18.1,GK,25-29,Goalkeeper,Spain,Europe
92,Kristoffer Klaesson,NOR,Leeds United,Premier League,2021,20,2000,0.4,0,0,0,0,0,0.6,0.14,+0.6,+1.38,1,3,33.3,8,2,25.0,30.4,3,33.3,28.7,7,0,0.0,2,5.00,23.7,GK,20-24,Goalkeeper,Norway,Europe
104,Diego López,ESP,Espanyol,La Liga,2021,39,1981,35.3,49,3,0,4,2,50.3,0.31,+3.3,+0.09,158,429,36.8,859,207,33.8,33.8,298,46.6,38.7,616,35,5.7,43,1.22,13.7,GK,35-39,Goalkeeper,Spain,Europe
105,Pau López,ESP,Marseille,Ligue 1,2021,26,1994,29.0,31,4,0,5,0,29.9,0.32,-1.1,-0.04,79,248,31.9,1166,145,16.8,25.8,167,31.1,33.4,271,19,7.0,46,1.59,17.8,GK,25-29,Goalkeeper,Spain,Europe
107,Marcel Lotka,POL,Hertha BSC,Bundesliga,2021,20,2001,9.8,20,3,0,4,0,13.8,0.23,-6.2,-0.63,63,188,33.5,262,47,52.3,39.7,73,69.9,52.5,144,13,9.0,10,1.02,12.1,GK,20-24,Goalkeeper,Poland,Europe
118,Josep Martinez,ESP,RB Leipzig,Bundesliga,2021,23,1998,1.0,3,0,0,0,0,1.5,0.37,-1.5,-1.51,2,5,40.0,14,1,28.6,29.6,7,14.3,29.4,4,0,0.0,4,4.00,25.0,GK,20-24,Goalkeeper,Spain,Europe
124,Vanja Milinković-Savić,SRB,Torino,Serie A,2021,24,1997,27.0,33,7,2,4,0,26.7,0.24,-6.3,-0.23,192,659,29.1,849,97,59.5,44.4,169,91.1,66.3,290,18,6.2,22,0.81,14.3,GK,20-24,Goalkeeper,Serbia,Europe
134,Jan Oblak,SVN,Atlético Madrid,La Liga,2021,28,1993,38.0,43,7,2,4,3,32.3,0.23,-7.7,-0.20,170,598,28.4,810,155,49.9,39.0,283,68.6,48.6,477,27,5.7,29,0.76,13.8,GK,25-29,Goalkeeper,Slovenia,Europe
135,Oier Olazábal,ESP,Espanyol,La Liga,2021,31,1989,1.5,1,1,0,0,0,2.4,0.15,+1.4,+0.91,9,27,33.3,33,5,51.5,40.8,10,100.0,57.2,30,3,10.0,0,0.00,3.7,GK,30-34,Goalkeeper,Spain,Europe
142,Fernando Pacheco,ESP,Alavés,La Liga,2021,29,1992,33.9,60,5,0,9,0,51.8,0.31,-8.2,-0.24,331,693,47.8,721,85,64.2,44.5,308,74.7,50.6,545,24,4.4,43,1.27,15.7,GK,25-29,Goalkeeper,Spain,Europe
148,Juan Pérez,ESP,Osasuna,La Liga,2021,25,1996,2.0,3,0,0,1,1,1.1,0.26,-0.9,-0.47,8,26,30.8,32,6,56.3,43.6,9,88.9,61.6,17,1,5.9,7,3.50,22.0,GK,25-29,Goalkeeper,Spain,Europe
157,Alejandro Primo,ESP,Levante,La Liga,2021,17,2004,1.0,1,0,0,0,0,0.8,0.41,-0.2,-0.18,2,6,33.3,17,0,29.4,31.2,8,12.5,20.9,19,0,0.0,0,0.00,15.0,GK,Under 20,Goalkeeper,Spain,Europe
160,Boris Radunović,SRB,Cagliari,Serie A,2021,25,1996,3.0,5,1,1,0,0,6.4,0.26,+1.4,+0.46,22,62,35.5,72,10,54.2,41.5,28,82.1,51.1,42,1,2.4,1,0.33,13.8,GK,25-29,Goalkeeper,Serbia,Europe
161,Predrag Rajković,SRB,Reims,Ligue 1,2021,25,1995,38.0,44,5,2,8,0,42.9,0.24,-1.1,-0.03,151,479,31.5,975,217,35.5,34.7,285,46.7,38.8,645,37,5.7,53,1.39,14.8,GK,25-29,Goalkeeper,Serbia,Europe
165,David Raya,ESP,Brentford,Premier League,2021,25,1995,24.0,27,4,1,3,0,26.2,0.22,-0.8,-0.03,225,527,42.7,876,118,44.4,36.2,202,68.3,49.9,402,27,6.7,35,1.46,15.8,GK,25-29,Goalkeeper,Spain,Europe
166,Manolo Reina,ESP,Mallorca,La Liga,2021,36,1985,21.0,26,2,0,1,1,27.2,0.32,+2.2,+0.11,140,357,39.2,453,67,53.9,40.5,188,60.1,43.9,333,14,4.2,9,0.43,11.6,GK,35-39,Goalkeeper,Spain,Europe
167,Pepe Reina,ESP,Lazio,Serie A,2021,38,1982,15.0,29,4,0,2,0,23.7,0.33,-5.3,-0.36,66,133,49.6,429,73,24.2,29.8,99,29.3,30.1,186,10,5.4,10,0.67,13.7,GK,35-39,Goalkeeper,Spain,Europe
168,Álex Remiro,ESP,Real Sociedad,La Liga,2021,26,1995,35.0,32,4,1,5,0,31.4,0.24,-0.6,-0.02,195,466,41.8,1015,125,32.6,32.9,241,56.0,45.1,465,18,3.9,48,1.37,16.4,GK,25-29,Goalkeeper,Spain,Europe
169,Sergio Rico,ESP,Mallorca,La Liga,2021,27,1993,14.0,29,3,0,4,2,21.4,0.31,-5.6,-0.40,94,201,46.8,270,50,52.2,39.4,90,66.7,48.4,194,2,1.0,5,0.36,12.6,GK,25-29,Goalkeeper,Spain,Europe
170,Sergio Rico,ESP,Paris S-G,Ligue 1,2021,27,1993,0.3,1,0,0,0,0,0.2,0.06,-0.8,-3.23,0,1,0.0,7,1,14.3,31.4,0,,,5,0,0.0,2,7.83,23.5,GK,25-29,Goalkeeper,Spain,Europe
172,Leo Román,ESP,Mallorca,La Liga,2021,21,2000,2.0,5,1,0,0,1,3.6,0.17,-0.4,-0.18,9,27,33.3,51,7,39.2,34.2,16,43.8,36.6,36,1,2.8,5,2.50,18.9,GK,20-24,Goalkeeper,Spain,Europe
181,Robert Sánchez,ESP,Brighton,Premier League,2021,23,1997,37.0,42,3,1,5,0,40.9,0.28,-1.1,-0.03,158,561,28.2,1285,186,31.9,33.0,234,64.5,48.9,517,60,11.6,36,0.97,12.9,GK,20-24,Goalkeeper,Spain,Europe
191,Unai Simón,ESP,Athletic Club,La Liga,2021,24,1997,34.0,31,3,0,2,1,31.9,0.26,+1.9,+0.06,145,371,39.1,692,189,35.5,33.8,243,51.4,42.3,529,29,5.5,35,1.03,15.2,GK,20-24,Goalkeeper,Spain,Europe
194,Antonio Sivera,ESP,Alavés,La Liga,2021,24,1996,3.1,4,1,0,1,0,5.9,0.31,+1.9,+0.62,29,69,42.0,67,9,61.2,44.9,40,70.0,51.5,66,2,3.0,3,0.97,14.6,GK,20-24,Goalkeeper,Spain,Europe
