rk,player,nation,squad,comp,season,age,born,mp,starts,min,ninety_mins_played,goals_against,ga_per_90,shots_on_target_against,saves,save_pct,wins,draws,losses,clean_sheets,clean_sheet_pct,penalties_faced,penalties_allowed,penalties_saved,penalties_missed,penalty_save_pct,position,age_range,general_position,country,continent
163,Baptiste Reynet,FRA,Nîmes,Ligue 1,2020,29,1990,38,38,3420,38.0,71,1.87,196,122,66.8,9,8,21,8,21.1,10,6,3,1,33.3,GK,25-29,Goalkeeper,France,Europe
167,Marek Rodák,SVK,Fulham,Premier League,2020,23,1996,2,2,180,2.0,5,2.50,9,4,55.6,0,0,2,0,0.0,1,1,0,0,0.0,GK,20-24,Goalkeeper,Slovakia,Europe
169,John Ruddy,ENG,Wolves,Premier League,2020,33,1986,2,1,91,1.0,1,0.99,4,3,75.0,0,0,1,0,0.0,0,0,0,0,,GK,30-34,Goalkeeper,England,Europe
170,Gerónimo Rulli,ARG,Villarreal,La Liga,2020,28,1992,2,2,180,2.0,4,2.00,8,4,50.0,0,0,2,0,0.0,0,0,0,0,,GK,25-29,Goalkeeper,Argentina,South America
171,Mathew Ryan,AUS,Arsenal,Premier League,2020,28,1992,3,3,270,3.0,2,0.67,10,8,90.0,1,1,1,1,33.3,1,1,0,0,0.0,GK,25-29,Goalkeeper,Australia,Oceania
172,Mathew Ryan,AUS,Brighton,Premier League,2020,28,1992,11,11,990,11.0,19,1.73,34,16,55.9,2,4,5,2,18.2,4,4,0,0,0.0,GK,25-29,Goalkeeper,Australia,Oceania
173,Frederik Rønnow,DEN,Schalke 04,Bundesliga,2020,27,1992,11,10,945,10.5,24,2.29,67,45,70.1,0,4,6,1,10.0,4,4,0,0,0.0,GK,25-29,Goalkeeper,Denmark,Europe
174,Romain Salin,FRA,Rennes,Ligue 1,2020,36,1984,15,15,1350,15.0,14,0.93,54,40,74.1,9,4,2,5,33.3,0,0,0,0,,GK,35-39,Goalkeeper,France,Europe
176,Kasper Schmeichel,DEN,Leicester City,Premier League,2020,33,1986,38,38,3420,38.0,50,1.32,136,88,66.2,20,6,12,11,28.9,4,4,0,0,0.0,GK,30-34,Goalkeeper,Denmark,Europe
177,Alexander Schwolow,GER,Hertha BSC,Bundesliga,2020,28,1992,26,26,2340,26.0,39,1.50,108,69,69.4,6,10,10,8,30.8,6,6,0,0,0.0,GK,25-29,Goalkeeper,Germany,Europe
178,Simone Scuffet,ITA,Udinese,Serie A,2020,24,1996,1,1,90,1.0,2,2.00,4,2,75.0,0,0,1,0,0.0,1,1,0,0,0.0,GK,20-24,Goalkeeper,Italy,Europe
179,Matz Sels,BEL,Strasbourg,Ligue 1,2020,28,1992,6,6,540,6.0,13,2.17,26,13,57.7,1,2,3,0,0.0,2,2,0,0,0.0,GK,25-29,Goalkeeper,Belgium,Europe
180,Luigi Sepe,ITA,Parma,Serie A,2020,29,1991,36,36,3240,36.0,76,2.11,181,108,59.1,3,11,22,5,13.9,2,2,0,0,0.0,GK,25-29,Goalkeeper,Italy,Europe
181,Rui Silva,POR,Granada,La Liga,2020,26,1994,32,32,2880,32.0,55,1.72,137,79,63.5,12,6,14,8,25.0,10,5,4,1,44.4,GK,25-29,Goalkeeper,Portugal,Europe
182,Marco Silvestri,ITA,Hellas Verona,Serie A,2020,29,1991,34,34,3060,34.0,42,1.24,131,91,72.5,11,9,14,7,20.6,7,6,0,1,0.0,GK,25-29,Goalkeeper,Italy,Europe
184,Tobias Sippel,GER,Gladbach,Bundesliga,2020,32,1988,4,3,344,3.8,6,1.57,19,13,68.4,1,1,1,1,33.3,0,0,0,0,,GK,30-34,Goalkeeper,Germany,Europe
185,Salvatore Sirigu,ITA,Torino,Serie A,2020,33,1987,32,32,2880,32.0,62,1.94,134,72,59.7,5,13,14,7,21.9,9,8,0,1,0.0,GK,30-34,Goalkeeper,Italy,Europe
188,Yann Sommer,SUI,Gladbach,Bundesliga,2020,31,1988,31,31,2712,30.1,50,1.66,132,82,66.7,12,9,10,6,19.4,6,6,0,0,0.0,GK,30-34,Goalkeeper,Switzerland,Europe
190,Marco Sportiello,ITA,Atalanta,Serie A,2020,28,1992,15,13,1261,14.0,21,1.50,47,25,57.4,9,1,3,2,15.4,2,1,1,0,50.0,GK,25-29,Goalkeeper,Italy,Europe
191,Zack Steffen,USA,Manchester City,Premier League,2020,25,1995,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,GK,25-29,Goalkeeper,United States,North America
192,Thomas Strakosha,ALB,Lazio,Serie A,2020,25,1995,9,9,810,9.0,14,1.56,38,24,68.4,3,2,4,3,33.3,2,2,0,0,0.0,GK,25-29,Goalkeeper,Albania,Europe
194,Ciprian Tătărușanu,ROU,Milan,Serie A,2020,34,1986,1,1,90,1.0,3,3.00,7,4,71.4,0,1,0,0,0.0,1,1,0,0,0.0,GK,30-34,Goalkeeper,Romania,Europe
195,Marc-André ter Stegen,GER,Barcelona,La Liga,2020,28,1992,31,31,2790,31.0,32,1.03,106,76,72.6,21,5,5,11,35.5,3,3,0,0,0.0,GK,25-29,Goalkeeper,Germany,Europe
196,Pietro Terracciano,ITA,Fiorentina,Serie A,2020,30,1990,4,2,272,3.0,4,1.32,11,7,63.6,0,1,1,2,100.0,1,0,1,0,100.0,GK,30-34,Goalkeeper,Italy,Europe
197,Kevin Trapp,GER,Eint Frankfurt,Bundesliga,2020,30,1990,33,33,2970,33.0,52,1.58,150,99,68.0,15,12,6,4,12.1,6,4,1,1,20.0,GK,30-34,Goalkeeper,Germany,Europe
201,Guglielmo Vicario,ITA,Cagliari,Serie A,2020,23,1996,4,4,360,4.0,6,1.50,21,15,71.4,3,0,1,1,25.0,0,0,0,0,,GK,20-24,Goalkeeper,Italy,Europe
203,João Virgínia,POR,Everton,Premier League,2020,20,1999,1,0,48,0.5,0,0.00,3,3,100.0,0,0,0,0,,0,0,0,0,,GK,20-24,Goalkeeper,Portugal,Europe
206,Robin Zentner,GER,Mainz 05,Bundesliga,2020,25,1994,31,31,2790,31.0,46,1.48,142,97,71.1,9,9,13,5,16.1,6,5,0,1,0.0,GK,25-29,Goalkeeper,Germany,Europe
207,Ron-Robert Zieler,GER,Köln,Bundesliga,2020,31,1989,1,0,51,0.6,1,1.76,3,2,100.0,0,0,0,0,,1,1,0,0,0.0,GK,30-34,Goalkeeper,Germany,Europe
208,Jeroen Zoet,NED,Spezia,Serie A,2020,29,1991,7,7,603,6.7,12,1.79,29,17,69.0,3,1,3,0,0.0,3,3,0,0,0.0,GK,25-29,Goalkeeper,Netherlands,Europe
1,Adrián,ESP,Liverpool,Premier League,2020,33,1987,3,3,270,3.0,9,3.00,18,9,50.0,1,1,1,1,33.3,0,0,0,0,,GK,30-34,Goalkeeper,Spain,Europe
6,Ángel,ESP,Granada,La Liga,2020,18,2002,1,1,90,1.0,2,2.00,9,6,88.9,0,0,1,0,0.0,2,1,1,0,50.0,GK,Under 20,Goalkeeper,Spain,Europe
8,Kepa Arrizabalaga,ESP,Chelsea,Premier League,2020,25,1994,7,6,585,6.5,8,1.23,23,15,69.6,2,2,2,2,33.3,1,1,0,0,0.0,GK,25-29,Goalkeeper,Spain,Europe
9,Sergio Asenjo,ESP,Villarreal,La Liga,2020,31,1989,36,36,3240,36.0,40,1.11,118,79,72.0,15,13,8,10,27.8,9,7,1,1,12.5,GK,30-34,Goalkeeper,Spain,Europe
11,Édgar Badía,ESP,Elche,La Liga,2020,28,1992,30,30,2700,30.0,46,1.53,141,92,70.9,5,11,14,5,16.7,9,5,3,1,37.5,GK,25-29,Goalkeeper,Spain,Europe
18,Rubén Blanco,ESP,Celta Vigo,La Liga,2020,25,1995,19,19,1637,18.2,27,1.48,61,34,57.4,7,6,6,4,21.1,1,1,0,0,0.0,GK,25-29,Goalkeeper,Spain,Europe
27,Marcin Bułka,POL,Paris S-G,Ligue 1,2020,20,1999,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,GK,20-24,Goalkeeper,Poland,Europe
30,Cárdenas,ESP,Levante,La Liga,2020,23,1997,8,8,720,8.0,11,1.37,39,28,71.8,1,3,4,1,12.5,1,0,0,1,,GK,20-24,Goalkeeper,Spain,Europe
32,Kiko Casilla,ESP,Leeds United,Premier League,2020,33,1986,3,3,270,3.0,2,0.67,10,8,80.0,2,0,1,1,33.3,0,0,0,0,,GK,30-34,Goalkeeper,Spain,Europe
35,Alberto Cifuentes,ESP,Cádiz,La Liga,2020,41,1979,2,2,180,2.0,3,1.50,6,2,50.0,1,0,1,1,50.0,0,0,0,0,,GK,Over 40,Goalkeeper,Spain,Europe
48,Marko Dmitrović,SRB,Eibar,La Liga,2020,28,1992,35,35,3120,34.7,49,1.41,129,79,64.3,6,11,18,9,25.7,5,3,1,1,25.0,GK,25-29,Goalkeeper,Serbia,Europe
49,Jaume Doménech,ESP,Valencia,La Liga,2020,29,1990,28,28,2520,28.0,42,1.50,130,88,70.8,5,12,11,4,14.3,6,4,2,0,33.3,GK,25-29,Goalkeeper,Spain,Europe
51,Bartłomiej Drągowski,POL,Fiorentina,Serie A,2020,22,1997,36,36,3148,35.0,55,1.57,141,85,66.7,9,12,15,7,19.4,10,8,2,0,20.0,GK,20-24,Goalkeeper,Poland,Europe
55,Aarón Escandell,ESP,Granada,La Liga,2020,24,1995,5,5,450,5.0,8,1.60,24,16,66.7,1,1,3,1,20.0,0,0,0,0,,GK,20-24,Goalkeeper,Spain,Europe
56,Jokin Ezkieta,ESP,Athletic Club,La Liga,2020,23,1996,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,GK,20-24,Goalkeeper,Spain,Europe
57,Łukasz Fabiański,POL,West Ham,Premier League,2020,35,1985,35,35,3150,35.0,44,1.26,138,97,70.3,17,8,10,10,28.6,5,3,1,1,25.0,GK,35-39,Goalkeeper,Poland,Europe
60,Aitor Fernández,ESP,Levante,La Liga,2020,29,1991,29,29,2610,29.0,44,1.52,120,78,65.8,8,11,10,3,10.3,3,3,0,0,0.0,GK,25-29,Goalkeeper,Spain,Europe
61,Álvaro Fernández,ESP,Huesca,La Liga,2020,22,1998,22,22,1980,22.0,32,1.45,95,64,68.4,5,5,12,5,22.7,2,2,0,0,0.0,GK,20-24,Goalkeeper,Spain,Europe
62,Andrés Fernández,ESP,Huesca,La Liga,2020,33,1986,16,16,1440,16.0,21,1.31,54,34,66.7,2,8,6,4,25.0,3,3,0,0,0.0,GK,30-34,Goalkeeper,Spain,Europe
69,David de Gea,ESP,Manchester Utd,Premier League,2020,29,1990,26,26,2295,25.5,32,1.25,90,59,68.9,12,9,5,9,34.6,4,4,0,0,0.0,GK,25-29,Goalkeeper,Spain,Europe
70,Rafał Gikiewicz,POL,Augsburg,Bundesliga,2020,32,1987,34,34,3060,34.0,54,1.59,178,126,73.0,10,6,18,7,20.6,9,6,1,2,14.3,GK,30-34,Goalkeeper,Poland,Europe
71,David Gil,ESP,Cádiz,La Liga,2020,26,1994,4,4,360,4.0,10,2.50,17,7,47.1,0,1,3,0,0.0,1,1,0,0,0.0,GK,25-29,Goalkeeper,Spain,Europe
77,Vicente Guaita,ESP,Crystal Palace,Premier League,2020,33,1987,37,37,3330,37.0,64,1.73,169,104,63.9,11,8,18,8,21.6,4,3,1,0,25.0,GK,30-34,Goalkeeper,Spain,Europe
79,Samir Handanović,SVN,Inter,Serie A,2020,36,1984,37,37,3240,36.0,33,0.92,110,76,73.6,27,7,3,14,37.8,6,4,2,0,33.3,GK,35-39,Goalkeeper,Slovenia,Europe
81,Sergio Herrera,ESP,Osasuna,La Liga,2020,27,1993,33,32,2958,32.9,40,1.22,126,86,71.4,10,8,14,10,31.3,7,4,2,1,33.3,GK,25-29,Goalkeeper,Spain,Europe
85,Rune Jarstein,NOR,Hertha BSC,Bundesliga,2020,35,1984,8,8,720,8.0,13,1.62,33,20,63.6,2,1,5,1,12.5,2,1,1,0,50.0,GK,35-39,Goalkeeper,Norway,Europe
103,Pau López,ESP,Roma,Serie A,2020,25,1994,21,20,1817,20.2,29,1.44,85,59,69.4,10,4,6,4,20.0,3,3,0,0,0.0,GK,25-29,Goalkeeper,Spain,Europe
106,Radosław Majecki,POL,Monaco,Ligue 1,2020,20,1999,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,GK,20-24,Goalkeeper,Poland,Europe
112,Josep Martinez,ESP,RB Leipzig,Bundesliga,2020,22,1998,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,GK,20-24,Goalkeeper,Spain,Europe
113,Jordi Masip,ESP,Valladolid,La Liga,2020,31,1989,25,25,2250,25.0,40,1.60,115,75,68.7,4,9,12,2,8.0,4,4,0,0,0.0,GK,30-34,Goalkeeper,Spain,Europe
119,Vanja Milinković-Savić,SRB,Torino,Serie A,2020,23,1997,5,5,450,5.0,6,1.20,20,14,75.0,2,2,1,1,20.0,1,1,0,0,0.0,GK,20-24,Goalkeeper,Serbia,Europe
131,Jan Oblak,SVN,Atlético Madrid,La Liga,2020,27,1993,38,38,3420,38.0,25,0.66,122,98,80.3,26,8,4,18,47.4,4,1,2,1,66.7,GK,25-29,Goalkeeper,Slovenia,Europe
137,Fernando Pacheco,ESP,Alavés,La Liga,2020,28,1992,38,37,3349,37.2,57,1.53,141,84,61.7,9,11,17,9,24.3,3,3,0,0,0.0,GK,25-29,Goalkeeper,Spain,Europe
142,Jiří Pavlenka,CZE,Werder Bremen,Bundesliga,2020,28,1992,34,34,3060,34.0,57,1.68,157,101,66.2,7,10,17,6,17.6,6,4,2,0,33.3,GK,25-29,Goalkeeper,Czech Republic,Europe
143,Bailey Peacock-Farrell,NIR,Burnley,Premier League,2020,23,1996,4,4,360,4.0,14,3.50,24,10,41.7,0,0,4,0,0.0,0,0,0,0,,GK,20-24,Goalkeeper,Northern Ireland,Europe
147,Juan Pérez,ESP,Osasuna,La Liga,2020,24,1996,3,3,270,3.0,3,1.00,8,5,75.0,1,1,1,1,33.3,1,1,0,0,0.0,GK,20-24,Goalkeeper,Spain,Europe
157,Predrag Rajković,SRB,Reims,Ligue 1,2020,24,1995,37,37,3285,36.5,49,1.34,162,112,72.2,9,15,13,10,27.0,7,4,2,1,33.3,GK,20-24,Goalkeeper,Serbia,Europe
161,Pepe Reina,ESP,Lazio,Serie A,2020,37,1982,29,29,2610,29.0,41,1.41,113,74,70.8,18,3,8,9,31.0,8,8,0,0,0.0,GK,35-39,Goalkeeper,Spain,Europe
162,Álex Remiro,ESP,Real Sociedad,La Liga,2020,25,1995,38,38,3420,38.0,38,1.00,105,67,66.7,17,11,10,14,36.8,5,3,1,1,25.0,GK,25-29,Goalkeeper,Spain,Europe
164,Sergio Rico,ESP,Paris S-G,Ligue 1,2020,26,1993,10,8,810,9.0,9,1.00,36,28,75.0,5,1,2,5,62.5,0,0,0,0,,GK,25-29,Goalkeeper,Spain,Europe
165,Roberto,ESP,Valladolid,La Liga,2020,34,1986,13,13,1170,13.0,17,1.31,46,29,67.4,1,7,5,1,7.7,3,2,0,1,0.0,GK,30-34,Goalkeeper,Spain,Europe
166,Joel Robles,ESP,Betis,La Liga,2020,30,1990,18,18,1620,18.0,25,1.39,61,37,65.6,9,2,7,6,33.3,5,4,1,0,20.0,GK,30-34,Goalkeeper,Spain,Europe
168,Rubén,ESP,Osasuna,La Liga,2020,36,1984,3,3,187,2.1,5,2.41,8,3,37.5,0,2,1,0,0.0,0,0,0,0,,GK,35-39,Goalkeeper,Spain,Europe
175,Robert Sánchez,ESP,Brighton,Premier League,2020,22,1997,27,27,2430,27.0,27,1.00,91,65,72.5,7,10,10,10,37.0,3,2,0,1,0.0,GK,20-24,Goalkeeper,Spain,Europe
183,Unai Simón,ESP,Athletic Club,La Liga,2020,23,1997,37,37,3330,37.0,40,1.08,108,68,67.6,11,13,13,9,24.3,6,5,1,0,16.7,GK,20-24,Goalkeeper,Spain,Europe
186,Antonio Sivera,ESP,Alavés,La Liga,2020,23,1996,1,1,71,0.8,,,1,1,,,,1,,,,,,,,GK,20-24,Goalkeeper,Spain,Europe
187,Łukasz Skorupski,POL,Bologna,Serie A,2020,29,1991,28,28,2520,28.0,46,1.64,147,100,72.1,10,5,13,4,14.3,7,5,2,0,28.6,GK,25-29,Goalkeeper,Poland,Europe
189,David Soria,ESP,Getafe,La Liga,2020,27,1993,28,28,2520,28.0,31,1.11,81,52,69.1,6,8,14,10,35.7,7,6,1,0,14.3,GK,25-29,Goalkeeper,Spain,Europe
193,Wojciech Szczęsny,POL,Juventus,Serie A,2020,30,1990,30,30,2677,29.7,32,1.08,98,66,71.4,16,8,6,5,16.7,6,4,2,0,33.3,GK,30-34,Goalkeeper,Poland,Europe
199,Tomáš Vaclík,CZE,Sevilla,La Liga,2020,31,1989,5,5,450,5.0,5,1.00,14,9,64.3,3,0,2,2,40.0,0,0,0,0,,GK,30-34,Goalkeeper,Czech Republic,Europe
200,Koke Vegas,ESP,Levante,La Liga,2020,24,1995,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,GK,20-24,Goalkeeper,Spain,Europe
202,Iván Villar,ESP,Celta Vigo,La Liga,2020,23,1997,21,19,1781,19.8,30,1.52,77,47,68.8,7,5,7,5,26.3,7,6,1,0,14.3,GK,20-24,Goalkeeper,Spain,Europe
204,Rubén Yáñez,ESP,Getafe,La Liga,2020,26,1993,10,10,900,10.0,12,1.20,30,18,63.3,3,3,4,4,40.0,1,1,0,0,0.0,GK,25-29,Goalkeeper,Spain,Europe
205,Yoel,ESP,Eibar,La Liga,2020,31,1988,4,3,300,3.3,3,0.90,6,3,50.0,0,1,2,0,0.0,0,0,0,0,,GK,30-34,Goalkeeper,Spain,Europe
2,Alisson,BRA,Liverpool,Premier League,2023,30,1992,28,28,2520,28.0,30,1.07,109,80,73.4,16,8,4,8,28.6,1,1,0,0,0.0,GK,30-34,Goalkeeper,Brazil,South America
3,Alphonse Areola,FRA,West Ham,Premier League,2023,30,1993,31,31,2699,30.0,53,1.77,188,136,74.5,11,9,11,4,12.9,7,5,2,0,28.6,GK,30-34,Goalkeeper,France,Europe
4,Simone Aresti,ITA,Cagliari,Serie A,2023,37,1986,1,0,1,0.0,1,90.00,1,0,100.0,0,0,0,0,,1,1,0,0,0.0,GK,35-39,Goalkeeper,Italy,Europe
6,Noah Atubolu,GER,Freiburg,Bundesliga,2023,21,2002,34,34,3060,34.0,58,1.71,158,99,65.2,11,9,14,10,29.4,5,3,2,0,40.0,GK,20-24,Goalkeeper,Germany,Europe
7,Emil Audero,ITA,Inter,Serie A,2023,26,1997,4,4,337,3.7,3,0.80,11,8,72.7,2,1,1,2,50.0,0,0,0,0,,GK,25-29,Goalkeeper,Italy,Europe
8,Nicola Bagnolini,ITA,Bologna,Serie A,2023,19,2004,1,0,5,0.1,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,GK,Under 20,Goalkeeper,Italy,Europe
9,Augusto Batalla,ARG,Granada,La Liga,2023,27,1996,17,17,1530,17.0,28,1.65,86,58,67.4,3,4,10,3,17.6,0,0,0,0,,GK,25-29,Goalkeeper,Argentina,South America
10,Daniel Batz,GER,Mainz 05,Bundesliga,2023,32,1991,4,4,360,4.0,3,0.75,17,14,82.4,0,2,2,1,25.0,0,0,0,0,,GK,30-34,Goalkeeper,Germany,Europe
11,Oliver Baumann,GER,Hoffenheim,Bundesliga,2023,33,1990,34,34,3060,34.0,66,1.94,211,143,69.7,13,7,14,2,5.9,5,2,3,0,60.0,GK,30-34,Goalkeeper,Germany,Europe
12,Alaa Bellaarouch,MAR,Strasbourg,Ligue 1,2023,21,2002,15,15,1350,15.0,26,1.73,63,37,63.5,4,2,9,2,13.3,4,3,1,0,25.0,GK,20-24,Goalkeeper,Morocco,Africa
13,Daniel Bentley,ENG,Wolves,Premier League,2023,30,1993,5,3,383,4.3,7,1.64,15,8,53.3,1,0,2,1,33.3,0,0,0,0,,GK,30-34,Goalkeeper,England,Europe
14,Etrit Berisha,ALB,Empoli,Serie A,2023,34,1989,14,14,1260,14.0,25,1.79,74,49,68.9,3,3,8,4,28.6,3,2,1,0,33.3,GK,30-34,Goalkeeper,Albania,Europe
15,Dimitry Bertaud,COD,Montpellier,Ligue 1,2023,25,1998,4,4,360,4.0,11,2.75,34,23,67.6,1,1,2,0,0.0,0,0,0,0,,GK,25-29,Goalkeeper,DR Congo,Africa
16,Marco Bizot,NED,Brest,Ligue 1,2023,32,1991,32,32,2876,32.0,34,1.06,129,94,75.2,15,10,7,13,40.6,3,2,1,0,33.3,GK,30-34,Goalkeeper,Netherlands,Europe
18,Janis Blaswich,GER,RB Leipzig,Bundesliga,2023,32,1991,21,21,1890,21.0,30,1.43,76,46,65.8,10,4,7,5,23.8,4,4,0,0,0.0,GK,30-34,Goalkeeper,Germany,Europe
19,Yassine Bounou,MAR,Sevilla,La Liga,2023,32,1991,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,GK,30-34,Goalkeeper,Morocco,Africa
20,Claudio Bravo,CHI,Betis,La Liga,2023,40,1983,7,7,630,7.0,5,0.71,20,16,75.0,3,4,0,2,28.6,0,0,0,0,,GK,Over 40,Goalkeeper,Chile,South America
21,Fabian Bredlow,GER,Stuttgart,Bundesliga,2023,28,1995,4,4,360,4.0,3,0.75,22,19,86.4,3,1,0,1,25.0,0,0,0,0,,GK,25-29,Goalkeeper,Germany,Europe
22,Alexander Brunst,GER,Darmstadt 98,Bundesliga,2023,28,1995,3,3,270,3.0,10,3.33,17,7,41.2,0,1,2,0,0.0,0,0,0,0,,GK,25-29,Goalkeeper,Germany,Europe
24,Elia Caprile,ITA,Empoli,Serie A,2023,21,2001,23,23,2070,23.0,27,1.17,106,78,78.3,6,6,11,5,21.7,5,4,1,0,20.0,GK,20-24,Goalkeeper,Italy,Europe
26,Marco Carnesecchi,ITA,Atalanta,Serie A,2023,23,2000,27,27,2425,26.9,30,1.11,107,75,75.7,15,5,7,8,29.6,7,4,2,1,33.3,GK,20-24,Goalkeeper,Italy,Europe
27,Koen Casteels,BEL,Wolfsburg,Bundesliga,2023,31,1992,25,25,2250,25.0,39,1.56,115,78,67.8,8,6,11,4,16.0,3,2,0,1,0.0,GK,30-34,Goalkeeper,Belgium,Europe
28,Michele Cerofolini,ITA,Frosinone,Serie A,2023,24,1999,8,7,675,7.5,11,1.47,28,18,60.7,2,2,3,3,42.9,1,0,0,1,,GK,20-24,Goalkeeper,Italy,Europe
29,Lucas Chevalier,FRA,Lille,Ligue 1,2023,21,2001,33,33,2969,33.0,32,0.97,123,91,76.4,16,10,7,15,45.5,5,3,2,0,40.0,GK,20-24,Goalkeeper,France,Europe
30,Oliver Christensen,DEN,Fiorentina,Serie A,2023,24,1999,4,4,360,4.0,9,2.25,19,10,63.2,1,1,2,0,0.0,2,2,0,0,0.0,GK,20-24,Goalkeeper,Denmark,Europe
31,Andrea Consigli,ITA,Sassuolo,Serie A,2023,36,1987,35,35,3150,35.0,68,1.94,159,93,61.6,6,8,21,3,8.6,10,7,1,2,12.5,GK,35-39,Goalkeeper,Italy,Europe
32,Nikita Contini Baranovsky,ITA,Napoli,Serie A,2023,27,1996,1,0,17,0.2,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,GK,25-29,Goalkeeper,Italy,Europe
33,Benoît Costil,FRA,Salernitana,Serie A,2023,36,1987,13,13,1170,13.0,29,2.23,66,38,60.6,2,3,8,1,7.7,3,3,0,0,0.0,GK,35-39,Goalkeeper,France,Europe
34,Grégoire Coudert,FRA,Brest,Ligue 1,2023,24,1999,3,2,181,2.0,0,0.00,4,4,100.0,2,0,0,2,100.0,0,0,0,0,,GK,20-24,Goalkeeper,France,Europe
35,Thibaut Courtois,BEL,Real Madrid,La Liga,2023,31,1992,4,4,332,3.7,0,0.00,15,15,100.0,3,1,0,3,75.0,0,0,0,0,,GK,30-34,Goalkeeper,Belgium,Europe
36,Alessio Cragno,ITA,Sassuolo,Serie A,2023,29,1994,3,3,270,3.0,7,2.33,14,8,57.1,1,1,1,0,0.0,1,1,0,0,0.0,GK,25-29,Goalkeeper,Italy,Europe
39,Finn Dahmen,GER,Augsburg,Bundesliga,2023,25,1998,31,31,2790,31.0,52,1.68,158,106,71.5,10,9,12,3,9.7,10,7,2,1,22.2,GK,25-29,Goalkeeper,Germany,Europe
40,Rémy Descamps,FRA,Nantes,Ligue 1,2023,27,1996,6,6,540,6.0,11,1.83,37,26,73.0,2,2,2,1,16.7,2,1,0,1,0.0,GK,25-29,Goalkeeper,France,Europe
41,Arthur Desmas,FRA,Le Havre,Ligue 1,2023,29,1994,33,33,2970,33.0,43,1.30,153,111,72.5,7,11,15,7,21.2,3,1,1,1,50.0,GK,25-29,Goalkeeper,France,Europe
42,Raffaele Di Gennaro,ITA,Inter,Serie A,2023,29,1993,1,0,23,0.3,0,0.00,4,4,100.0,0,0,0,0,,0,0,0,0,,GK,25-29,Goalkeeper,Italy,Europe
43,Michele Di Gregorio,ITA,Monza,Serie A,2023,26,1997,33,33,2872,31.9,35,1.10,159,122,79.9,11,11,11,12,36.4,5,3,2,0,40.0,GK,25-29,Goalkeeper,Italy,Europe
44,Mory Diaw,SEN,Clermont Foot,Ligue 1,2023,30,1993,30,30,2700,30.0,54,1.80,188,134,74.5,4,8,18,5,16.7,8,6,1,1,14.3,GK,30-34,Goalkeeper,Senegal,Africa
45,Guillaume Dietsch,FRA,Metz,Ligue 1,2023,22,2001,1,0,73,0.8,1,1.23,3,2,66.7,0,0,0,0,,0,0,0,0,,GK,20-24,Goalkeeper,France,Europe
46,Stole Dimitrievski,MKD,Rayo Vallecano,La Liga,2023,29,1993,37,37,3330,37.0,47,1.27,150,104,69.3,8,14,15,13,35.1,2,1,1,0,50.0,GK,25-29,Goalkeeper,North Macedonia,Europe
47,Yehvann Diouf,FRA,Reims,Ligue 1,2023,23,1999,34,34,3060,34.0,47,1.38,137,90,70.1,13,8,13,8,23.5,7,6,1,0,14.3,GK,20-24,Goalkeeper,France,Europe
50,Gianluigi Donnarumma,ITA,Paris S-G,Ligue 1,2023,24,1999,25,25,2169,24.1,20,0.83,110,89,84.5,18,6,1,10,40.0,4,3,1,0,25.0,GK,20-24,Goalkeeper,Italy,Europe
51,Martin Dúbravka,SVK,Newcastle Utd,Premier League,2023,34,1989,23,22,1985,22.1,42,1.90,130,87,70.8,9,4,9,5,22.7,5,4,1,0,20.0,GK,30-34,Goalkeeper,Slovakia,Europe
52,Ederson,BRA,Manchester City,Premier League,2023,29,1993,33,33,2785,30.9,27,0.87,82,56,70.7,24,6,3,10,30.3,3,3,0,0,0.0,GK,25-29,Goalkeeper,Brazil,South America
55,Wladimiro Falcone,ITA,Lecce,Serie A,2023,28,1995,38,38,3420,38.0,54,1.42,173,119,71.7,8,14,16,7,18.4,6,5,1,0,16.7,GK,25-29,Goalkeeper,Italy,Europe
59,André Ferreira,POR,Granada,La Liga,2023,27,1996,15,14,1340,14.9,29,1.95,77,49,66.2,0,5,9,0,0.0,3,3,0,0,0.0,GK,25-29,Goalkeeper,Portugal,Europe
60,Vincenzo Fiorillo,ITA,Salernitana,Serie A,2023,33,1990,4,4,360,4.0,8,2.00,26,18,69.2,0,2,2,0,0.0,0,0,0,0,,GK,30-34,Goalkeeper,Italy,Europe
61,Mark Flekken,NED,Brentford,Premier League,2023,30,1993,37,37,3285,36.5,63,1.73,176,113,65.3,10,9,18,7,18.9,2,2,0,0,0.0,GK,30-34,Goalkeeper,Netherlands,Europe
62,Wes Foderingham,ENG,Sheffield Utd,Premier League,2023,32,1991,30,29,2649,29.4,79,2.68,204,130,63.7,3,4,22,1,3.4,6,5,0,1,0.0,GK,30-34,Goalkeeper,England,Europe
