rk,player,nation,squad,comp,season,age,born,mp,starts,min,ninety_mins_played,goals_against,ga_per_90,shots_on_target_against,saves,save_pct,wins,draws,losses,clean_sheets,clean_sheet_pct,penalties_faced,penalties_allowed,penalties_saved,penalties_missed,penalty_save_pct,position,age_range,general_position,country,continent
161,Frederik Rønnow,DEN,Eint Frankfurt,Bundesliga,2018,25,1992,2,1,122,1.4,0,0.00,7,7,100.0,1,0,0,1,100.0,0,0,0,0,,GK,25-29,Goalkeeper,Denmark,Europe
162,Samuel Şahin-Radlinger,AUT,Hannover 96,Bundesliga,2018,25,1992,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,GK,25-29,Goalkeeper,Austria,Europe
163,Brice Samba,FRA,Caen,Ligue 1,2018,24,1994,38,38,3420,38.0,54,1.42,193,139,75.1,7,12,19,9,23.7,8,6,2,0,25.0,GK,20-24,Goalkeeper,France,Europe
165,Kasper Schmeichel,DEN,Leicester City,Premier League,2018,31,1986,38,38,3420,38.0,48,1.26,138,90,68.8,15,7,16,10,26.3,5,5,0,0,0.0,GK,30-34,Goalkeeper,Denmark,Europe
166,Alexander Schwolow,GER,Freiburg,Bundesliga,2018,26,1992,33,33,2970,33.0,60,1.82,170,110,68.8,7,12,14,5,15.2,7,7,0,0,0.0,GK,25-29,Goalkeeper,Germany,Europe
167,Simone Scuffet,ITA,Udinese,Serie A,2018,22,1996,9,9,810,9.0,13,1.44,38,25,68.4,2,2,5,2,22.2,1,1,0,0,0.0,GK,20-24,Goalkeeper,Italy,Europe
168,Andrea Seculin,ITA,Chievo,Serie A,2018,28,1990,2,1,90,1.0,7,7.00,12,5,41.7,0,0,1,0,0.0,0,0,0,0,,GK,25-29,Goalkeeper,Italy,Europe
169,Matz Sels,BEL,Strasbourg,Ligue 1,2018,26,1992,37,37,3330,37.0,48,1.30,148,99,72.3,10,16,11,8,21.6,9,7,2,0,22.2,GK,25-29,Goalkeeper,Belgium,Europe
170,Adrian Šemper,CRO,Chievo,Serie A,2018,20,1998,6,6,540,6.0,8,1.33,32,24,75.0,1,3,2,2,33.3,0,0,0,0,,GK,20-24,Goalkeeper,Croatia,Europe
171,Luigi Sepe,ITA,Parma,Serie A,2018,27,1991,37,37,3330,37.0,59,1.59,197,142,74.1,10,11,16,10,27.0,8,8,0,0,0.0,GK,25-29,Goalkeeper,Italy,Europe
173,Salvatore Sirigu,ITA,Torino,Serie A,2018,31,1987,36,36,3170,35.2,35,0.99,136,99,75.7,15,14,7,14,38.9,4,2,2,0,50.0,GK,30-34,Goalkeeper,Italy,Europe
176,Yann Sommer,SUI,Gladbach,Bundesliga,2018,29,1988,34,34,3060,34.0,42,1.24,156,114,75.0,16,7,11,13,38.2,3,3,0,0,0.0,GK,25-29,Goalkeeper,Switzerland,Europe
179,Stefano Sorrentino,ITA,Chievo,Serie A,2018,39,1979,31,31,2790,31.0,60,1.94,167,107,65.3,1,11,19,5,16.1,4,2,2,0,50.0,GK,35-39,Goalkeeper,Italy,Europe
180,Julián Speroni,ARG,Crystal Palace,Premier League,2018,39,1979,1,1,90,1.0,4,4.00,9,5,55.6,0,0,1,0,0.0,0,0,0,0,,GK,35-39,Goalkeeper,Argentina,South America
181,Marco Sportiello,ITA,Frosinone,Serie A,2018,26,1992,35,35,3150,35.0,64,1.83,201,138,70.6,5,9,21,8,22.9,5,5,0,0,0.0,GK,25-29,Goalkeeper,Italy,Europe
182,Thomas Strakosha,ALB,Lazio,Serie A,2018,23,1995,35,35,3150,35.0,39,1.11,132,95,74.2,16,7,12,10,28.6,6,5,1,0,16.7,GK,20-24,Goalkeeper,Albania,Europe
183,Danijel Subašić,CRO,Monaco,Ligue 1,2018,33,1984,14,14,1138,12.6,12,0.95,39,26,74.4,4,5,5,4,28.6,3,2,1,0,33.3,GK,30-34,Goalkeeper,Croatia,Europe
184,Seydou Sy,SEN,Monaco,Ligue 1,2018,22,1995,3,2,225,2.5,7,2.80,12,6,41.7,0,1,1,0,0.0,0,0,0,0,,GK,20-24,Goalkeeper,Senegal,Africa
